SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2017-Jul-25 17:18:21
Date and Time Ended,2017-Jul-25 17:22:40
Scan Name,MSP_A_FPGA-TX2-00--RX12-00-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,14702
Horizontal Opening,70
Horizontal Percentage,54.26
Vertical Opening,244
Vertical Percentage,95.29
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.180279,0.164628,0.147283,0.131449,0.114604,0.0971753,0.081495,0.066807,0.0532355,0.0426261,0.0327178,0.0251686,0.0170055,0.0122637,0.00790523,0.00444476,0.0027738,0.00152771,0.000822271,0.000490005,0.000271229,0.000260357,0.00016022,0.000120451,8.86931e-05,6.58045e-05,5.02594e-05,3.52865e-05,2.73709e-05,2.02182e-05,1.55451e-05,5.5314e-06,5.72213e-06,2.86107e-06,1.2398e-06,5.72213e-07,2.86107e-07,2.86107e-07,4.76844e-08,2.98028e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,4.76844e-08,4.76844e-08,1.31132e-07,4.05318e-07,3.81476e-07,2.19348e-06,4.95918e-06,7.0573e-06,2.37469e-05,4.53002e-05,8.41154e-05,0.000193599,0.000378424,0.000606546,0.00101291,0.00157177,0.00238069,0.00361801,0.00490616,0.00663159,0.00895502,0.0116448,0.0152759,0.0182463,0.0227843,0.0281682,0.0330878,0.0392256,0.0478777,0.054979,0.0641192,0.0766312,0.087408,0.0999253,0.115411,0.135179,0.150641,0.167866,0.187457,0.206241,0.21333,0.228568,0.240796,0.246446,0.25268,0.258256,0.265625,0.27508,0.27545,0.282478,0.29767,0.305439,0.317269
126,0.178084,0.158512,0.144528,0.130986,0.112619,0.0957666,0.0802968,0.0660209,0.0529601,0.0405538,0.0319346,0.0246402,0.0161257,0.0118284,0.00734566,0.00423495,0.00257782,0.00140965,0.000792802,0.000415332,0.000270466,0.000186732,0.000126841,9.3843e-05,7.61997e-05,4.51095e-05,3.97688e-05,2.9469e-05,2.10765e-05,1.47822e-05,6.67582e-06,5.91287e-06,4.2916e-06,1.81201e-06,1.14443e-06,6.55661e-07,1.78817e-07,5.96056e-08,3.57633e-08,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,4.76844e-08,1.60935e-07,2.50343e-07,4.41081e-07,1.15635e-06,3.33791e-06,6.96193e-06,1.72618e-05,3.84337e-05,7.29572e-05,0.000170901,0.000322061,0.000497826,0.000926223,0.00149949,0.00216325,0.00320764,0.00457132,0.00621023,0.00830768,0.0109596,0.0147272,0.0177544,0.0219845,0.0271093,0.0317219,0.0387836,0.0459546,0.0537878,0.0634046,0.0753484,0.0835394,0.0982475,0.114636,0.131238,0.149323,0.170806,0.182691,0.201671,0.216373,0.228313,0.241079,0.247638,0.253618,0.258256,0.263574,0.271254,0.273062,0.287636,0.295309,0.305895,0.319995
125,0.179253,0.162344,0.147975,0.133028,0.111061,0.0953431,0.0786168,0.0637302,0.0533186,0.0400463,0.0314274,0.0239725,0.0159817,0.0112393,0.007143,0.00401083,0.0024897,0.00133125,0.000713645,0.000382525,0.000243,0.000178817,0.000115492,8.46876e-05,6.99054e-05,4.0341e-05,4.40604e-05,2.2221e-05,1.8883e-05,1.15396e-05,6.19898e-06,5.43603e-06,5.62676e-06,1.21595e-06,8.5832e-07,3.93397e-07,1.66896e-07,4.17239e-08,5.96056e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,4.76844e-08,7.15267e-08,2.38422e-07,4.88766e-07,1.12058e-06,2.47959e-06,5.24529e-06,1.36378e-05,3.97688e-05,7.03822e-05,0.000156214,0.000267224,0.00048743,0.000861086,0.00142786,0.00208019,0.00307479,0.00437104,0.00608444,0.00805859,0.0105696,0.0140909,0.0174162,0.0215247,0.0259335,0.0312381,0.0373956,0.0451841,0.0527963,0.0635226,0.0749897,0.0838129,0.0979187,0.115606,0.129373,0.148404,0.167592,0.182854,0.206033,0.217176,0.226796,0.239529,0.246892,0.253618,0.258256,0.26597,0.272881,0.278825,0.287031,0.296592,0.306812,0.319247
124,0.175791,0.165092,0.145504,0.126223,0.108272,0.0916112,0.0776923,0.061519,0.0520516,0.0391881,0.030186,0.0235182,0.0156525,0.0106576,0.00678765,0.00381199,0.00232099,0.00121595,0.000637732,0.000344949,0.000192741,0.000144198,9.58457e-05,7.00008e-05,5.0164e-05,3.42374e-05,2.6894e-05,1.59266e-05,1.32563e-05,7.24804e-06,7.62951e-06,2.95644e-06,1.81201e-06,1.01329e-06,5.96056e-07,1.90738e-07,1.0729e-07,1.78817e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,4.17239e-08,1.25172e-07,2.50343e-07,7.27188e-07,1.72856e-06,4.67308e-06,1.28748e-05,2.91829e-05,6.03685e-05,0.000118639,0.000224022,0.000441653,0.000758278,0.00121891,0.00184253,0.00277399,0.00392929,0.00555953,0.00739566,0.00997136,0.0135269,0.0163081,0.0206981,0.0252711,0.0302328,0.0370238,0.043238,0.0517033,0.061593,0.0719595,0.0811237,0.0952765,0.113618,0.131449,0.144682,0.166977,0.183428,0.201275,0.214784,0.227805,0.237721,0.245855,0.253776,0.258582,0.264254,0.271614,0.278825,0.281508,0.294248,0.305895,0.315801
123,0.177083,0.15784,0.145452,0.126966,0.110701,0.0925217,0.0762744,0.0621255,0.0508433,0.0392406,0.0301017,0.0222993,0.0157204,0.0107209,0.00653635,0.00378309,0.00213102,0.00116073,0.000595769,0.000298028,0.000181392,0.000115682,7.58183e-05,6.35157e-05,3.98642e-05,3.02319e-05,2.11719e-05,1.17304e-05,1.24933e-05,7.53414e-06,4.00549e-06,2.57496e-06,1.60935e-06,7.62951e-07,3.45712e-07,1.90738e-07,9.53689e-08,4.17239e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,1.0729e-07,1.96698e-07,4.2916e-07,1.21595e-06,3.24254e-06,1.09674e-05,2.30793e-05,5.18807e-05,0.000125315,0.000231174,0.000377661,0.000703727,0.00118038,0.00175851,0.00278182,0.00392901,0.00534485,0.00717088,0.00994836,0.0131192,0.0160915,0.0200506,0.0251454,0.029754,0.0361704,0.0422741,0.0508875,0.0609333,0.0701359,0.0808356,0.0966023,0.113555,0.127322,0.145504,0.16476,0.180517,0.199802,0.21501,0.225299,0.239529,0.246002,0.251748,0.261721,0.26701,0.272699,0.279395,0.284243,0.296163,0.310769,0.317761
122,0.174816,0.159437,0.143115,0.127878,0.10908,0.0911018,0.0754039,0.0612248,0.0493724,0.0382476,0.0292525,0.0215304,0.0149111,0.0103368,0.00620651,0.00357738,0.00202726,0.00105116,0.000520523,0.000282483,0.000170996,0.000114824,6.29435e-05,3.90059e-05,4.09133e-05,2.29839e-05,1.64988e-05,8.67857e-06,8.10636e-06,4.48234e-06,2.7657e-06,2.94451e-06,8.82162e-07,2.98028e-07,2.38422e-07,6.55661e-08,4.17239e-08,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,5.3645e-08,1.13251e-07,4.41081e-07,9.6561e-07,2.00275e-06,6.77119e-06,1.74525e-05,4.4728e-05,9.75624e-05,0.00019789,0.00034247,0.00064126,0.00104,0.00163424,0.00251783,0.00364185,0.00516146,0.00694886,0.00936022,0.0125781,0.0153884,0.0195026,0.0239486,0.0283182,0.0346233,0.0424449,0.0496778,0.0588751,0.0691648,0.0776481,0.0929416,0.110971,0.128078,0.143516,0.162023,0.177237,0.200683,0.211458,0.228951,0.238136,0.244826,0.251748,0.259237,0.266143,0.271434,0.276379,0.287031,0.29446,0.311241,0.318255
121,0.174147,0.158634,0.138845,0.122486,0.108329,0.0898429,0.0741346,0.05838,0.0492537,0.0379183,0.0282362,0.0210285,0.014161,0.00969682,0.00607853,0.00325504,0.00195964,0.000981537,0.000505455,0.000257401,0.000131132,0.000103571,6.14176e-05,3.29976e-05,2.97551e-05,1.39239e-05,1.85969e-05,8.01099e-06,8.48783e-06,3.62402e-06,3.02796e-06,2.03851e-06,6.67582e-07,3.99357e-07,2.38422e-07,3.57633e-08,4.17239e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,5.96056e-09,1.19211e-08,2.38422e-08,9.53689e-08,2.38422e-07,8.5832e-07,1.87161e-06,4.19623e-06,1.62127e-05,4.0341e-05,7.8584e-05,0.000171569,0.000331979,0.000587854,0.001007,0.00151293,0.0025083,0.00340105,0.00490892,0.00660848,0.0088534,0.0119189,0.0149176,0.0189302,0.0224804,0.0274895,0.0342327,0.0418979,0.0486511,0.0575353,0.0680501,0.0757946,0.0917343,0.10524,0.124232,0.138987,0.16006,0.179725,0.197776,0.212776,0.223212,0.237859,0.244388,0.252524,0.257444,0.268234,0.271434,0.278635,0.287838,0.300289,0.310534,0.329255
120,0.17145,0.152891,0.137494,0.121325,0.102169,0.0895091,0.0710484,0.0585887,0.0473574,0.0368638,0.0269399,0.0204521,0.0139507,0.00945922,0.00568189,0.00315881,0.00178244,0.000873102,0.000455005,0.000217727,0.0001112,7.07637e-05,4.4728e-05,3.43328e-05,2.42237e-05,1.1635e-05,9.44152e-06,5.14992e-06,4.2916e-06,1.43053e-06,1.68088e-06,1.13251e-06,5.24529e-07,2.44383e-07,1.37093e-07,6.55661e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.38422e-08,5.96056e-08,2.08619e-07,5.12608e-07,1.56167e-06,4.86381e-06,1.30655e-05,3.69078e-05,7.04776e-05,0.000137903,0.000286107,0.000515278,0.000865187,0.00135901,0.00228513,0.00314975,0.00443065,0.00620289,0.00824331,0.012054,0.0141949,0.0181004,0.021838,0.0276547,0.0327911,0.0394371,0.0469018,0.0566912,0.0646659,0.0751824,0.0892361,0.105159,0.123149,0.138704,0.160185,0.176169,0.194304,0.210264,0.224681,0.237033,0.243516,0.252524,0.258419,0.264766,0.273062,0.279777,0.288243,0.296592,0.312428,0.323023
119,0.168418,0.153463,0.137125,0.124497,0.103695,0.086013,0.0713827,0.058639,0.0470906,0.0356913,0.0274748,0.0201364,0.0137466,0.00934399,0.00556382,0.00308099,0.00168727,0.000840295,0.000445754,0.000218013,0.000106146,7.79164e-05,4.41558e-05,3.09949e-05,1.94553e-05,1.05859e-05,1.10628e-05,4.95918e-06,2.86107e-06,2.18156e-06,1.34709e-06,8.34478e-07,2.62264e-07,1.72856e-07,1.19211e-07,2.38422e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.98028e-08,1.49014e-07,5.48371e-07,1.27556e-06,3.14717e-06,1.03952e-05,2.92782e-05,6.981e-05,0.000144961,0.000254635,0.000507362,0.00083896,0.00131666,0.00219091,0.00305734,0.00429236,0.00592107,0.00812557,0.0110468,0.0135148,0.0177083,0.0213008,0.0260291,0.0326162,0.0392707,0.0463184,0.0541433,0.0642198,0.0747025,0.090819,0.105213,0.12267,0.138423,0.154797,0.173704,0.191937,0.208339,0.226045,0.236759,0.243661,0.252058,0.260888,0.265625,0.27545,0.284243,0.293616,0.302954,0.313625,0.318502
118,0.170878,0.153578,0.136577,0.118792,0.102732,0.0855459,0.0713578,0.05735,0.0460735,0.0353616,0.0261721,0.0191928,0.0132123,0.00867489,0.00528201,0.0028336,0.0015383,0.000781167,0.000397784,0.000178435,8.15404e-05,5.25483e-05,3.11856e-05,2.43191e-05,1.46868e-05,6.67582e-06,6.00824e-06,3.43328e-06,2.57496e-06,1.71664e-06,9.53689e-07,2.02659e-07,3.45712e-07,5.96056e-08,2.38422e-08,2.98028e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-08,9.53689e-08,2.98028e-07,7.98714e-07,2.38422e-06,8.67857e-06,2.54635e-05,5.35973e-05,0.000110151,0.000227646,0.000458534,0.00079509,0.00121738,0.00202087,0.00283522,0.00413911,0.00563792,0.00774704,0.010291,0.0130523,0.01664,0.0202219,0.0244811,0.0317293,0.0382369,0.0448722,0.0534857,0.064029,0.0723153,0.0884461,0.103616,0.11676,0.133375,0.154331,0.170806,0.19275,0.20994,0.222484,0.236623,0.243516,0.251439,0.260225,0.263066,0.277879,0.280736,0.290492,0.302954,0.311478,0.321755
