SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2017-Jul-25 11:04:46
Date and Time Ended,2017-Jul-25 11:07:19
Scan Name,MSP_A_FPGA-TX2-01--RX15-01-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9090
Horizontal Opening,41
Horizontal Percentage,63.08
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.259565,0.250669,0.242722,0.230497,0.20297,0.166977,0.123057,0.0727714,0.0370791,0.0148995,0.00529545,0.0015032,0.000340848,6.6949e-05,1.02998e-05,1.5259e-06,1.19211e-07,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.66896e-07,2.09812e-06,8.5832e-06,7.4197e-05,0.000319867,0.00145094,0.00310578,0.00823148,0.0195417,0.0397009,0.069641,0.105633,0.146939,0.182082,0.210913,0.231933,0.243661
126,0.259895,0.250823,0.24172,0.229786,0.203829,0.165794,0.118328,0.0728555,0.0349468,0.0142522,0.0050082,0.00141394,0.000284962,5.64584e-05,8.96468e-06,9.77531e-07,4.17239e-08,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,4.76844e-08,1.02522e-06,7.0573e-06,5.47417e-05,0.000272564,0.00125925,0.00288186,0.00755989,0.0191928,0.0382387,0.0681577,0.102707,0.144249,0.181116,0.210588,0.230044,0.24265
125,0.261054,0.251053,0.24172,0.228696,0.201721,0.164826,0.116296,0.0716386,0.034754,0.0143985,0.00484112,0.00139849,0.00027142,5.37881e-05,7.62951e-06,1.02522e-06,8.34478e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,8.34478e-08,1.04906e-06,6.86656e-06,5.74121e-05,0.000283627,0.00109331,0.0027615,0.00769417,0.0188609,0.0373036,0.0673674,0.102181,0.141974,0.180597,0.210751,0.230303,0.241791
124,0.261889,0.251207,0.242077,0.227742,0.201473,0.160625,0.11499,0.0696292,0.0335224,0.0133486,0.0044955,0.00132753,0.000265316,5.16899e-05,7.24804e-06,9.53689e-07,4.76844e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,4.17239e-08,8.10636e-07,5.34066e-06,5.11177e-05,0.000226978,0.00105097,0.00263771,0.00717918,0.0181172,0.03672,0.0643661,0.100206,0.140899,0.178784,0.209779,0.231083,0.241506
123,0.261638,0.250977,0.241221,0.228504,0.199607,0.159686,0.113147,0.0684596,0.0331052,0.0131148,0.00435454,0.00128767,0.00026894,5.22621e-05,7.43877e-06,7.39109e-07,5.3645e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,7.15267e-07,6.48508e-06,4.34882e-05,0.000215724,0.000974479,0.00231823,0.00691463,0.0173186,0.035187,0.0623193,0.0989715,0.139698,0.176321,0.208392,0.229851,0.241791
122,0.261137,0.250593,0.241934,0.227805,0.19835,0.159935,0.11282,0.0677799,0.0318069,0.0126941,0.00417182,0.00116655,0.000239567,5.22621e-05,5.72213e-06,8.34478e-07,7.15267e-08,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,4.17239e-08,5.24529e-07,4.24392e-06,3.8529e-05,0.000177958,0.000926223,0.00204414,0.00669318,0.0165452,0.0339433,0.0618161,0.0969912,0.136486,0.174891,0.205723,0.227236,0.241862
121,0.26332,0.2509,0.241577,0.226985,0.19888,0.158297,0.110567,0.0657085,0.0313337,0.0123642,0.00403754,0.00112001,0.000229648,5.0164e-05,5.72213e-06,1.02522e-06,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,4.76844e-08,6.49701e-07,3.93397e-06,3.33791e-05,0.00018101,0.000809873,0.00206035,0.00613642,0.0156567,0.0321326,0.0606716,0.0966251,0.136851,0.174555,0.205105,0.22711,0.242291
120,0.263659,0.251285,0.241221,0.225734,0.197585,0.157173,0.109181,0.0652947,0.0305132,0.0116575,0.00396811,0.00104448,0.000218776,3.47143e-05,4.00549e-06,1.00137e-06,3.57633e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.98028e-08,5.54332e-07,4.10086e-06,2.84199e-05,0.000159648,0.000782979,0.00193408,0.00604086,0.0149656,0.030625,0.0581108,0.0932909,0.133745,0.172352,0.202019,0.226922,0.240867
119,0.262897,0.251748,0.239949,0.225983,0.197824,0.155473,0.108372,0.0628163,0.0299717,0.0118694,0.00383993,0.00103895,0.000198558,3.37606e-05,4.88766e-06,7.15267e-07,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,5.12608e-07,3.71939e-06,2.84199e-05,0.00016022,0.000689517,0.00178779,0.00557698,0.0144613,0.031244,0.0575717,0.0936214,0.134293,0.172642,0.203829,0.226922,0.240654
118,0.265797,0.250977,0.240937,0.225237,0.194674,0.153205,0.107336,0.0606806,0.0294079,0.0110004,0.00367227,0.000937858,0.000183871,2.86107e-05,4.60155e-06,5.96056e-07,3.57633e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,3.75515e-07,2.45575e-06,3.16625e-05,0.000134661,0.000670062,0.0017834,0.00549649,0.0133112,0.0295917,0.0565815,0.0903582,0.13249,0.171306,0.202569,0.225423,0.240231
