SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2017-Jul-24 20:12:50
Date and Time Ended,2017-Jul-24 20:14:52
Scan Name,MSP_C_FPGA-TX4-05--RX8-05-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,6937
Horizontal Opening,36
Horizontal Percentage,55.38
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.251053,0.250746,0.249981,0.249448,0.248013,0.240372,0.231474,0.21372,0.190686,0.160279,0.131385,0.0998522,0.0720799,0.0471529,0.0279901,0.0153196,0.00653792,0.00226196,0.00077306,0.000171092,2.91829e-05,4.19623e-06,5.96056e-07,7.15267e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-07,3.62402e-06,2.99458e-05,0.000134852,0.000536927,0.00161784,0.00378996,0.00842012,0.0166556,0.0273838,0.0434444,0.0620456,0.0860581,0.101573,0.122725,0.150089,0.168905,0.18989,0.207442,0.223334,0.234724,0.243806,0.247938,0.249372
126,0.251825,0.249828,0.250134,0.248691,0.247339,0.241862,0.232064,0.213386,0.188362,0.157415,0.12744,0.0954987,0.0704556,0.046558,0.0263548,0.0143257,0.00617266,0.00191348,0.000624666,0.000145342,2.30793e-05,2.7657e-06,4.05318e-07,7.15267e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.72856e-07,1.93122e-06,2.46052e-05,0.000116732,0.000468261,0.00136225,0.00332513,0.00776074,0.0154686,0.0256004,0.0431788,0.0582016,0.0797573,0.0999009,0.121164,0.14522,0.166029,0.184294,0.204848,0.222666,0.23392,0.242866,0.24719,0.249828
125,0.250746,0.249448,0.249372,0.24922,0.247638,0.241008,0.230497,0.21228,0.186518,0.155917,0.126966,0.0954319,0.0681861,0.045934,0.0261104,0.014111,0.00590944,0.00193065,0.000588045,0.000149348,2.44144e-05,3.33791e-06,3.69554e-07,5.96056e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.66896e-07,2.47959e-06,2.70848e-05,0.00010853,0.000428588,0.0013138,0.00335412,0.00723583,0.015334,0.0260398,0.0414066,0.0589428,0.079672,0.100823,0.118039,0.143591,0.166943,0.187672,0.205259,0.223455,0.233254,0.243082,0.247788,0.248465
124,0.251516,0.250593,0.249828,0.24922,0.246818,0.240937,0.228887,0.208923,0.185631,0.155208,0.125373,0.0937285,0.0664386,0.043597,0.0245538,0.0130612,0.00536164,0.00167086,0.000526627,0.000117685,2.15534e-05,2.57496e-06,3.75515e-07,4.17239e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.25172e-07,2.33654e-06,2.04089e-05,9.67041e-05,0.000354582,0.00114061,0.00301041,0.00666419,0.0138241,0.0240168,0.0393311,0.0580367,0.0779881,0.0973948,0.115852,0.142865,0.159779,0.184419,0.203626,0.220627,0.233055,0.242866,0.245486,0.249448
123,0.251207,0.250286,0.249981,0.248766,0.247339,0.239879,0.229207,0.208233,0.183018,0.153119,0.123149,0.0912642,0.0656558,0.0423703,0.0240718,0.0125333,0.00517243,0.00155528,0.00053521,0.000131228,2.25071e-05,2.47959e-06,2.50343e-07,4.17239e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.0729e-07,1.59743e-06,1.56405e-05,8.85023e-05,0.00033608,0.00109388,0.00286316,0.00638342,0.0139282,0.0229503,0.0388812,0.056699,0.0759703,0.0973369,0.112588,0.141434,0.160657,0.181397,0.201077,0.219916,0.232196,0.242722,0.247115,0.249296
122,0.251516,0.249676,0.250516,0.247563,0.245781,0.239249,0.227048,0.206657,0.183263,0.151842,0.121415,0.0893529,0.0630581,0.0406303,0.022915,0.0115831,0.00478466,0.00150835,0.000435645,9.95651e-05,1.73571e-05,2.52728e-06,2.80146e-07,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,7.15267e-08,1.43053e-06,1.44961e-05,6.58045e-05,0.000278096,0.000938811,0.00249313,0.00595331,0.0129927,0.0217643,0.0377245,0.053409,0.0725908,0.0976269,0.111743,0.140512,0.160091,0.180002,0.200732,0.220567,0.231802,0.241221,0.247339,0.248842
121,0.252213,0.250363,0.250057,0.248314,0.246298,0.239599,0.227236,0.206605,0.181638,0.149842,0.118947,0.0886471,0.0621255,0.0408797,0.0226495,0.0111492,0.00454261,0.00142443,0.000431449,0.000107004,1.22072e-05,1.26364e-06,2.74186e-07,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-08,1.0729e-06,8.01099e-06,7.45785e-05,0.00032063,0.000900855,0.0025597,0.00593271,0.0125619,0.021635,0.0353937,0.0534857,0.0708211,0.0929311,0.110195,0.135627,0.155798,0.178589,0.201028,0.219327,0.232328,0.241648,0.246966,0.247638
120,0.25198,0.249676,0.250593,0.248465,0.245855,0.238413,0.22592,0.203829,0.179018,0.147921,0.117767,0.086714,0.060168,0.0384848,0.0208636,0.00987316,0.00420939,0.00137922,0.00032578,9.11727e-05,1.12535e-05,1.12058e-06,1.43053e-07,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.38422e-08,6.91424e-07,8.39246e-06,5.28344e-05,0.000306706,0.000816358,0.00227417,0.00541562,0.0120897,0.0205459,0.0328411,0.0505391,0.0718459,0.090819,0.105335,0.133964,0.153348,0.178239,0.198447,0.217349,0.230757,0.240584,0.247788,0.248766
119,0.251285,0.251362,0.249905,0.247265,0.24556,0.239249,0.226045,0.204337,0.177237,0.147098,0.115216,0.0855013,0.0597729,0.0376136,0.0201954,0.0103166,0.0040877,0.00130293,0.000342947,8.2208e-05,9.15541e-06,1.21595e-06,1.31132e-07,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,3.57633e-08,8.28517e-07,9.91836e-06,4.76844e-05,0.000277523,0.000747501,0.00232261,0.00523709,0.0119118,0.0199311,0.0327675,0.0495756,0.0683682,0.0872869,0.107069,0.13305,0.156274,0.17793,0.197442,0.216831,0.231083,0.241862,0.246372,0.248239
118,0.251903,0.251593,0.249145,0.248239,0.245119,0.235399,0.222908,0.202619,0.174258,0.145349,0.113555,0.0831325,0.0578767,0.0359135,0.0187736,0.00984207,0.00384318,0.00110056,0.000304799,6.58045e-05,6.86656e-06,9.29847e-07,9.53689e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.98028e-08,6.31819e-07,5.91287e-06,5.58862e-05,0.00022488,0.000669299,0.00196708,0.00462882,0.0109503,0.0185211,0.0296324,0.0466534,0.067152,0.0831156,0.10359,0.130944,0.153348,0.173226,0.195837,0.215689,0.229529,0.239458,0.24468,0.248088
