SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2017-Jul-25 19:30:02
Date and Time Ended,2017-Jul-25 19:34:09
Scan Name,MSP_C_FPGA-TX4-06--RX3-06-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,13198
Horizontal Opening,73
Horizontal Percentage,56.59
Vertical Opening,225
Vertical Percentage,87.45
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.213108,0.200486,0.186858,0.17102,0.152039,0.133331,0.114604,0.0989835,0.082463,0.0675117,0.0530906,0.0433066,0.0322591,0.0244053,0.018122,0.0131099,0.00960541,0.00695712,0.00520228,0.00406796,0.00350967,0.00314956,0.00278296,0.00262694,0.00265993,0.00247177,0.00258345,0.00225328,0.00234188,0.00231413,0.00231413,0.00211404,0.00187867,0.00190967,0.0016578,0.0016104,0.00145342,0.00133335,0.00121214,0.00100614,0.000989929,0.000888552,0.000816167,0.000703727,0.00063592,0.000557622,0.000596914,0.000397593,0.00036183,0.00034514,0.0003295,0.000280957,0.000229458,0.000259403,0.000197509,0.00023518,0.000219348,0.000228027,0.000210861,0.000277523,0.000295834,0.000311093,0.000318151,0.000329786,0.00036717,0.000432021,0.000445754,0.000609407,0.000622663,0.000720989,0.000769341,0.000796712,0.000975242,0.00106708,0.00115997,0.00122215,0.00136568,0.00175307,0.00171378,0.00201123,0.00223898,0.00249952,0.00303426,0.00357176,0.00400893,0.00456598,0.00575952,0.00704169,0.00816151,0.00969613,0.0112892,0.0141645,0.0167243,0.0195547,0.0239599,0.0275709,0.0327544,0.0397163,0.0445841,0.0537948,0.0616208,0.0711718,0.0830145,0.093153,0.108329,0.119345,0.128925,0.146703,0.156095,0.166909,0.174816,0.183345,0.189101,0.198254,0.205413,0.215349,0.221282,0.226295,0.234994,0.24009,0.245413,0.250516,0.25268,0.255517,0.25973,0.263574,0.26841,0.273793,0.284243
126,0.212005,0.199316,0.183757,0.168418,0.150531,0.133071,0.113681,0.0974527,0.0795173,0.06517,0.0501523,0.0414485,0.0304916,0.0229851,0.0176116,0.0123561,0.00879485,0.00638275,0.00486143,0.00365949,0.00312886,0.00282292,0.00253004,0.00238088,0.0025164,0.00226301,0.00233539,0.0019975,0.00200189,0.00210546,0.00204089,0.00182336,0.00171731,0.00174468,0.00136425,0.00137493,0.00136263,0.00108892,0.000997082,0.000896086,0.000861276,0.000734054,0.000666342,0.000575265,0.000560674,0.000428969,0.000446803,0.000308518,0.000283913,0.000261978,0.000227455,0.000197509,0.000168421,0.00017071,0.000176814,0.000158122,0.000149634,0.000168135,0.000175956,0.000176623,0.000255684,0.000238327,0.000220779,0.000269989,0.000308423,0.000381094,0.000360685,0.000424964,0.000466926,0.000567731,0.000574407,0.000663767,0.000724231,0.000892748,0.00097715,0.000977913,0.0011224,0.00145304,0.0014106,0.00175383,0.00192788,0.00220407,0.00253462,0.00337549,0.00373932,0.00410258,0.00506409,0.0059906,0.00731574,0.00891332,0.0101455,0.0128407,0.0153337,0.0184985,0.0219586,0.0257947,0.0300906,0.0380239,0.0434859,0.050091,0.0594045,0.0679035,0.0800613,0.0898035,0.106057,0.116727,0.127639,0.143065,0.152096,0.161257,0.170735,0.181719,0.187973,0.19749,0.203474,0.211458,0.217176,0.225423,0.232856,0.24009,0.244826,0.248842,0.252524,0.256477,0.257931,0.263744,0.270359,0.27545,0.28444
125,0.213108,0.200095,0.18351,0.165693,0.146283,0.130485,0.113398,0.0973138,0.0794865,0.0647374,0.0515666,0.0406101,0.0294439,0.022478,0.0166447,0.0122677,0.00860817,0.00622559,0.00452363,0.00349651,0.0030951,0.00274567,0.00245727,0.00246176,0.00225385,0.00218843,0.00210012,0.00199073,0.00191024,0.00195068,0.00188535,0.00173295,0.00161603,0.00158846,0.00139162,0.0013035,0.0013283,0.0010606,0.000959697,0.000825895,0.000691615,0.000662909,0.000585374,0.000533207,0.00052863,0.000408846,0.000412947,0.000271706,0.000243572,0.000263981,0.000232128,0.00020943,0.000146677,0.000152113,0.000154784,0.000170901,0.000143626,0.000168708,0.000161746,0.000196841,0.000213531,0.000203613,0.000227169,0.000230983,0.000275616,0.000352102,0.0003336,0.000421626,0.00041247,0.000511749,0.000516995,0.000561437,0.000722992,0.000815595,0.000935664,0.000805676,0.000990215,0.00136339,0.00137217,0.00159266,0.00192302,0.00218109,0.0024094,0.00317035,0.0035728,0.00400254,0.00498188,0.00578965,0.00699622,0.0084166,0.0102265,0.0124979,0.01497,0.0185119,0.0220734,0.025212,0.0298299,0.0374571,0.0431061,0.0492537,0.058355,0.06899,0.0805653,0.0882745,0.103564,0.114636,0.126184,0.144071,0.153176,0.162408,0.172897,0.179725,0.190155,0.195604,0.202169,0.212555,0.219621,0.225052,0.232988,0.23883,0.245855,0.248842,0.252524,0.255996,0.258745,0.263235,0.269647,0.27545,0.286229
124,0.211022,0.194952,0.182854,0.16325,0.147283,0.130694,0.110017,0.095188,0.0776776,0.063287,0.0495456,0.0388646,0.029006,0.0217487,0.0157742,0.0116157,0.00801851,0.00560836,0.00422198,0.00328079,0.00273909,0.00253843,0.00220703,0.00205177,0.00191148,0.00198911,0.00188373,0.00161803,0.00176146,0.00171645,0.00169928,0.00158837,0.00136902,0.0013735,0.00117084,0.00108797,0.000993267,0.000828851,0.000833047,0.00070201,0.000568494,0.000580892,0.000511559,0.000450141,0.000366121,0.000309281,0.000334649,0.000242046,0.000200752,0.000208858,0.000172141,0.000148871,0.000123693,0.000172045,9.35569e-05,0.000101472,0.000105383,0.0001009,0.000101377,0.000121977,0.00014601,0.000175479,0.000152304,0.000166896,0.000207713,0.000242046,0.000253109,0.000292782,0.000322919,0.000405222,0.000420672,0.000503643,0.000527295,0.000563725,0.000720226,0.000795853,0.000851835,0.00109112,0.00122683,0.00140526,0.00156472,0.00175183,0.00212568,0.00258888,0.00302834,0.00335565,0.00436913,0.005552,0.0063496,0.00758493,0.00930535,0.0113877,0.014295,0.0166502,0.0202318,0.0240768,0.0285889,0.034559,0.039697,0.0467413,0.0583883,0.067301,0.0783312,0.0871105,0.101309,0.111819,0.126496,0.140657,0.152435,0.160877,0.172533,0.18012,0.187973,0.193845,0.202169,0.210913,0.218917,0.225671,0.230627,0.239249,0.242938,0.247938,0.252213,0.255517,0.258582,0.264084,0.269115,0.278825,0.287838
123,0.209083,0.195324,0.179097,0.164034,0.145504,0.12856,0.110165,0.0937929,0.0765739,0.0611699,0.0494141,0.0384667,0.0287011,0.0215803,0.0154938,0.01094,0.00772163,0.00544051,0.00413872,0.0031301,0.00257401,0.00238193,0.00206683,0.00191033,0.00192893,0.00187934,0.00183776,0.0014662,0.0016495,0.00169604,0.00164788,0.00145838,0.00131752,0.0013138,0.00110027,0.00110142,0.00098249,0.000777161,0.000771725,0.00066825,0.000583371,0.000525006,0.000508316,0.000405699,0.000335222,0.000283818,0.000278668,0.000213626,0.00018368,0.000172427,0.000131704,0.000112058,0.000103666,0.000109483,9.28893e-05,8.59274e-05,0.000100519,7.74395e-05,8.65949e-05,0.000104334,0.000130655,0.000153925,0.000130083,0.000146582,0.000200179,0.00020285,0.000215724,0.000262169,0.000313859,0.000335698,0.000362974,0.00039416,0.000440795,0.000553712,0.00060111,0.000680076,0.000842584,0.00105449,0.00106584,0.00131933,0.00151675,0.00166953,0.00212587,0.00254311,0.00286536,0.00332418,0.00409199,0.00503376,0.00613041,0.00730961,0.00885551,0.0112331,0.0134961,0.0163094,0.0193351,0.0235277,0.0285332,0.0341357,0.0389459,0.0465289,0.0553356,0.0643509,0.0760761,0.0865766,0.0990074,0.112433,0.123372,0.137355,0.149705,0.160373,0.169464,0.179804,0.186944,0.195231,0.203474,0.20994,0.217637,0.22592,0.231278,0.237583,0.243951,0.247638,0.251903,0.255836,0.259237,0.262897,0.268762,0.275265,0.287233
122,0.204797,0.192569,0.179097,0.159189,0.142716,0.128038,0.106665,0.090438,0.0744445,0.0605102,0.0475995,0.0373308,0.0269434,0.0203172,0.0146582,0.0101039,0.00718901,0.00506733,0.00353475,0.00276017,0.00231413,0.00198825,0.00185492,0.00173934,0.00171216,0.00164864,0.00157235,0.0013571,0.00134165,0.00143053,0.00137293,0.00121023,0.00116512,0.00106613,0.00100319,0.000901236,0.000878824,0.000719272,0.000682841,0.000518711,0.00045882,0.000425727,0.00038777,0.00033999,0.000281529,0.000222782,0.000202087,0.000155165,0.000135901,0.000130083,0.00010605,9.37476e-05,7.10498e-05,6.70443e-05,8.06821e-05,6.68536e-05,7.45785e-05,6.76165e-05,6.22759e-05,8.45922e-05,8.59274e-05,8.99329e-05,8.79301e-05,0.000105287,0.000134565,0.000160506,0.000154593,0.000159934,0.000210002,0.000249676,0.00027533,0.000302033,0.000370317,0.000421721,0.000453861,0.000495632,0.000590047,0.000765335,0.000859178,0.00105879,0.0011943,0.00137608,0.00179665,0.00219759,0.00240263,0.00286173,0.00379091,0.00445087,0.00538672,0.00678191,0.00787801,0.010003,0.0126355,0.0148922,0.0182985,0.0219739,0.0263303,0.0308452,0.0386482,0.0444004,0.0541791,0.061723,0.0733382,0.0839848,0.0943764,0.108732,0.118005,0.135672,0.147177,0.15845,0.168073,0.179175,0.185504,0.192478,0.200095,0.207284,0.216602,0.223334,0.22998,0.236759,0.242077,0.247041,0.251285,0.25504,0.258909,0.264254,0.269647,0.278446,0.287636
121,0.205619,0.194674,0.176854,0.15981,0.142616,0.12545,0.10661,0.0896855,0.0735621,0.0600225,0.0465025,0.0370371,0.0266402,0.0196892,0.014165,0.010085,0.00700352,0.00494488,0.00332475,0.00267739,0.00225938,0.00190232,0.00179074,0.0016063,0.0016042,0.00152171,0.00148775,0.00122187,0.00133869,0.00133059,0.00120832,0.00110571,0.0010174,0.000992218,0.000903334,0.000830568,0.000795377,0.000623903,0.000585088,0.000465782,0.000418574,0.000386053,0.000348001,0.000277905,0.000239948,0.000214294,0.000203994,0.000131895,0.000118257,0.000120165,9.1268e-05,8.55459e-05,6.50416e-05,5.8175e-05,5.91287e-05,5.68399e-05,5.44556e-05,6.64721e-05,4.92103e-05,6.42786e-05,8.73579e-05,7.30526e-05,8.34478e-05,0.000107767,0.000120642,0.000123693,0.000143149,0.000168421,0.000200656,0.000200179,0.000257401,0.000239662,0.000323396,0.000369459,0.000400263,0.000460536,0.000571546,0.000762093,0.000757897,0.000891508,0.00116817,0.00136311,0.00156891,0.00185636,0.00234836,0.00264868,0.00342355,0.00431868,0.00527342,0.00635118,0.00763413,0.00996772,0.0119335,0.0146671,0.0179733,0.0221223,0.025759,0.0316974,0.0370204,0.0432791,0.0515731,0.0623715,0.0717704,0.0817389,0.0964658,0.107646,0.119659,0.134249,0.147336,0.158757,0.16766,0.177313,0.185504,0.194766,0.200486,0.207284,0.217985,0.222726,0.230887,0.236077,0.243661,0.24719,0.252524,0.256316,0.258582,0.264084,0.26947,0.279968,0.286029
120,0.203778,0.190953,0.176473,0.156752,0.140512,0.123894,0.103642,0.0878014,0.0717327,0.0601371,0.0446472,0.035945,0.0255278,0.0191739,0.0133188,0.00955454,0.0065168,0.00453374,0.00322232,0.00246996,0.00192187,0.00176823,0.00153439,0.00136215,0.00132286,0.00133831,0.00129892,0.00105135,0.00113088,0.00118915,0.00108644,0.000972,0.000914969,0.000837911,0.000751793,0.000728618,0.000612173,0.00052224,0.000505455,0.000430495,0.000350958,0.000312524,0.000294118,0.000233082,0.000181201,0.000161269,0.00014868,0.000101854,8.80255e-05,8.25895e-05,6.76165e-05,5.79843e-05,4.40604e-05,3.79568e-05,4.94965e-05,3.37606e-05,2.93736e-05,2.98505e-05,4.40604e-05,4.64446e-05,5.15946e-05,5.40742e-05,5.40742e-05,7.08591e-05,9.71809e-05,9.29847e-05,9.10773e-05,0.000121405,0.000140383,0.000126841,0.000179198,0.000177291,0.000231937,0.000251106,0.000295167,0.000375467,0.000430114,0.00062438,0.000630961,0.000820649,0.00098888,0.00109817,0.00134852,0.00163396,0.00194028,0.0023331,0.00299983,0.00390478,0.00447747,0.00547904,0.0068925,0.00901216,0.0107218,0.0131373,0.016194,0.0210167,0.0239529,0.0295607,0.0351703,0.0410332,0.0506171,0.0612065,0.070028,0.0810595,0.0936214,0.106195,0.115999,0.134646,0.145401,0.155208,0.167935,0.17504,0.184087,0.190067,0.197871,0.207705,0.213775,0.220449,0.22998,0.236623,0.241506,0.247041,0.250516,0.256799,0.260888,0.264766,0.270537,0.279777,0.290081
119,0.204899,0.19122,0.172388,0.155917,0.137771,0.12245,0.10312,0.0876699,0.0722642,0.0563093,0.0447252,0.0342928,0.0257736,0.0186603,0.0134073,0.00927984,0.00632968,0.00438821,0.00301757,0.00221656,0.00189002,0.00162337,0.00139553,0.00132677,0.00133516,0.00116274,0.00122129,0.00104925,0.00102798,0.00110056,0.00107986,0.000931659,0.000846494,0.000847925,0.000724613,0.000651465,0.000615797,0.000440509,0.000476272,0.00038014,0.000339895,0.000284009,0.000266747,0.000214103,0.000169089,0.000131228,0.000128653,9.9279e-05,7.06683e-05,7.14313e-05,5.39788e-05,4.96872e-05,3.51911e-05,2.80385e-05,3.86244e-05,3.93874e-05,3.29023e-05,2.67033e-05,3.82429e-05,3.4905e-05,3.79568e-05,4.06271e-05,5.02594e-05,5.64584e-05,6.41833e-05,6.71397e-05,6.76165e-05,9.40337e-05,0.000103094,0.000126841,0.000140288,0.000146963,0.00019913,0.00024815,0.000263504,0.000312428,0.000385672,0.000527485,0.000582036,0.000776589,0.000868715,0.00095779,0.00130341,0.00156624,0.00179952,0.00229982,0.00283932,0.0034885,0.0045407,0.00529889,0.0066088,0.00845151,0.0104074,0.0126418,0.015622,0.0198418,0.0234872,0.0292212,0.034247,0.0399175,0.0501155,0.0589174,0.06927,0.0790874,0.091366,0.103381,0.116461,0.131449,0.145452,0.154797,0.165225,0.176321,0.182936,0.19131,0.198254,0.206241,0.212445,0.222243,0.229207,0.234724,0.241791,0.246595,0.251903,0.255517,0.258745,0.263404,0.270895,0.278068,0.289261
118,0.200781,0.188406,0.17102,0.154215,0.136622,0.119207,0.102169,0.0853498,0.0684253,0.0551122,0.0430065,0.0340335,0.0245869,0.0182285,0.0127476,0.00863229,0.00570211,0.00411336,0.00271649,0.00201944,0.00171616,0.00143425,0.00124342,0.00120327,0.0011429,0.00105821,0.00108253,0.00100357,0.000903525,0.000896468,0.000871481,0.000738823,0.00074464,0.00069686,0.000607309,0.00056363,0.000504692,0.000378996,0.000337415,0.00031014,0.000247101,0.000217441,0.000202277,0.000154593,0.000131514,0.000115682,9.17449e-05,6.80934e-05,5.52186e-05,4.78752e-05,3.93874e-05,3.79568e-05,2.21256e-05,2.47005e-05,2.55589e-05,2.08858e-05,1.93599e-05,2.43191e-05,2.44144e-05,2.77523e-05,3.40467e-05,2.99458e-05,3.31884e-05,3.79568e-05,3.65263e-05,5.25483e-05,4.4728e-05,6.46601e-05,6.97147e-05,8.63088e-05,9.67041e-05,0.000122549,0.000156119,0.000168898,0.000214294,0.000211433,0.000282006,0.000411517,0.000465972,0.000559911,0.000667582,0.000806916,0.0010112,0.00127222,0.0015013,0.00186761,0.00248512,0.00314231,0.00408026,0.00482738,0.00584554,0.0076021,0.00921429,0.0117666,0.0145246,0.0178231,0.0224706,0.027299,0.0326448,0.0390722,0.04624,0.0563403,0.0669052,0.0786621,0.0890228,0.100563,0.112187,0.130944,0.142072,0.15272,0.164562,0.173117,0.18188,0.188927,0.197585,0.20697,0.212997,0.220449,0.228059,0.233653,0.241506,0.246298,0.250823,0.255517,0.258582,0.265109,0.272155,0.281121,0.291733
