SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2017-Jul-24 20:48:00
Date and Time Ended,2017-Jul-24 20:52:30
Scan Name,TRP_FPGA-TX5-00--RX14-00-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,15823
Horizontal Opening,74
Horizontal Percentage,56.59
Vertical Opening,246
Vertical Percentage,94.12
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.172243,0.15981,0.146388,0.129536,0.118311,0.100985,0.0849075,0.0656821,0.0485128,0.0294948,0.0288061,0.0194129,0.014342,0.00739699,0.00411469,0.00213626,0.00116426,0.000792229,0.00032311,8.61181e-05,1.80247e-05,1.43053e-06,1.43053e-06,2.50343e-07,1.43053e-07,3.57633e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.98028e-08,8.34478e-08,1.43053e-07,5.72213e-07,1.2398e-06,1.5259e-06,6.58045e-06,1.03952e-05,2.80385e-05,4.55863e-05,6.03685e-05,0.000131132,0.000170329,0.00031157,0.000463493,0.00055724,0.000898566,0.00142224,0.00153687,0.001666,0.00315805,0.00388638,0.00471504,0.00670619,0.00707917,0.00934953,0.0103138,0.0139247,0.0174578,0.0192171,0.0236336,0.025922,0.0284381,0.034336,0.0375464,0.0394523,0.0443475,0.0489418,0.0528167,0.0566755,0.0574465,0.0624952,0.0660529,0.0713454,0.0739205,0.0832508,0.0926473,0.104863,0.117127,0.12634,0.147601,0.167523,0.176094,0.207075,0.203373,0.222002,0.237033,0.238274,0.248088,0.252213,0.257121,0.261387,0.270359,0.278257,0.277691,0.297454,0.306582,0.318998
126,0.174741,0.159623,0.145246,0.131618,0.115379,0.101284,0.085421,0.0628983,0.0484841,0.0286529,0.0282908,0.0183798,0.0133684,0.00732713,0.0041619,0.00201324,0.00125086,0.000520237,0.000308709,6.28481e-05,1.19211e-05,3.50481e-06,7.86793e-07,3.45712e-07,8.94083e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,4.17239e-08,7.15267e-08,2.02659e-07,5.84134e-07,1.78817e-06,4.48234e-06,6.67582e-06,2.24117e-05,3.28069e-05,4.53002e-05,0.000106336,0.00013304,0.000252823,0.000402266,0.000507362,0.00086738,0.00106575,0.00143597,0.00157254,0.00282464,0.00390078,0.00447414,0.00660167,0.00633135,0.00915171,0.00903821,0.0131974,0.0169773,0.0185774,0.0228849,0.0252399,0.0273591,0.033767,0.0374571,0.0383264,0.0436295,0.0475995,0.0513919,0.0551196,0.056652,0.0614729,0.0660103,0.0701239,0.0735225,0.0816737,0.0912032,0.104302,0.115216,0.125488,0.152549,0.164562,0.17519,0.207284,0.201176,0.220567,0.237033,0.237583,0.246892,0.251593,0.257444,0.262392,0.270181,0.275265,0.28683,0.301172,0.307503,0.320747
125,0.172388,0.159561,0.144376,0.127639,0.115151,0.0999497,0.0827797,0.0622767,0.047833,0.0284757,0.0268445,0.0186018,0.0131288,0.00732097,0.00364614,0.00198119,0.001079,0.000490768,0.00027924,6.1799e-05,1.29702e-05,4.79229e-06,8.10636e-07,5.12608e-07,5.3645e-08,7.74872e-08,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,4.76844e-08,2.98028e-08,2.02659e-07,7.03346e-07,1.76432e-06,4.00549e-06,8.96468e-06,1.84062e-05,3.27115e-05,4.22484e-05,9.78485e-05,0.00012293,0.000215724,0.000391489,0.000478943,0.000839246,0.00103714,0.00140593,0.00154812,0.0028191,0.00383183,0.00431897,0.00598096,0.00601644,0.00927249,0.00883945,0.0128343,0.0166725,0.0178956,0.0221056,0.0251115,0.0267411,0.0335128,0.0365317,0.0382012,0.0431015,0.0481592,0.0521112,0.0553879,0.0565894,0.0616023,0.0652947,0.0699801,0.0728167,0.0808675,0.0931318,0.100761,0.113429,0.120327,0.147019,0.169885,0.17504,0.207599,0.203879,0.219857,0.237033,0.237583,0.247041,0.25113,0.257931,0.262056,0.273245,0.280928,0.281121,0.300951,0.307503,0.317761
124,0.167798,0.156155,0.144631,0.12856,0.113618,0.0962844,0.0800457,0.0618161,0.0464129,0.0272372,0.0274361,0.0176663,0.0129266,0.00709388,0.0034555,0.00187886,0.00113537,0.000394636,0.000233082,4.93057e-05,1.18257e-05,4.60155e-06,5.84134e-07,3.63594e-07,5.3645e-08,8.34478e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,4.17239e-08,1.43053e-07,3.81476e-07,1.25172e-06,3.24254e-06,5.05455e-06,1.28748e-05,2.29839e-05,3.25208e-05,7.20035e-05,0.000108434,0.0001977,0.000326734,0.00040837,0.000750267,0.00109827,0.00118572,0.00132019,0.00252203,0.00327726,0.00415646,0.0055024,0.00574521,0.00871124,0.0082342,0.0120137,0.0158432,0.0173117,0.0213241,0.0240612,0.0260324,0.0332139,0.0352339,0.0383335,0.0422436,0.0468161,0.0508686,0.0540789,0.0554104,0.0607075,0.0646251,0.0702201,0.0718712,0.0809314,0.0918784,0.099416,0.112279,0.122085,0.142716,0.164959,0.170878,0.20781,0.20177,0.217985,0.235941,0.235399,0.246892,0.251285,0.257768,0.262056,0.271434,0.27694,0.284243,0.306582,0.309829,0.32125
123,0.167455,0.155444,0.141875,0.12925,0.116197,0.0941162,0.0805019,0.0626673,0.0459083,0.0275209,0.0266871,0.0169949,0.0119964,0.00629196,0.00365158,0.00180638,0.000976387,0.000345045,0.000214103,5.07362e-05,1.01091e-05,3.49289e-06,5.84134e-07,2.38422e-07,9.53689e-08,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,5.96056e-09,1.01329e-07,2.62264e-07,1.08482e-06,2.38422e-06,5.62676e-06,1.08721e-05,2.35561e-05,2.88014e-05,6.48508e-05,0.000113203,0.000182822,0.000284295,0.000367742,0.000678168,0.00101186,0.00115492,0.00130035,0.00223907,0.00342117,0.00397002,0.00534924,0.00534371,0.00806509,0.00783701,0.0113288,0.0159294,0.0177429,0.0211709,0.0226985,0.025477,0.031875,0.0344689,0.0373206,0.0417697,0.047259,0.050455,0.0541504,0.055674,0.0597598,0.0627441,0.0692115,0.0716073,0.080281,0.089607,0.099416,0.110284,0.121541,0.144682,0.166096,0.169044,0.205002,0.20297,0.220093,0.235399,0.237583,0.247041,0.250823,0.257444,0.260556,0.273976,0.276753,0.284836,0.305895,0.309361,0.324302
122,0.168905,0.154215,0.139889,0.125835,0.110373,0.0939435,0.0772381,0.0602255,0.0463709,0.0269027,0.0253289,0.0163497,0.0109155,0.00611677,0.00354992,0.00165208,0.000826085,0.000320821,0.000189593,4.58724e-05,1.00137e-05,3.12333e-06,3.2187e-07,6.55661e-08,7.74872e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,4.76844e-08,1.78817e-07,6.55661e-07,1.45438e-06,2.86107e-06,8.10636e-06,1.40192e-05,2.327e-05,4.41558e-05,0.000100137,0.000165084,0.000225071,0.000299458,0.0005663,0.000825418,0.00115415,0.00116846,0.0020613,0.00306449,0.00365463,0.00486191,0.00498846,0.00778163,0.00741856,0.011382,0.0149957,0.016325,0.0203172,0.0223407,0.0248043,0.0313745,0.0340874,0.0366297,0.0414569,0.0457596,0.0506109,0.053409,0.0549864,0.0589174,0.0622956,0.0683226,0.0693404,0.0795482,0.0884843,0.09846,0.108158,0.118448,0.144835,0.165159,0.167798,0.203474,0.200683,0.216487,0.236077,0.235534,0.24719,0.252058,0.25696,0.26256,0.269825,0.279968,0.284046,0.306812,0.315801,0.32379
121,0.168142,0.152379,0.138845,0.125527,0.108158,0.0925217,0.0795328,0.0607796,0.0445017,0.0264118,0.0262526,0.016021,0.00981557,0.00575399,0.00305076,0.00161164,0.000901522,0.000299554,0.000193599,4.50141e-05,8.86931e-06,2.86107e-06,3.81476e-07,6.55661e-08,1.13251e-07,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,1.78817e-08,1.78817e-08,1.96698e-07,5.24529e-07,1.31132e-06,2.19348e-06,7.15267e-06,1.55451e-05,2.07904e-05,5.30251e-05,8.92653e-05,0.00013962,0.000225738,0.000286584,0.000579652,0.000848592,0.00105793,0.00114414,0.00203946,0.0031816,0.00331102,0.00478075,0.00497492,0.00775129,0.00719773,0.0111236,0.0147135,0.0160298,0.0202669,0.0222848,0.0245516,0.0302194,0.0340449,0.0366036,0.0417272,0.045264,0.0498593,0.052647,0.055986,0.0601901,0.062629,0.0677014,0.0696944,0.076431,0.0880657,0.0972445,0.106721,0.118792,0.144122,0.166977,0.166977,0.202269,0.200978,0.21845,0.235128,0.233786,0.246892,0.251748,0.257931,0.262056,0.27508,0.281121,0.28326,0.307503,0.316045,0.329786
120,0.1641,0.151253,0.139745,0.126223,0.108703,0.090478,0.0757245,0.0576487,0.0422175,0.0256381,0.0249691,0.0157348,0.00801726,0.00569667,0.00297875,0.00147793,0.00079366,0.000307088,0.000181773,3.72892e-05,1.37331e-05,1.72856e-06,2.32462e-07,8.94083e-08,1.0729e-07,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.38422e-08,4.76844e-08,1.25172e-07,3.45712e-07,9.6561e-07,1.87161e-06,5.34066e-06,1.18257e-05,1.59266e-05,3.41421e-05,8.25895e-05,0.000108244,0.000199702,0.000228599,0.00044728,0.000784886,0.000850023,0.000967422,0.00196956,0.00302319,0.00303264,0.00451324,0.00470951,0.00699957,0.00682099,0.0107927,0.0142586,0.0150747,0.0190544,0.0212181,0.0232341,0.0295821,0.0331843,0.0355735,0.0400189,0.044066,0.0488367,0.0519789,0.0556362,0.0586139,0.0613532,0.0668834,0.0698013,0.0767461,0.0875013,0.0966251,0.106416,0.117497,0.141337,0.165426,0.165962,0.202569,0.199413,0.216259,0.234187,0.234321,0.24615,0.253148,0.257606,0.261387,0.270181,0.282478,0.288853,0.303853,0.309595,0.328727
119,0.164232,0.149925,0.141288,0.125488,0.109051,0.0901593,0.0749074,0.0580819,0.0429434,0.0248857,0.0233334,0.0157191,0.00722681,0.00554789,0.0030149,0.00144722,0.000797475,0.000251774,0.000176623,4.27253e-05,1.33516e-05,1.54974e-06,1.31132e-07,7.15267e-08,9.53689e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,6.55661e-08,3.09949e-07,6.67582e-07,1.27556e-06,4.2916e-06,8.39246e-06,1.421e-05,3.43328e-05,7.3434e-05,0.000106146,0.000184253,0.000214771,0.000410372,0.000742351,0.000784886,0.000973335,0.00173428,0.0028541,0.00290351,0.00458848,0.00464837,0.00676746,0.00660092,0.0104119,0.0137355,0.0150194,0.0189084,0.0206626,0.0230757,0.0287616,0.0330691,0.0356107,0.0398748,0.0446618,0.0485416,0.0516447,0.0558106,0.0585803,0.0604834,0.0669818,0.0693052,0.0758507,0.0839331,0.096307,0.1038,0.115314,0.140706,0.164298,0.168974,0.201572,0.198447,0.214897,0.231671,0.234321,0.247339,0.253461,0.25696,0.262392,0.272881,0.281895,0.290905,0.306812,0.319247,0.3282
118,0.161194,0.148673,0.138798,0.122413,0.108387,0.0901395,0.0736018,0.0551864,0.0427016,0.0246254,0.02294,0.014798,0.00651597,0.00517109,0.0028438,0.00134794,0.00075494,0.000201038,0.00016165,3.42374e-05,1.00137e-05,1.57359e-06,9.89452e-07,5.3645e-08,1.60935e-07,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.19211e-08,5.96056e-09,5.96056e-08,1.96698e-07,4.64923e-07,8.10636e-07,2.47959e-06,5.8175e-06,8.96468e-06,2.52728e-05,6.18944e-05,9.81346e-05,0.000146963,0.000172904,0.000367075,0.000638399,0.000751411,0.000831521,0.00161173,0.00255522,0.00295853,0.00434119,0.00407597,0.00630862,0.00615101,0.00991728,0.0131512,0.0136368,0.0182789,0.0195417,0.0221534,0.0287737,0.0321831,0.03538,0.0391506,0.0432837,0.0485588,0.0512441,0.0546635,0.0581479,0.0610878,0.066331,0.0685398,0.0747707,0.0841919,0.0938144,0.102887,0.11454,0.136078,0.161448,0.163707,0.198639,0.195231,0.214335,0.229464,0.232328,0.245855,0.252992,0.257444,0.266489,0.276007,0.28563,0.285034,0.308661,0.318998,0.330851
