SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2017-Jul-24 20:54:44
Date and Time Ended,2017-Jul-24 20:56:47
Scan Name,TRP_FPGA-TX5-02--RX14-02-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,6844
Horizontal Opening,35
Horizontal Percentage,53.85
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-8
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.250057,0.249752,0.249676,0.250286,0.25021,0.249296,0.249524,0.247115,0.241577,0.226108,0.207284,0.173373,0.130112,0.0860401,0.0522941,0.0288233,0.0139484,0.00557527,0.00225872,0.000673495,0.000238231,6.44694e-05,1.79294e-05,4.95918e-06,9.53689e-07,3.33791e-07,5.3645e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,6.55661e-08,1.33516e-06,1.41146e-05,0.00010338,0.000529488,0.00233616,0.00650874,0.0178573,0.0414066,0.0744581,0.116049,0.15436,0.193159,0.222062,0.233453,0.243371,0.246372,0.249372,0.248088,0.249296,0.250363
126,0.250593,0.250134,0.249828,0.250134,0.249752,0.249524,0.24854,0.246669,0.24172,0.224435,0.20393,0.17199,0.124648,0.0831156,0.0499626,0.0277446,0.0129049,0.00524205,0.00206035,0.000656519,0.000205234,5.87472e-05,1.56405e-05,4.24392e-06,6.4374e-07,1.72856e-07,5.96056e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,3.57633e-08,1.04906e-06,1.04906e-05,7.57229e-05,0.000417334,0.0019646,0.0059987,0.0172203,0.0379799,0.072424,0.112758,0.150365,0.190731,0.217003,0.23372,0.243299,0.24615,0.248013,0.250134,0.249296,0.249981
125,0.249905,0.249905,0.250439,0.249676,0.249069,0.249905,0.249372,0.247041,0.240231,0.224928,0.205105,0.169044,0.123334,0.0847143,0.0497744,0.0269629,0.0131664,0.00524529,0.00203155,0.000593576,0.000203326,5.47417e-05,1.25887e-05,3.6717e-06,7.74872e-07,2.08619e-07,7.15267e-08,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,3.57633e-08,7.62951e-07,1.18257e-05,7.8584e-05,0.000394636,0.00187533,0.00579957,0.0158576,0.0362938,0.0718838,0.111333,0.148646,0.187414,0.214728,0.23352,0.242435,0.246818,0.24854,0.249752,0.250057,0.250286
124,0.250363,0.25021,0.249372,0.249981,0.250439,0.249752,0.249372,0.246002,0.24009,0.222666,0.20287,0.16325,0.119694,0.079874,0.0468965,0.0251423,0.0116455,0.00488136,0.001804,0.000545319,0.000178721,5.16899e-05,9.15541e-06,3.45712e-06,6.07977e-07,1.66896e-07,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,3.57633e-08,7.62951e-07,7.0573e-06,5.87472e-05,0.000357443,0.00169394,0.00514725,0.0144664,0.0345707,0.0678023,0.105064,0.14324,0.181961,0.21239,0.230887,0.241506,0.246372,0.248163,0.249069,0.249676,0.248918
123,0.249828,0.250134,0.249828,0.249905,0.250134,0.248842,0.24854,0.246818,0.239109,0.222002,0.199607,0.164793,0.115006,0.0808755,0.0456372,0.0250562,0.0116707,0.00445487,0.00175326,0.000527199,0.000168803,4.38697e-05,1.29702e-05,2.88491e-06,6.02016e-07,1.37093e-07,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.98028e-08,5.24529e-07,7.82025e-06,7.40063e-05,0.000377661,0.00155604,0.00493553,0.0136359,0.0327977,0.0654512,0.106596,0.14339,0.183141,0.212445,0.22825,0.240161,0.246002,0.248013,0.249981,0.249828,0.250286
122,0.250134,0.249828,0.24922,0.2496,0.25021,0.249296,0.247489,0.245781,0.239389,0.221342,0.198254,0.16228,0.11376,0.0753622,0.0435344,0.0236684,0.0110431,0.00433871,0.00168956,0.000471122,0.000154307,4.10086e-05,1.10628e-05,2.45575e-06,5.84134e-07,9.53689e-08,3.57633e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.38422e-08,4.17239e-07,7.62951e-06,4.86381e-05,0.000291447,0.00134699,0.00480411,0.0130737,0.0302529,0.0621774,0.100972,0.136327,0.179332,0.208021,0.228122,0.23897,0.246298,0.247339,0.249905,0.2496,0.250439
121,0.249981,0.250134,0.249448,0.249752,0.250057,0.249905,0.248163,0.246076,0.23779,0.221103,0.19472,0.163087,0.112479,0.0761539,0.0431901,0.0224841,0.0105636,0.00421931,0.00162127,0.000446899,0.000151827,4.55863e-05,1.20165e-05,2.36038e-06,5.12608e-07,1.0729e-07,2.38422e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,3.81476e-07,5.72213e-06,5.18807e-05,0.000300793,0.0013344,0.00429484,0.012351,0.0300752,0.0609832,0.0987687,0.136851,0.179175,0.205826,0.227489,0.240231,0.245781,0.247938,0.248239,0.249981,0.25021
120,0.250593,0.250823,0.249448,0.24922,0.249296,0.250057,0.248239,0.24556,0.237239,0.21921,0.194258,0.158053,0.10879,0.0712213,0.0423265,0.021452,0.00996738,0.00381819,0.00148756,0.000412375,0.000136378,3.4905e-05,1.08721e-05,1.83585e-06,5.42411e-07,9.53689e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.78817e-08,2.86107e-07,4.00549e-06,5.0927e-05,0.000246624,0.00111601,0.00408579,0.0120331,0.0284984,0.0568683,0.0960248,0.133028,0.176587,0.205105,0.226985,0.2389,0.245339,0.248013,0.248314,0.249905,0.250134
119,0.249905,0.250977,0.249905,0.249905,0.249828,0.250057,0.248013,0.245633,0.236009,0.217811,0.192478,0.152663,0.106985,0.0714325,0.0395991,0.0208545,0.00952754,0.00360723,0.00137694,0.000383001,0.000114252,3.50958e-05,6.48508e-06,1.78817e-06,3.2187e-07,9.53689e-08,5.96056e-09,1.78817e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,2.38422e-08,2.92067e-07,3.98165e-06,3.75753e-05,0.000230793,0.00114881,0.00375334,0.0113703,0.0273637,0.0567698,0.0944962,0.130819,0.171809,0.204032,0.226108,0.239529,0.244753,0.246966,0.249145,0.248389,0.249524
118,0.250593,0.248918,0.249828,0.250363,0.249448,0.249145,0.247713,0.244169,0.234724,0.215689,0.190023,0.149897,0.104116,0.0674006,0.0387012,0.0195142,0.00913005,0.00345064,0.00129244,0.000340467,0.000120737,3.01366e-05,6.67582e-06,1.57359e-06,3.2187e-07,9.53689e-08,2.98028e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.96698e-07,3.36175e-06,2.6894e-05,0.000200847,0.00097219,0.00326677,0.0106788,0.0246788,0.0535592,0.0903781,0.127322,0.169499,0.199364,0.222062,0.237514,0.244096,0.246892,0.248842,0.249905,0.248993
117,0.249676,0.249372,0.249752,0.250593,0.249448,0.248691,0.247713,0.244534,0.234657,0.213664,0.185673,0.144835,0.100526,0.0659412,0.0362088,0.0190993,0.00861124,0.00320153,0.00114176,0.000329404,9.61318e-05,2.91829e-05,6.10361e-06,1.09674e-06,2.32462e-07,5.3645e-08,1.19211e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.37093e-07,2.62264e-06,2.51774e-05,0.000171092,0.00079881,0.00302262,0.00975566,0.0233833,0.0491827,0.0886854,0.121003,0.164826,0.19951,0.218625,0.235263,0.243516,0.246743,0.247863,0.249905,0.249828
116,0.250669,0.249905,0.250823,0.25021,0.250823,0.249296,0.247265,0.243588,0.23332,0.213164,0.18388,0.148269,0.0967392,0.0632431,0.0345853,0.0176846,0.00830606,0.0029963,0.00104162,0.000291066,8.37339e-05,2.17441e-05,4.76844e-06,1.12058e-06,2.44383e-07,4.76844e-08,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,5.96056e-09,1.13251e-07,2.12196e-06,2.26978e-05,0.000127794,0.000769055,0.00273842,0.00880121,0.0212699,0.0460787,0.0816086,0.115168,0.160405,0.194304,0.21968,0.236418,0.242291,0.245855,0.248766,0.249448,0.250286
