SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2017-Dec-15 21:07:30
Date and Time Ended,2017-Dec-15 21:07:50
Scan Name,TRP_FPGA-TX5-04--RX5-04-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,7565
Horizontal Opening,37
Horizontal Percentage,56.92
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.249981,0.249524,0.250593,0.250669,0.249296,0.249676,0.2496,0.25021,0.249905,0.248842,0.247265,0.242148,0.224373,0.090478,0.131196,0.0822477,0.038492,0.0128425,0.0031157,0.000812924,0.000111582,1.29702e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,5.34066e-06,5.32158e-05,0.000555047,0.00193275,0.00535649,0.0254746,0.0488076,0.03737,0.109884,0.0733907,0.119224,0.193068,0.179804,0.203172,0.221462,0.242794,0.246892,0.249524,0.249905,0.250057
126,0.250977,0.249676,0.250057,0.250593,0.249905,0.249752,0.24922,0.24854,0.249448,0.248615,0.226733,0.19951,0.226108,0.183469,0.135224,0.0459418,0.013359,0.00643473,0.00327859,0.000352102,9.93744e-05,9.15541e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,8.01099e-06,8.25895e-05,0.000479133,0.00121099,0.00598383,0.0148965,0.0453065,0.035077,0.0987449,0.124743,0.111167,0.190953,0.175829,0.202669,0.216487,0.234859,0.243806,0.247339,0.249676,0.249981
125,0.250516,0.249905,0.249676,0.250516,0.250516,0.250669,0.24922,0.250746,0.247563,0.240231,0.228696,0.189539,0.152862,0.153062,0.0460321,0.0310852,0.0200012,0.00542458,0.00142424,0.000494774,8.52598e-05,7.82025e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.05455e-06,2.61311e-05,0.000235943,0.00260338,0.00420958,0.0166174,0.0179954,0.076919,0.0363292,0.142467,0.171306,0.152492,0.176245,0.222183,0.232064,0.233187,0.246818,0.24719,0.249676,0.249524
124,0.250823,0.25021,0.250363,0.249372,0.250516,0.249905,0.249296,0.2496,0.247414,0.237652,0.246669,0.235263,0.136259,0.0755847,0.130694,0.0713578,0.0129577,0.00825456,0.00288624,0.000523194,6.59953e-05,5.5314e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,5.8175e-06,7.32433e-05,0.000530632,0.00157702,0.00280499,0.0148331,0.045465,0.0200747,0.0662988,0.065598,0.167626,0.147921,0.202769,0.217753,0.23246,0.239949,0.246892,0.247265,0.24922,0.248842
123,0.250363,0.249752,0.249752,0.249828,0.250057,0.248615,0.249752,0.249676,0.249448,0.249372,0.246892,0.236691,0.218742,0.172352,0.133028,0.0701359,0.012651,0.00960288,0.00258354,0.000241665,5.14992e-05,5.5314e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,8.5832e-06,3.24254e-05,0.000174334,0.001322,0.00498493,0.0168318,0.0139738,0.0352627,0.0992473,0.137194,0.105961,0.1579,0.204388,0.197442,0.217003,0.240372,0.24222,0.248993,0.249372,0.250593
122,0.250593,0.249069,0.249981,0.249828,0.250669,0.249752,0.249828,0.250057,0.249752,0.238761,0.245633,0.230109,0.209297,0.0796488,0.0379552,0.0232249,0.0192176,0.00571756,0.00103609,0.000341802,3.35698e-05,2.86107e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.00824e-06,2.89921e-05,0.000220493,0.000895132,0.00252327,0.00944057,0.0227577,0.068135,0.0321628,0.131808,0.09375,0.186858,0.174667,0.196778,0.211349,0.237721,0.240584,0.246818,0.250134,0.249752
121,0.250516,0.250057,0.249828,0.250516,0.250286,0.249676,0.250363,0.249828,0.249448,0.237171,0.223822,0.180996,0.21021,0.0679316,0.117094,0.0672623,0.0313025,0.00378405,0.00128958,0.000181773,2.46052e-05,3.14717e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.2916e-06,5.83658e-05,8.64042e-05,0.000863279,0.00261978,0.00648833,0.0132349,0.0201547,0.0527317,0.0715698,0.158205,0.184502,0.174779,0.216716,0.228504,0.230368,0.245046,0.246669,0.250363,0.249905
120,0.249981,0.250286,0.248993,0.250516,0.249752,0.250516,0.250593,0.249145,0.246372,0.24854,0.219916,0.179844,0.131322,0.158727,0.115835,0.0657771,0.012977,0.00536984,0.0014147,0.000141909,3.58587e-05,2.57496e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.5314e-06,5.91287e-05,0.000121309,0.000819219,0.00161326,0.00613298,0.0356742,0.0303223,0.0973369,0.128844,0.159935,0.141361,0.165259,0.216888,0.2273,0.227805,0.240513,0.247115,0.247713,0.250516
119,0.251593,0.249296,0.250057,0.250134,0.250057,0.250439,0.249296,0.24719,0.244461,0.247863,0.243878,0.23279,0.129087,0.0693756,0.0316167,0.0203677,0.0102651,0.00699702,0.00159323,0.000150111,1.64034e-05,2.86107e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.0518e-06,2.17441e-05,9.823e-05,0.000658427,0.00168746,0.00576181,0.0159785,0.0587652,0.0307815,0.130112,0.0919402,0.132042,0.161991,0.193023,0.21501,0.235602,0.241577,0.248615,0.248389,0.249296
118,0.250746,0.2496,0.2496,0.2496,0.250363,0.249296,0.249752,0.249145,0.249145,0.235534,0.243733,0.230562,0.206918,0.0872218,0.109444,0.0564179,0.0103689,0.00496757,0.0016001,0.000131991,3.1281e-05,3.0518e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.14717e-06,8.5832e-06,0.000126268,0.000570115,0.0012623,0.00655108,0.0116287,0.016371,0.0417229,0.0565776,0.0921886,0.16006,0.195324,0.191937,0.211786,0.236145,0.244534,0.247563,0.249069,0.249524
