SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2017-Dec-15 21:03:52
Date and Time Ended,2017-Dec-15 21:04:31
Scan Name,TRP_FPGA-TX5-05--RX5-05-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,16326
Horizontal Opening,77
Horizontal Percentage,59.69
Vertical Opening,254
Vertical Percentage,98.82
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.204797,0.184585,0.17038,0.153463,0.130236,0.111333,0.0930895,0.0748663,0.0601371,0.047259,0.0362216,0.0278011,0.0187251,0.014141,0.00932782,0.0063747,0.00391489,0.00239471,0.00146582,0.000828374,0.000433261,0.000243477,0.000156405,9.66087e-05,6.53277e-05,4.48234e-05,3.60494e-05,2.82292e-05,2.26978e-05,1.64988e-05,1.5259e-05,1.19211e-05,1.00137e-05,6.38972e-06,6.77119e-06,4.38697e-06,1.71664e-06,1.62127e-06,1.43053e-06,8.5832e-07,8.5832e-07,1.2398e-06,6.67582e-07,1.90738e-07,9.53689e-08,4.76844e-07,9.53689e-08,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.86107e-07,2.86107e-07,2.86107e-07,2.86107e-07,9.53689e-07,6.67582e-07,5.72213e-07,2.86107e-07,7.62951e-07,8.5832e-07,1.90738e-06,2.47959e-06,4.76844e-06,7.53414e-06,1.74525e-05,2.59403e-05,4.88289e-05,8.78347e-05,0.000151827,0.000230983,0.000389773,0.000674926,0.0010317,0.00162308,0.00231727,0.00322318,0.00453517,0.00656948,0.00845342,0.0113795,0.0146294,0.0181815,0.0225995,0.0274012,0.0331494,0.0403501,0.0473793,0.054547,0.0631212,0.0715448,0.0834713,0.0959011,0.103354,0.116296,0.127045,0.137494,0.149596,0.158757,0.168765,0.185169,0.195884,0.20531,0.21603,0.222122,0.230368,0.237033,0.242507,0.244972,0.252524,0.256156,0.261554,0.266836,0.278257,0.288853
126,0.20187,0.185337,0.167523,0.15272,0.128279,0.112064,0.0910613,0.074648,0.0588581,0.0456575,0.0348028,0.0257574,0.0186145,0.0132619,0.0090596,0.00584945,0.00385195,0.00231565,0.00133268,0.000783074,0.000393301,0.000214389,0.00013323,7.26711e-05,4.68261e-05,3.35698e-05,3.14717e-05,2.04089e-05,1.67849e-05,1.01091e-05,1.23026e-05,8.48783e-06,6.86656e-06,3.71939e-06,5.5314e-06,1.90738e-06,2.09812e-06,1.14443e-06,8.5832e-07,4.76844e-07,6.67582e-07,2.86107e-07,3.81476e-07,1.90738e-07,3.81476e-07,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,4.76844e-07,9.53689e-08,2.86107e-07,8.5832e-07,9.53689e-07,2.00275e-06,1.90738e-06,3.24254e-06,4.2916e-06,1.15396e-05,2.00275e-05,3.98642e-05,7.61997e-05,0.000123407,0.000214485,0.000372129,0.000606641,0.00097734,0.00134461,0.00199378,0.00286765,0.00411774,0.00613689,0.00799114,0.0105035,0.0137273,0.0172192,0.0215508,0.0258811,0.0318329,0.0380522,0.0460218,0.053809,0.0622672,0.070196,0.0819024,0.0907385,0.101687,0.112991,0.122706,0.135046,0.150034,0.158022,0.169745,0.182854,0.194489,0.203373,0.214672,0.221522,0.229722,0.236077,0.241934,0.245855,0.250516,0.25696,0.264084,0.270537,0.280928,0.28865
125,0.200486,0.183181,0.165693,0.149432,0.128118,0.108963,0.0907184,0.0737608,0.0585803,0.0462035,0.035059,0.0256589,0.0181036,0.0127842,0.00856855,0.00592622,0.00362221,0.00226167,0.00124447,0.000736343,0.000378519,0.000203803,0.000119116,7.06683e-05,4.3679e-05,2.90875e-05,2.15534e-05,1.89784e-05,1.421e-05,1.32563e-05,1.12535e-05,5.34066e-06,4.76844e-06,3.24254e-06,4.00549e-06,1.81201e-06,8.5832e-07,1.2398e-06,9.53689e-07,7.62951e-07,6.67582e-07,3.81476e-07,3.81476e-07,9.53689e-07,9.53689e-08,1.90738e-07,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.86107e-07,9.53689e-08,1.90738e-07,6.67582e-07,2.86107e-07,1.04906e-06,1.43053e-06,2.67033e-06,3.0518e-06,1.15396e-05,1.6022e-05,3.78614e-05,6.52323e-05,0.000107099,0.000208762,0.000344854,0.000543126,0.000925078,0.00129635,0.00197881,0.00282282,0.00409209,0.00601701,0.00778814,0.0105083,0.0134983,0.0166739,0.0216854,0.0260126,0.0310816,0.0380063,0.044386,0.0529328,0.0596988,0.0694462,0.0793325,0.0892361,0.100268,0.109488,0.123819,0.13644,0.147761,0.159066,0.169184,0.184336,0.192841,0.202669,0.213219,0.221882,0.2273,0.235263,0.240937,0.24615,0.252524,0.256156,0.260888,0.269647,0.282089,0.28583
124,0.199899,0.183922,0.166705,0.146966,0.130071,0.106721,0.0874453,0.0715198,0.0566441,0.0436202,0.0332004,0.0249099,0.0171536,0.0123476,0.0082601,0.00552615,0.0034122,0.00209583,0.00119821,0.00067483,0.000327306,0.000169757,9.77531e-05,5.31205e-05,3.20439e-05,2.27932e-05,1.86923e-05,1.22072e-05,1.12535e-05,7.15267e-06,7.82025e-06,3.91012e-06,4.19623e-06,2.28885e-06,2.28885e-06,9.53689e-07,1.04906e-06,3.81476e-07,5.72213e-07,1.90738e-07,4.76844e-07,4.76844e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,1.90738e-07,3.81476e-07,3.81476e-07,1.90738e-07,4.76844e-07,1.04906e-06,2.19348e-06,3.71939e-06,8.86931e-06,1.50683e-05,2.73709e-05,5.83658e-05,9.26986e-05,0.000165942,0.000285344,0.000494965,0.000814069,0.00115415,0.00179122,0.00259155,0.00371805,0.00551604,0.00715098,0.0097613,0.0128536,0.0159294,0.0200791,0.0247773,0.0306284,0.0366888,0.0416465,0.0513855,0.0583052,0.0690598,0.0783162,0.0891196,0.0989118,0.109138,0.12289,0.133462,0.144631,0.15845,0.168004,0.182123,0.192117,0.20088,0.210696,0.222243,0.226671,0.23567,0.242363,0.246595,0.251748,0.256156,0.262897,0.271254,0.279777,0.29215
123,0.197395,0.184419,0.162796,0.146283,0.126145,0.107083,0.0875762,0.0704496,0.0547512,0.0446278,0.0336588,0.0246639,0.0171314,0.0122406,0.00800347,0.00541514,0.00338054,0.00196164,0.00111772,0.000632105,0.000327974,0.00016022,8.9456e-05,4.58724e-05,3.08995e-05,2.36515e-05,1.73571e-05,1.3447e-05,1.01091e-05,6.10361e-06,5.72213e-06,3.71939e-06,3.52865e-06,1.90738e-06,2.38422e-06,1.81201e-06,4.76844e-07,9.53689e-07,4.76844e-07,3.81476e-07,1.90738e-07,1.90738e-07,9.53689e-08,2.86107e-07,9.53689e-08,1.90738e-07,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.90738e-07,2.86107e-07,1.90738e-07,4.76844e-07,6.67582e-07,4.76844e-07,4.76844e-07,1.62127e-06,2.57496e-06,9.63226e-06,1.17304e-05,2.23163e-05,4.94011e-05,9.37476e-05,0.000153067,0.000274567,0.000452049,0.000790799,0.00114128,0.00175288,0.00241646,0.00374447,0.00527008,0.00702743,0.00968147,0.012292,0.0155361,0.0201245,0.0239347,0.029565,0.0358412,0.0419494,0.0494798,0.0581892,0.0677238,0.0777365,0.0877262,0.0973601,0.109312,0.121325,0.131829,0.145349,0.1579,0.167318,0.181719,0.192388,0.200683,0.210372,0.220567,0.227426,0.234859,0.240513,0.245707,0.251285,0.256799,0.263744,0.270537,0.280544,0.292358
122,0.197205,0.179253,0.162151,0.141728,0.125565,0.106888,0.0868888,0.0695405,0.0541576,0.0429749,0.0326396,0.0240697,0.0165259,0.0116507,0.00779837,0.00524424,0.00311818,0.00183852,0.00102417,0.000592432,0.000310426,0.000153067,7.62951e-05,4.33928e-05,2.54635e-05,1.56405e-05,1.24933e-05,8.67857e-06,9.25078e-06,4.48234e-06,4.57771e-06,2.09812e-06,3.52865e-06,1.5259e-06,1.33516e-06,9.53689e-07,4.76844e-07,2.86107e-07,9.53689e-08,2.86107e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.81476e-07,6.67582e-07,9.53689e-07,2.09812e-06,5.14992e-06,1.00137e-05,1.85969e-05,5.02594e-05,8.11589e-05,0.000124743,0.000245861,0.00040074,0.00067464,0.00102426,0.00155423,0.00219272,0.00338035,0.00477617,0.00660284,0.0089472,0.0114803,0.0145773,0.0190447,0.0230135,0.0287757,0.0340081,0.0402866,0.0475112,0.0554254,0.0653051,0.0760055,0.0866682,0.0937715,0.106971,0.120753,0.130652,0.143616,0.152379,0.165693,0.179253,0.189451,0.199025,0.211895,0.21845,0.2273,0.234455,0.241079,0.24615,0.251285,0.257283,0.264425,0.272699,0.286029,0.296163
121,0.195978,0.17716,0.160751,0.142072,0.122743,0.101209,0.0869995,0.066331,0.0536469,0.0414653,0.0316215,0.0238011,0.0157445,0.0115297,0.00773373,0.00499161,0.003126,0.0018184,0.00100576,0.000546941,0.000279812,0.000139906,7.49599e-05,3.63355e-05,2.01228e-05,1.45914e-05,1.05859e-05,6.67582e-06,6.38972e-06,3.14717e-06,4.00549e-06,1.90738e-06,2.28885e-06,1.33516e-06,1.2398e-06,1.43053e-06,3.81476e-07,1.90738e-07,3.81476e-07,4.76844e-07,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,9.53689e-08,1.90738e-07,4.76844e-07,6.67582e-07,2.28885e-06,4.86381e-06,7.82025e-06,1.81201e-05,4.42512e-05,7.26711e-05,0.000126078,0.000222782,0.000375277,0.000664721,0.00095264,0.00153925,0.00205005,0.00327363,0.00478199,0.00640992,0.00877883,0.0114297,0.0143065,0.0187534,0.0229131,0.0282439,0.0339517,0.0401838,0.0479337,0.056101,0.0642903,0.0751548,0.0836418,0.0929838,0.107336,0.117429,0.128763,0.143115,0.153636,0.165693,0.17739,0.189364,0.201176,0.209833,0.218917,0.227805,0.234054,0.239249,0.24468,0.248691,0.25696,0.263913,0.274159,0.28583,0.294884
120,0.19275,0.178317,0.157053,0.13819,0.120575,0.103773,0.08205,0.0659571,0.0529533,0.0403779,0.0303403,0.0220698,0.0158083,0.0112162,0.00722719,0.00457666,0.00281319,0.00169051,0.000923743,0.00052348,0.000253872,0.000121309,6.37064e-05,2.86107e-05,1.85016e-05,1.07767e-05,9.63226e-06,3.62402e-06,4.95918e-06,4.86381e-06,3.62402e-06,1.71664e-06,1.62127e-06,1.04906e-06,9.53689e-07,5.72213e-07,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,7.62951e-07,4.76844e-07,1.43053e-06,2.47959e-06,6.10361e-06,1.53544e-05,3.32837e-05,5.76028e-05,9.79438e-05,0.00020428,0.000345331,0.000573167,0.000853552,0.00132839,0.00189355,0.00303388,0.00436799,0.00588512,0.00819991,0.0104702,0.0137057,0.0179828,0.0216476,0.0267533,0.0325152,0.0389052,0.0460684,0.0528918,0.0625907,0.0735357,0.0832846,0.0934505,0.104809,0.117295,0.125565,0.139793,0.151477,0.164034,0.176549,0.186688,0.200388,0.20887,0.219386,0.226922,0.233387,0.240796,0.246002,0.251285,0.256477,0.265453,0.273062,0.283652,0.301393
119,0.195324,0.178472,0.156812,0.13847,0.118654,0.10141,0.0838816,0.0651908,0.0516772,0.0388461,0.0293153,0.021961,0.0153965,0.0107742,0.00705576,0.0044482,0.00274977,0.0016393,0.000860513,0.000504597,0.000245193,0.000109674,6.14176e-05,3.22347e-05,1.72618e-05,9.72763e-06,7.15267e-06,4.19623e-06,3.0518e-06,3.0518e-06,1.81201e-06,1.81201e-06,1.04906e-06,2.86107e-07,4.76844e-07,4.76844e-07,6.67582e-07,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,5.72213e-07,1.43053e-06,2.95644e-06,5.62676e-06,1.23026e-05,2.83246e-05,4.86381e-05,9.63226e-05,0.000181773,0.00031796,0.000535306,0.000790322,0.00124886,0.00179189,0.00293011,0.00433833,0.00556907,0.00797666,0.0103926,0.0132234,0.0172156,0.0211633,0.0262847,0.0316411,0.0379148,0.0451194,0.053972,0.0615375,0.0729334,0.0813655,0.0913253,0.104302,0.114284,0.124952,0.137632,0.150641,0.165092,0.178007,0.18806,0.196731,0.20781,0.219857,0.22642,0.232856,0.239389,0.24468,0.251439,0.257768,0.266663,0.273976,0.287233,0.298974
118,0.193661,0.174518,0.157779,0.136395,0.117396,0.0983182,0.0810916,0.0648399,0.0500481,0.0394789,0.0292421,0.0213319,0.0143975,0.0102378,0.00682975,0.00424268,0.0025535,0.00155346,0.000812924,0.000483616,0.00021973,0.00010071,5.80797e-05,2.07904e-05,1.33516e-05,7.43877e-06,5.72213e-06,4.2916e-06,2.00275e-06,1.81201e-06,2.00275e-06,7.62951e-07,1.14443e-06,2.86107e-07,3.81476e-07,2.86107e-07,2.86107e-07,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,1.90738e-07,3.81476e-07,1.04906e-06,2.19348e-06,5.05455e-06,1.02045e-05,2.66079e-05,4.25345e-05,8.68811e-05,0.000149252,0.000261692,0.000472171,0.000718986,0.00113708,0.00165408,0.00265135,0.00394589,0.00526284,0.00726037,0.00956503,0.0121354,0.0165666,0.0200369,0.0253023,0.0303088,0.0365089,0.0438772,0.0519394,0.060555,0.0705953,0.0801396,0.0902984,0.101586,0.113085,0.125758,0.13965,0.148028,0.161257,0.175115,0.185925,0.196166,0.207075,0.214897,0.22617,0.23154,0.239669,0.244972,0.250669,0.258419,0.265797,0.276007,0.288041,0.304531
