SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 01:41:19
Date and Time Ended,2018-Jan-24 01:42:00
Scan Name,MSP_A_FPGA-TX1-01--RX13-01-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,16992
Horizontal Opening,78
Horizontal Percentage,60.47
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.200388,0.189979,0.174667,0.152833,0.138517,0.118757,0.105078,0.0901395,0.0757665,0.0617044,0.0502261,0.0404377,0.0308987,0.0237528,0.0153108,0.0109149,0.00674029,0.00420796,0.00251326,0.00124399,0.000576314,0.000264363,0.000116159,3.73846e-05,1.66896e-05,4.76844e-06,1.81201e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,8.5832e-07,2.38422e-06,7.53414e-06,1.04906e-05,2.02182e-05,4.75891e-05,8.86931e-05,0.0001565,0.000276761,0.000447375,0.00067607,0.00108644,0.00164111,0.00255236,0.00396706,0.00599746,0.00904001,0.0131605,0.0201959,0.0273299,0.0379324,0.0498957,0.0668615,0.0807877,0.0970371,0.117801,0.141385,0.152039,0.170522,0.186688,0.199802,0.209618,0.219034,0.229207,0.237998,0.241221,0.244972,0.249905,0.251285,0.258093,0.25973,0.268939,0.277127,0.28444
126,0.206241,0.19042,0.168905,0.152265,0.13819,0.120398,0.10359,0.0875762,0.0738007,0.0606536,0.049438,0.0400307,0.0303223,0.0229876,0.0153458,0.0106068,0.00622454,0.00409133,0.00233959,0.00115196,0.00052882,0.000225834,0.000102808,3.86244e-05,1.25887e-05,2.95644e-06,1.62127e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.19348e-06,4.19623e-06,9.06004e-06,1.66896e-05,4.00549e-05,6.80934e-05,0.000131228,0.000227741,0.000380617,0.000596056,0.000985828,0.00159447,0.00229953,0.00367103,0.00561503,0.00834356,0.0125627,0.0191874,0.0260987,0.0358601,0.0495396,0.0639491,0.0819187,0.0958114,0.113429,0.132255,0.155208,0.164893,0.190243,0.200192,0.214111,0.222484,0.228696,0.23352,0.239249,0.246743,0.248993,0.252368,0.256477,0.264595,0.267883,0.276753,0.29446
125,0.203172,0.186688,0.168557,0.155032,0.134779,0.114476,0.101864,0.0861034,0.0734566,0.0607976,0.0489242,0.0385863,0.0301793,0.0222957,0.0148092,0.0103004,0.00607176,0.00409495,0.00227741,0.00107996,0.000497158,0.000231174,0.000100328,3.60494e-05,8.29709e-06,2.67033e-06,1.5259e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.04906e-06,8.5832e-07,4.76844e-06,8.01099e-06,1.83108e-05,3.50958e-05,6.17037e-05,0.000114443,0.000215152,0.00036059,0.000585851,0.00093471,0.00142815,0.00225767,0.00362469,0.00543135,0.00793771,0.0123819,0.017952,0.0258142,0.0358632,0.0474067,0.0643105,0.0786772,0.0979889,0.112588,0.136395,0.151197,0.170522,0.178862,0.201077,0.209833,0.220924,0.230109,0.231933,0.23897,0.244242,0.247938,0.252368,0.255199,0.26256,0.271075,0.283064,0.287434
124,0.204184,0.189101,0.171594,0.150863,0.134205,0.115934,0.102707,0.0854388,0.0714449,0.0600577,0.0480687,0.0370204,0.0282051,0.0214694,0.014433,0.0097143,0.00595569,0.00387284,0.00215543,0.00097734,0.000429637,0.000223163,8.43061e-05,3.0518e-05,1.05859e-05,3.14717e-06,1.33516e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.43053e-06,3.0518e-06,5.62676e-06,1.53544e-05,3.1281e-05,4.95918e-05,9.67041e-05,0.000207046,0.000316243,0.000526532,0.000790322,0.0012892,0.00213846,0.00332704,0.00512875,0.00772498,0.0115708,0.0174473,0.0240118,0.034167,0.0461202,0.0614636,0.0766312,0.0961713,0.114861,0.132812,0.143616,0.167866,0.180517,0.194766,0.209511,0.215803,0.227932,0.23635,0.239949,0.244972,0.249905,0.249448,0.25696,0.259895,0.268762,0.279395,0.289875
123,0.202669,0.184835,0.165693,0.148997,0.134514,0.116693,0.100366,0.085707,0.070196,0.0579668,0.0473793,0.0369536,0.0279338,0.0210783,0.0138897,0.00914129,0.00597181,0.00371052,0.00213416,0.000968662,0.000430114,0.000233177,8.33524e-05,2.79431e-05,1.18257e-05,2.09812e-06,1.5259e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,9.53689e-07,2.28885e-06,5.5314e-06,1.21118e-05,3.02319e-05,4.82567e-05,0.00010071,0.000193217,0.000317006,0.000478561,0.000782979,0.00126125,0.00200113,0.00321851,0.00497091,0.00730036,0.0109027,0.0167983,0.0234469,0.0351191,0.0464708,0.0609152,0.0736018,0.0897052,0.114188,0.130944,0.14723,0.165426,0.181316,0.194674,0.209618,0.219504,0.227805,0.23567,0.241221,0.244096,0.247489,0.251593,0.258419,0.264254,0.268586,0.280544,0.294248
122,0.201572,0.185002,0.165559,0.147975,0.130777,0.115151,0.096762,0.0823304,0.0716574,0.057126,0.0459856,0.0360399,0.0267237,0.0200173,0.0133093,0.00848793,0.00545081,0.00344186,0.00202716,0.000953689,0.000408942,0.000181868,7.57229e-05,2.59403e-05,9.15541e-06,2.67033e-06,1.04906e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,3.71939e-06,4.2916e-06,1.18257e-05,1.93599e-05,4.23438e-05,8.29709e-05,0.000166228,0.00026875,0.000418574,0.000667678,0.00117952,0.00177625,0.00294289,0.00454108,0.00708199,0.0104887,0.0159891,0.0232354,0.0323738,0.0433984,0.0576893,0.0736679,0.08947,0.11231,0.12756,0.147814,0.156274,0.179175,0.190597,0.206033,0.217406,0.22592,0.232196,0.239669,0.24468,0.247638,0.252992,0.255996,0.265625,0.274527,0.281314,0.293616
121,0.200388,0.178706,0.166977,0.148082,0.130819,0.112495,0.0980828,0.0814302,0.0696114,0.0555381,0.0462975,0.035945,0.0267918,0.0197252,0.0128986,0.00808084,0.00532397,0.00331435,0.00182259,0.000954261,0.000407988,0.000169757,6.84749e-05,2.08858e-05,6.96193e-06,2.95644e-06,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,6.67582e-07,8.5832e-07,4.00549e-06,1.08721e-05,2.05043e-05,4.17716e-05,7.33387e-05,0.000160029,0.000245193,0.000392061,0.000661383,0.00109302,0.00170272,0.0028624,0.00453555,0.00674673,0.0101573,0.0162151,0.0223822,0.0315388,0.0446765,0.0586726,0.0745258,0.0902189,0.111031,0.127838,0.144122,0.16828,0.180597,0.19551,0.205929,0.219034,0.22617,0.234321,0.237998,0.244096,0.248239,0.250823,0.257931,0.26256,0.270716,0.283064,0.295949
120,0.19768,0.180756,0.162151,0.145763,0.12925,0.11185,0.0941811,0.0819187,0.0664601,0.056817,0.0453944,0.0348561,0.0258843,0.0190173,0.0127089,0.00788621,0.00501802,0.00310798,0.00161707,0.000812543,0.000366121,0.000151255,6.67582e-05,2.03136e-05,7.72488e-06,1.90738e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,1.33516e-06,2.09812e-06,8.01099e-06,1.53544e-05,3.75753e-05,6.22759e-05,0.000134279,0.000214675,0.000374323,0.000606641,0.00102932,0.00152895,0.00254683,0.00424887,0.0064035,0.00987973,0.0153159,0.0216361,0.0307641,0.0432654,0.0562243,0.0687007,0.090518,0.106944,0.126379,0.140464,0.161004,0.175867,0.199219,0.207075,0.212665,0.22617,0.232328,0.236759,0.242794,0.24854,0.251748,0.257283,0.264938,0.27361,0.284836,0.297454
119,0.198928,0.175565,0.159004,0.144274,0.128038,0.109342,0.0964885,0.0815436,0.0693991,0.0559172,0.0428984,0.0348176,0.0257898,0.0183666,0.0125231,0.00801208,0.00492046,0.00297847,0.00158865,0.000810922,0.000353342,0.000138285,6.8761e-05,1.76432e-05,6.58045e-06,1.04906e-06,7.62951e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,8.5832e-07,2.28885e-06,6.38972e-06,1.72618e-05,2.9469e-05,5.18807e-05,0.000125029,0.000187495,0.000364023,0.000577173,0.000988594,0.00147993,0.00251678,0.00399805,0.00636816,0.00959663,0.0146918,0.0212555,0.0305052,0.0419881,0.0565815,0.0684139,0.0886951,0.104196,0.124044,0.142023,0.160688,0.176169,0.192027,0.205105,0.211349,0.2273,0.232856,0.23897,0.244534,0.246743,0.252992,0.260225,0.264425,0.273062,0.284243,0.29832
118,0.198254,0.178239,0.157173,0.142815,0.1248,0.108848,0.0920022,0.0789198,0.0669052,0.0549201,0.0420614,0.0334635,0.0248615,0.0179631,0.0120838,0.00775672,0.00456292,0.00280547,0.0014476,0.000688468,0.000328832,0.000141814,5.79843e-05,1.79294e-05,5.72213e-06,8.5832e-07,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,1.14443e-06,1.81201e-06,4.10086e-06,1.29702e-05,2.52728e-05,5.14992e-05,0.000107862,0.000174716,0.000326257,0.000507076,0.000888552,0.00138857,0.00225853,0.00374228,0.00594444,0.008931,0.0140272,0.0201087,0.0285471,0.0411528,0.0540575,0.0697537,0.0827295,0.101889,0.123038,0.140706,0.156573,0.171235,0.189189,0.199122,0.217522,0.222848,0.231278,0.237721,0.244826,0.248842,0.253776,0.259895,0.262729,0.27694,0.285431,0.297454
