SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2018-Jan-23 23:28:54
Date and Time Ended,2018-Jan-23 23:29:15
Scan Name,MSP_A_FPGA-TX1-07--RX16-07-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,7642
Horizontal Opening,38
Horizontal Percentage,58.46
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.273154,0.25268,0.252602,0.246818,0.242077,0.239039,0.2188,0.194998,0.185085,0.146414,0.133679,0.0918887,0.0670092,0.0521045,0.0296893,0.016001,0.00822976,0.0038201,0.00125677,0.000353246,7.47692e-05,1.12535e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.28885e-06,2.05997e-05,6.981e-05,0.000258831,0.000796712,0.00195258,0.00449397,0.0097818,0.0173164,0.0293563,0.0480744,0.0709868,0.103029,0.13305,0.156095,0.190067,0.217349,0.227805,0.243588
126,0.254643,0.256397,0.25504,0.250439,0.245486,0.239809,0.230757,0.185002,0.186688,0.156692,0.127858,0.0817716,0.0655717,0.0445865,0.0283446,0.0161445,0.00831235,0.00331426,0.00119955,0.000347715,6.63767e-05,1.2398e-05,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.38422e-06,1.20165e-05,6.29435e-05,0.000213626,0.000706111,0.00181392,0.00438907,0.00932193,0.0173962,0.029793,0.0522941,0.0745937,0.106971,0.125105,0.152152,0.185715,0.200683,0.220034,0.234388
125,0.261387,0.257931,0.249828,0.2509,0.245413,0.236145,0.232856,0.192027,0.17352,0.142616,0.131808,0.0940946,0.0690656,0.0480857,0.0251825,0.0154052,0.00790799,0.00305257,0.0011326,0.000289349,6.82841e-05,8.20172e-06,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.09812e-06,1.35424e-05,6.50416e-05,0.000214199,0.000752079,0.00182097,0.0042977,0.0089044,0.0163247,0.0283172,0.0447937,0.072578,0.105743,0.125105,0.153925,0.176587,0.214055,0.23332,0.235466
124,0.264425,0.263489,0.250134,0.248239,0.247041,0.226859,0.228696,0.209672,0.213943,0.134447,0.11952,0.101548,0.0633997,0.0423791,0.0239032,0.0143177,0.00747921,0.00282979,0.00104562,0.000270657,5.16899e-05,9.91836e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.09812e-06,1.29702e-05,5.34066e-05,0.000196651,0.000613794,0.00182822,0.00396563,0.00835145,0.0158671,0.0278361,0.0454599,0.0690715,0.0856264,0.131112,0.170345,0.188492,0.199219,0.216774,0.23392
123,0.276753,0.251671,0.255597,0.24615,0.245192,0.229851,0.21603,0.200046,0.185127,0.138728,0.131533,0.090458,0.060292,0.0394352,0.0240111,0.0152042,0.0072921,0.00276055,0.000908484,0.00026379,4.88289e-05,7.43877e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.71664e-06,1.02998e-05,5.13085e-05,0.00018349,0.000622377,0.00163653,0.00350919,0.00806973,0.015665,0.0269745,0.0448526,0.0711039,0.0947805,0.124421,0.150282,0.179057,0.219093,0.227363,0.237033
122,0.27892,0.255278,0.253776,0.246595,0.242005,0.244169,0.202269,0.172934,0.181156,0.140948,0.113524,0.0814869,0.0628549,0.0389588,0.0254635,0.0132518,0.00671416,0.0026482,0.000871099,0.000220111,5.24529e-05,6.48508e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.00275e-06,9.72763e-06,4.27253e-05,0.000186351,0.000545892,0.00153315,0.00338922,0.00763104,0.0147225,0.0278115,0.0449881,0.065867,0.100835,0.128925,0.14435,0.189276,0.199074,0.216831,0.232856
121,0.254722,0.25704,0.250134,0.250134,0.243227,0.232988,0.220508,0.189495,0.183428,0.151645,0.127085,0.0996094,0.0632235,0.0367448,0.0231618,0.0135037,0.00655547,0.00269589,0.000906958,0.000250629,4.06271e-05,5.72213e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.71664e-06,6.10361e-06,4.10086e-05,0.00015259,0.000543412,0.00146773,0.00354334,0.00761444,0.0146176,0.0262291,0.0409922,0.0655088,0.0826961,0.122762,0.149897,0.174481,0.208339,0.232394,0.234657
120,0.262982,0.266663,0.251053,0.251207,0.241648,0.2294,0.224435,0.20935,0.162796,0.137563,0.116345,0.084653,0.0624571,0.0390946,0.0227628,0.0124393,0.00621843,0.00251125,0.000811398,0.000200465,3.79568e-05,4.76844e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.71664e-06,8.77394e-06,3.94827e-05,0.000142863,0.000504311,0.00136435,0.00323072,0.00681296,0.0140965,0.0253125,0.0374863,0.0641745,0.0951437,0.104435,0.142517,0.189846,0.194952,0.215803,0.231999
119,0.265539,0.254169,0.253148,0.247414,0.247863,0.225671,0.218567,0.201225,0.209243,0.120646,0.126437,0.0721624,0.055746,0.0393235,0.0219492,0.0120539,0.00590162,0.00221809,0.000724422,0.000177005,3.94827e-05,4.48234e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.14443e-06,5.72213e-06,3.50958e-05,0.000134089,0.000455291,0.00127737,0.00321469,0.00687057,0.0130815,0.0237356,0.0380805,0.0582388,0.0946709,0.121415,0.152379,0.171954,0.20192,0.223334,0.235061
118,0.280832,0.257931,0.254485,0.245781,0.244388,0.244315,0.19711,0.1875,0.177198,0.13166,0.108301,0.0764381,0.0554855,0.0404517,0.0209688,0.0116566,0.00563687,0.00209907,0.000785649,0.00016289,2.88014e-05,3.62402e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,5.34066e-06,3.08995e-05,0.000128748,0.000425917,0.0012192,0.00298657,0.00651293,0.0126739,0.024081,0.0401503,0.0577992,0.0808196,0.117161,0.14339,0.189802,0.194766,0.213887,0.236965
