SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 00:04:21
Date and Time Ended,2018-Jan-24 00:04:41
Scan Name,MSP_C_FPGA-IC39-13--IC15-13-TRP_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9284
Horizontal Opening,49
Horizontal Percentage,75.38
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.249296,0.249752,0.249752,0.249145,0.249752,0.249905,0.250363,0.250823,0.249296,0.246298,0.242507,0.227048,0.204797,0.176854,0.153005,0.116197,0.0888875,0.0579915,0.0295757,0.0131162,0.00388619,0.000920405,0.000154211,1.14443e-05,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.19211e-05,0.00048724,0.0052759,0.0234348,0.0502631,0.0819351,0.110047,0.13946,0.167455,0.199025,0.227426,0.243806,0.248842,0.250516,0.250057,0.250057,0.2496,0.2496,0.250057,0.249296,0.250516,0.250057,0.249296
126,0.250057,0.249905,0.249905,0.249448,0.249752,0.249752,0.2496,0.250363,0.249448,0.246298,0.237721,0.224558,0.193753,0.169745,0.142765,0.112125,0.0779288,0.0449905,0.0213575,0.00966935,0.00217222,0.000437552,7.24804e-05,4.38697e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,6.38972e-06,0.000339609,0.00419871,0.0194093,0.046603,0.0772527,0.105756,0.134469,0.162731,0.196636,0.224558,0.243806,0.248842,0.248842,0.249752,0.249905,0.249905,0.25021,0.249752,0.2496,0.250057,0.249752,0.249448
125,0.2496,0.250057,0.250516,0.249905,0.250057,0.250057,0.2496,0.249296,0.249296,0.244972,0.23567,0.217869,0.186773,0.165026,0.134735,0.100835,0.0727649,0.0396202,0.0169331,0.00692349,0.00144846,0.00026627,4.89242e-05,3.33791e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.33791e-06,0.000232414,0.00337978,0.017841,0.0436574,0.0756406,0.102732,0.135179,0.162473,0.193387,0.220212,0.241791,0.248993,0.249145,0.248842,0.250057,0.250057,0.249296,0.248842,0.249905,0.249145,0.249448,0.248993
124,0.2496,0.249448,0.25021,0.25021,0.249905,0.25021,0.250823,0.24854,0.247938,0.243082,0.23154,0.209725,0.180836,0.156812,0.126379,0.0954987,0.0630047,0.0335843,0.0140176,0.00475299,0.000863279,0.000150301,1.82155e-05,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,0.00014992,0.00245556,0.014569,0.0395819,0.0692583,0.0968994,0.1297,0.157113,0.187629,0.218683,0.240796,0.247638,0.250363,0.25021,0.249905,0.249448,0.250057,0.249448,0.248993,0.250363,0.250057,0.250057
123,0.249448,0.249905,0.250363,0.249296,0.250057,0.250669,0.25021,0.249752,0.24854,0.242507,0.228951,0.208021,0.178239,0.155562,0.118826,0.0900008,0.0589089,0.0296399,0.0122172,0.00361181,0.000656233,9.59411e-05,1.02998e-05,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,0.000118639,0.00229992,0.0136727,0.0382512,0.0677126,0.0972214,0.126574,0.156573,0.184668,0.215462,0.238274,0.248389,0.248691,0.249448,0.249905,0.250669,0.249905,0.250516,0.249905,0.249296,0.250363,0.250516
122,0.249905,0.248389,0.25021,0.249448,0.250363,0.250516,0.25021,0.249145,0.246298,0.238274,0.222605,0.199704,0.169324,0.145867,0.111515,0.08205,0.0509889,0.0239893,0.00803929,0.00231308,0.000446899,4.11994e-05,5.05455e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,6.70443e-05,0.00162013,0.0109074,0.0347703,0.0663632,0.0920022,0.124914,0.150641,0.179253,0.214447,0.23567,0.247638,0.248993,0.2496,0.249448,0.249296,0.249905,0.249752,0.249905,0.249752,0.249145,0.25021
121,0.249905,0.250057,0.250057,0.249905,0.2496,0.248842,0.249145,0.248088,0.246446,0.234724,0.2188,0.194028,0.166569,0.140128,0.106637,0.07142,0.0451891,0.0220034,0.00658754,0.00180457,0.000281243,3.26162e-05,1.81201e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.58862e-05,0.001318,0.00960991,0.0316264,0.0615375,0.0899811,0.122303,0.149378,0.178784,0.210696,0.237446,0.246298,0.249448,0.2496,0.250057,0.249905,0.250363,0.250363,0.25021,0.249905,0.249905,0.249296
120,0.250363,0.249905,0.249752,0.249905,0.248389,0.2496,0.250057,0.249448,0.245413,0.230238,0.213775,0.185504,0.156274,0.129577,0.0999497,0.0696233,0.0384631,0.0163022,0.0041516,0.000974479,0.000125505,1.48775e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.43191e-05,0.00090095,0.00776407,0.0289159,0.0588328,0.0872218,0.117971,0.145815,0.17341,0.206553,0.23246,0.245707,0.248389,0.250823,0.249752,0.250057,0.249752,0.248239,0.249145,0.249905,0.250057,0.250057
119,0.250057,0.2496,0.249905,0.2496,0.249145,0.249296,0.249448,0.248691,0.242794,0.22592,0.206761,0.183428,0.152152,0.121253,0.0907586,0.0610423,0.0331816,0.0129364,0.0030354,0.000652514,7.33387e-05,5.14992e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.74525e-05,0.000692855,0.0068244,0.0264425,0.0565815,0.0837444,0.115868,0.143315,0.172315,0.205619,0.23154,0.246298,0.249752,0.2496,0.249752,0.250516,0.250057,0.249752,0.2496,0.249905,0.24854,0.25021
118,0.248993,0.2496,0.249752,0.249752,0.2496,0.2496,0.249905,0.24854,0.241221,0.221642,0.199025,0.177775,0.140851,0.1147,0.0819187,0.0526876,0.027709,0.0101735,0.00194562,0.000328641,3.52865e-05,2.19348e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.72763e-06,0.000495918,0.00538205,0.0236896,0.0546344,0.0798273,0.112681,0.13894,0.166841,0.199025,0.228951,0.243371,0.249905,0.249905,0.249905,0.25021,0.250057,0.25021,0.248842,0.2496,0.249905,0.249752
