SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 02:09:36
Date and Time Ended,2018-Jan-24 02:10:18
Scan Name,MSP_C_FPGA-TX4-04--RX3-04-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,17150
Horizontal Opening,82
Horizontal Percentage,63.57
Vertical Opening,254
Vertical Percentage,99.61
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.245855,0.241648,0.237721,0.228186,0.216487,0.207705,0.188319,0.173043,0.160688,0.148404,0.139745,0.13107,0.124157,0.115119,0.10793,0.0990553,0.0915293,0.0842439,0.0717956,0.0606177,0.047973,0.0414611,0.0296078,0.0229041,0.0158647,0.0102683,0.00713342,0.0040692,0.0021066,0.00119631,0.000499161,0.000288872,0.000100519,4.96872e-05,1.40192e-05,8.01099e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,5.72213e-07,6.67582e-07,2.86107e-07,3.81476e-07,5.72213e-07,4.76844e-07,9.53689e-07,2.38422e-06,3.71939e-06,8.10636e-06,1.44961e-05,2.98505e-05,7.15267e-05,0.000116541,0.000223259,0.000413138,0.000665389,0.00110027,0.00184129,0.00296759,0.00455711,0.00686892,0.00960248,0.0132439,0.0179222,0.0255772,0.0335073,0.043896,0.056317,0.0682315,0.0818696,0.0952101,0.10879,0.123446,0.138798,0.154215,0.167113,0.180279,0.191757,0.203981,0.217522,0.222726,0.232724,0.240231,0.243661,0.247489,0.24854,0.249296,0.250977,0.250823
126,0.246892,0.241648,0.237308,0.228696,0.213553,0.203778,0.189189,0.171737,0.159499,0.147336,0.137818,0.130195,0.123409,0.114732,0.105975,0.0987925,0.0897248,0.077766,0.0675786,0.0575353,0.0486165,0.0380593,0.0272427,0.0206147,0.0148124,0.00947848,0.00607357,0.003507,0.00191863,0.00119011,0.000461585,0.000269417,8.54505e-05,4.33928e-05,1.26841e-05,7.43877e-06,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,1.90738e-07,9.53689e-08,4.76844e-07,5.72213e-07,1.5259e-06,2.67033e-06,7.24804e-06,1.26841e-05,2.5082e-05,5.72213e-05,0.000102712,0.000194553,0.000344282,0.000553044,0.000976101,0.00170987,0.00267157,0.00414902,0.00622368,0.00896561,0.0122376,0.0172192,0.0244111,0.0315898,0.0418038,0.0527759,0.0653885,0.0783462,0.0929416,0.10543,0.121325,0.140032,0.151983,0.164298,0.178162,0.189276,0.203981,0.214784,0.22642,0.23352,0.24009,0.243371,0.246298,0.248691,0.248842,0.25021,0.252058
125,0.246595,0.242077,0.236623,0.227173,0.215803,0.204083,0.187371,0.17145,0.15888,0.146231,0.13708,0.129906,0.122267,0.114125,0.10614,0.0959011,0.0902984,0.0786621,0.066807,0.0572058,0.0475995,0.0391806,0.0279319,0.0205764,0.0143465,0.0087745,0.00575685,0.00352445,0.00178979,0.00102188,0.000422198,0.000259213,7.66766e-05,4.2916e-05,1.1635e-05,6.19898e-06,1.5259e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,4.76844e-07,5.72213e-07,1.43053e-06,3.43328e-06,4.86381e-06,1.13489e-05,2.18395e-05,4.92103e-05,9.10773e-05,0.000168231,0.000330644,0.000560674,0.000951019,0.00158083,0.00265269,0.00413062,0.00604868,0.00870865,0.0120849,0.0169583,0.0235995,0.0317293,0.0423922,0.0548833,0.0647477,0.076246,0.091468,0.104143,0.117564,0.140706,0.146913,0.164628,0.18012,0.189539,0.206657,0.214447,0.225423,0.231278,0.238136,0.243516,0.246595,0.247938,0.249905,0.249905,0.251748
124,0.245855,0.239109,0.235805,0.226922,0.213219,0.20029,0.184336,0.168349,0.15784,0.145246,0.135807,0.128601,0.120717,0.113713,0.102939,0.095789,0.0862666,0.0761044,0.0678697,0.0547878,0.0434998,0.0343302,0.0269967,0.018997,0.0132735,0.0091254,0.00508965,0.00311732,0.00162041,0.000965324,0.000405413,0.000226406,6.57092e-05,3.91012e-05,9.25078e-06,4.19623e-06,5.72213e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-08,1.90738e-07,5.72213e-07,1.14443e-06,1.04906e-06,2.47959e-06,1.01091e-05,1.7834e-05,4.22484e-05,7.58183e-05,0.000154307,0.000288777,0.000490196,0.000804341,0.00144436,0.00240187,0.00367666,0.00552958,0.00780164,0.011422,0.015293,0.0222666,0.030166,0.0404098,0.0516056,0.0591642,0.0735621,0.0935786,0.101864,0.118414,0.135313,0.14987,0.160499,0.178862,0.1872,0.20177,0.21501,0.225175,0.231148,0.23883,0.242794,0.24719,0.247638,0.248842,0.250669,0.252524
123,0.246002,0.241221,0.234455,0.224189,0.211786,0.199607,0.185588,0.168765,0.156393,0.146913,0.135448,0.12752,0.12001,0.111454,0.103642,0.0931107,0.0885417,0.0758929,0.0657454,0.053809,0.0455104,0.0339461,0.025968,0.0202679,0.0125816,0.00809842,0.00503014,0.00293774,0.00159457,0.000974861,0.000359541,0.000201991,6.32296e-05,3.52865e-05,6.48508e-06,2.67033e-06,1.90738e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.86107e-07,1.90738e-07,9.53689e-07,1.5259e-06,2.95644e-06,8.67857e-06,2.01228e-05,3.79568e-05,7.28618e-05,0.000141051,0.000265412,0.000463874,0.000806535,0.00138275,0.00224689,0.00355688,0.00541819,0.00795729,0.0108393,0.0153354,0.0223529,0.0290286,0.0388941,0.0498532,0.0600577,0.0754039,0.0881605,0.0986973,0.117598,0.131829,0.146808,0.159004,0.174369,0.190067,0.205002,0.214335,0.225052,0.233387,0.237446,0.243806,0.24615,0.248088,0.249145,0.250057,0.25268
122,0.24556,0.240937,0.232856,0.224558,0.210264,0.196166,0.182366,0.166164,0.155621,0.143818,0.134558,0.125874,0.117598,0.110581,0.102092,0.0940514,0.0828969,0.0720355,0.0609605,0.0521377,0.0432883,0.0328069,0.025354,0.0181349,0.0118947,0.00739019,0.00448157,0.00267586,0.00135023,0.000836385,0.000316529,0.000160124,5.15946e-05,2.92782e-05,9.15541e-06,2.09812e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,4.76844e-07,1.04906e-06,2.86107e-06,5.72213e-06,1.19211e-05,3.14717e-05,5.96056e-05,0.000116445,0.000238708,0.000440509,0.000749313,0.00126631,0.00216859,0.00332046,0.00502813,0.00733842,0.0101684,0.0147077,0.0209811,0.027892,0.0394105,0.0486685,0.0578849,0.0723792,0.0867416,0.0963523,0.112371,0.134469,0.145504,0.153005,0.169745,0.187801,0.20177,0.211676,0.223334,0.229593,0.236213,0.242507,0.244534,0.248239,0.249448,0.250057,0.253148
121,0.244826,0.239529,0.235128,0.224804,0.209297,0.196354,0.180438,0.166164,0.152265,0.143616,0.134957,0.125143,0.117699,0.111031,0.101864,0.0927732,0.0841228,0.0708885,0.0604656,0.0506547,0.0419279,0.0322769,0.0241378,0.017726,0.0113953,0.00739125,0.00421159,0.00262341,0.0012952,0.000829709,0.000282483,0.000152113,4.32975e-05,2.96597e-05,1.01091e-05,2.19348e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,4.76844e-07,1.71664e-06,2.19348e-06,8.29709e-06,8.10636e-06,2.97551e-05,5.44556e-05,0.000121405,0.000213054,0.000382715,0.000729095,0.00120785,0.00196527,0.0031775,0.00474517,0.00682281,0.00978555,0.0141191,0.0203121,0.0274619,0.03729,0.0485761,0.0588497,0.072533,0.0853143,0.0962165,0.113776,0.129006,0.146598,0.158389,0.169254,0.188232,0.200683,0.209725,0.223212,0.228951,0.238552,0.241648,0.245119,0.247638,0.248691,0.250516,0.251903
120,0.244242,0.238691,0.232064,0.221282,0.20697,0.195697,0.179489,0.16312,0.151533,0.140416,0.132555,0.123932,0.118073,0.107788,0.0991512,0.0890421,0.0819515,0.0698608,0.0604299,0.0488076,0.0404977,0.0298799,0.0218159,0.0168322,0.0107513,0.00657697,0.00391127,0.00227264,0.00118172,0.00072652,0.000245289,0.000150111,3.66217e-05,2.29839e-05,6.58045e-06,1.43053e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,5.72213e-07,6.67582e-07,1.71664e-06,3.91012e-06,9.63226e-06,2.26024e-05,4.34882e-05,0.000102712,0.000171092,0.000326066,0.000589952,0.00105669,0.00180438,0.00288376,0.00418126,0.00641464,0.00927774,0.0129778,0.0195706,0.0265866,0.0362826,0.0459289,0.0549643,0.070028,0.0849075,0.0954541,0.111667,0.131112,0.144938,0.157961,0.166434,0.183345,0.200192,0.209083,0.220924,0.227805,0.235941,0.239949,0.244242,0.247638,0.249296,0.25021,0.252524
119,0.244972,0.238274,0.230368,0.219504,0.207389,0.195791,0.178084,0.161194,0.151086,0.140706,0.131322,0.123595,0.118073,0.106582,0.0997549,0.0890034,0.0807718,0.0671906,0.0586979,0.0490003,0.0374914,0.0292546,0.0222315,0.015812,0.00990961,0.00624743,0.00366894,0.00224985,0.00111353,0.000637827,0.000227646,0.000125029,3.57633e-05,2.12673e-05,7.72488e-06,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,8.5832e-07,1.33516e-06,2.19348e-06,7.62951e-06,2.11719e-05,4.07225e-05,8.24941e-05,0.000156023,0.000296597,0.000570115,0.000992313,0.0017401,0.0028356,0.00424353,0.00607843,0.00892731,0.0126672,0.0190713,0.0253728,0.0357599,0.0454902,0.0540361,0.0649324,0.0839159,0.0943982,0.111182,0.125797,0.139984,0.156632,0.169044,0.182366,0.196542,0.209725,0.218101,0.227805,0.236896,0.241079,0.244534,0.247489,0.248691,0.249145,0.252992
118,0.243661,0.237446,0.228059,0.219739,0.205002,0.192569,0.175265,0.159375,0.148565,0.137864,0.130652,0.123857,0.114893,0.106582,0.0966479,0.0873334,0.078003,0.0663095,0.0566441,0.0462243,0.036997,0.0271758,0.0199968,0.0147644,0.0100072,0.00550679,0.00328393,0.00211776,0.00115721,0.000591955,0.000207618,0.000111105,4.18669e-05,1.43053e-05,5.43603e-06,6.67582e-07,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.81476e-07,9.53689e-07,2.57496e-06,5.05455e-06,1.73571e-05,3.33791e-05,6.38972e-05,0.000129511,0.000263504,0.000481804,0.000923838,0.0014723,0.00255312,0.00379511,0.0056795,0.00835343,0.0120547,0.0179395,0.0246254,0.034359,0.0443812,0.0524986,0.0659253,0.0816249,0.0927942,0.109342,0.124383,0.139034,0.155149,0.16828,0.180836,0.197967,0.210264,0.218917,0.226295,0.23567,0.241506,0.243806,0.246298,0.248842,0.250823,0.252524
