SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2018-Jan-24 00:43:03
Date and Time Ended,2018-Jan-24 00:43:24
Scan Name,MSP_C_FPGA-TX4-04--RX8-04-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,7584
Horizontal Opening,39
Horizontal Percentage,60.00
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.252914,0.251516,0.250516,0.249828,0.245339,0.248314,0.234994,0.185757,0.173814,0.149024,0.11296,0.0968078,0.0546307,0.0338857,0.0198302,0.00966411,0.00420615,0.00131895,0.000378614,8.01099e-05,1.08721e-05,3.24254e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.09812e-06,1.18257e-05,8.96468e-05,0.000369268,0.0012129,0.00361276,0.00809033,0.0181112,0.0301893,0.0466242,0.0681804,0.0850309,0.11671,0.146127,0.167798,0.184087,0.214672,0.243588,0.237033,0.243661,0.248766
126,0.251825,0.250439,0.24922,0.247339,0.249524,0.232196,0.225609,0.198111,0.176701,0.133832,0.108215,0.0789122,0.0545725,0.0346058,0.0180156,0.00871176,0.00355993,0.00113413,0.00035153,5.62676e-05,1.02998e-05,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,9.53689e-06,6.88563e-05,0.000308423,0.00110723,0.00326066,0.00750477,0.0160358,0.0296624,0.0468241,0.0673619,0.0963297,0.124289,0.167284,0.175302,0.188753,0.207494,0.221702,0.24615,0.243082,0.247788
125,0.25354,0.250746,0.249145,0.248465,0.242435,0.238136,0.214616,0.196636,0.162023,0.130777,0.113054,0.0885991,0.0511928,0.0328648,0.0178461,0.00870661,0.00344034,0.00114214,0.000337034,6.50416e-05,8.20172e-06,1.5259e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,9.15541e-06,6.12268e-05,0.000315862,0.00118601,0.00288491,0.00722782,0.0165733,0.028683,0.0499901,0.066807,0.100035,0.101775,0.14522,0.164462,0.194074,0.206761,0.224681,0.232922,0.248314,0.249752
124,0.251439,0.250134,0.248314,0.247788,0.248239,0.23213,0.228887,0.196354,0.182895,0.145298,0.0925845,0.0707049,0.0492567,0.0298309,0.0165646,0.00817597,0.00304398,0.00100023,0.00028439,5.93194e-05,7.82025e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,7.24804e-06,5.11177e-05,0.000251965,0.000940909,0.00267071,0.00685035,0.01488,0.0264955,0.0437694,0.0628259,0.0891972,0.120771,0.140248,0.197728,0.188971,0.218217,0.219504,0.246892,0.247489,0.246298
123,0.253776,0.251207,0.249905,0.246966,0.244753,0.231148,0.217637,0.192977,0.172824,0.171773,0.101222,0.0797573,0.0532562,0.0285999,0.0168964,0.00773995,0.00304093,0.000978866,0.0002636,5.30251e-05,8.01099e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,6.48508e-06,4.2916e-05,0.000225071,0.000921263,0.00260204,0.00650874,0.014458,0.0250631,0.0414674,0.0637103,0.0808037,0.114029,0.14289,0.163837,0.181799,0.206918,0.239879,0.237859,0.242507,0.247563
122,0.250286,0.251207,0.248918,0.247563,0.240796,0.247115,0.241292,0.181357,0.205207,0.176245,0.0975107,0.079641,0.0470662,0.0266619,0.0155176,0.00718986,0.00276379,0.000831235,0.000234798,4.06271e-05,6.48508e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,4.00549e-06,3.83383e-05,0.00018616,0.000799573,0.00220016,0.00587015,0.0128132,0.0241905,0.0390424,0.0594735,0.079471,0.108819,0.136873,0.160154,0.213275,0.227363,0.222666,0.243951,0.24854,0.248465
121,0.253383,0.250439,0.249981,0.246298,0.245413,0.228759,0.214335,0.190111,0.166977,0.138166,0.103918,0.0827044,0.0406323,0.0277493,0.0156086,0.00698939,0.00275292,0.000786603,0.000222782,3.73846e-05,4.57771e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,4.2916e-06,3.16625e-05,0.000197032,0.000724994,0.00215476,0.00568456,0.0128565,0.0235061,0.0368075,0.0598165,0.078549,0.121379,0.14402,0.158942,0.180836,0.199025,0.223394,0.232592,0.241363,0.246669
120,0.250593,0.251439,0.249676,0.248163,0.240937,0.239458,0.213164,0.21195,0.146467,0.124762,0.102296,0.0678585,0.0442565,0.0260407,0.0141147,0.00647383,0.00246834,0.000685702,0.00018616,3.75753e-05,3.43328e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.43328e-06,2.72755e-05,0.000159075,0.000665103,0.00192226,0.0050721,0.011108,0.0221408,0.0383964,0.0597991,0.0902189,0.114348,0.13894,0.168349,0.192705,0.196119,0.236213,0.245633,0.246595,0.248918
119,0.25354,0.250823,0.248088,0.249752,0.249145,0.227048,0.207389,0.205259,0.152322,0.107491,0.0859678,0.0741212,0.047536,0.0254272,0.0134383,0.00613565,0.00241474,0.000702296,0.000187686,3.08995e-05,4.86381e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,4.00549e-06,2.44144e-05,0.000143626,0.000595293,0.00180591,0.00501316,0.011331,0.0231907,0.0363276,0.0541397,0.0906682,0.0968765,0.137471,0.157566,0.178123,0.211841,0.237377,0.232262,0.245633,0.244972
118,0.251825,0.249828,0.249296,0.24615,0.239669,0.236145,0.21048,0.183304,0.163903,0.138564,0.0947147,0.0689146,0.0398923,0.024227,0.0119648,0.00584668,0.00216468,0.000606355,0.000150111,3.03273e-05,2.95644e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.81201e-06,1.92645e-05,0.000104524,0.000533684,0.00157378,0.00463169,0.0106727,0.0213497,0.0355242,0.0545507,0.0732136,0.0963183,0.132276,0.17199,0.20177,0.204643,0.216716,0.235602,0.243588,0.249296
