SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 00:44:50
Date and Time Ended,2018-Jan-24 00:45:32
Scan Name,TRP_FPGA-TX5-01--RX14-01-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,15685
Horizontal Opening,73
Horizontal Percentage,56.59
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.240231,0.236213,0.230238,0.223455,0.214672,0.204899,0.194766,0.188579,0.172243,0.162473,0.147814,0.134425,0.12001,0.103642,0.0893139,0.0743364,0.0626386,0.050331,0.0406504,0.0324328,0.0247429,0.0183856,0.0127818,0.00926829,0.00583362,0.00392309,0.00228141,0.00125582,0.000675021,0.000320916,0.000155642,7.09545e-05,2.9469e-05,8.86931e-06,4.57771e-06,1.5259e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,6.67582e-07,1.2398e-06,4.38697e-06,1.2398e-05,2.51774e-05,4.9115e-05,0.000115492,0.000223449,0.000452525,0.000764286,0.00118172,0.00180323,0.00294194,0.00407073,0.00608434,0.0090446,0.0113257,0.0151921,0.0187732,0.0229323,0.0277352,0.0317097,0.0360431,0.0407191,0.045299,0.0489301,0.0534788,0.0574868,0.0619751,0.0672347,0.0735885,0.0827128,0.0901395,0.100935,0.115901,0.130071,0.146966,0.161512,0.176169,0.194028,0.20177,0.217291,0.22592,0.23392,0.239109,0.243951,0.246446,0.248088,0.250823,0.252213,0.25409,0.256477
126,0.239949,0.235263,0.230109,0.222002,0.214559,0.206137,0.19551,0.185337,0.170168,0.159998,0.148727,0.132726,0.116296,0.102016,0.0858507,0.0738406,0.0618255,0.051334,0.0395399,0.0318329,0.0238774,0.0176124,0.0123409,0.00873055,0.00543059,0.00349403,0.00202068,0.00115024,0.000626669,0.000295739,0.000133516,5.43603e-05,2.44144e-05,9.44152e-06,2.47959e-06,4.76844e-07,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,2.00275e-06,3.24254e-06,8.5832e-06,2.03136e-05,4.31067e-05,9.59411e-05,0.000195029,0.000410086,0.00066043,0.001077,0.00161736,0.00263886,0.00378614,0.00562676,0.0084955,0.0110902,0.014087,0.0179332,0.021544,0.0268551,0.0304871,0.035682,0.0396164,0.0448919,0.0478274,0.0517099,0.0567934,0.0608518,0.0664062,0.0725587,0.0788438,0.0874826,0.0986023,0.110881,0.12677,0.138517,0.159189,0.170664,0.190155,0.203373,0.216259,0.224804,0.231802,0.239529,0.244388,0.246595,0.248993,0.25113,0.252213,0.254881,0.256638
125,0.239249,0.234054,0.230497,0.219857,0.212555,0.203778,0.194859,0.182285,0.170451,0.158083,0.14458,0.131449,0.11422,0.0986973,0.0845046,0.0722133,0.0613624,0.0491178,0.0383335,0.030478,0.0237308,0.0168835,0.0117774,0.00830263,0.00522145,0.0033854,0.0018658,0.00105802,0.000549325,0.000259594,0.00011368,5.05455e-05,1.97414e-05,8.48783e-06,2.7657e-06,1.14443e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,4.76844e-07,1.90738e-06,3.0518e-06,6.67582e-06,1.98367e-05,3.86244e-05,7.83932e-05,0.000167754,0.000372225,0.000582322,0.000978008,0.00154841,0.00250992,0.0035193,0.00523861,0.00830853,0.0105316,0.0140638,0.017561,0.0214099,0.0262493,0.0298777,0.0347703,0.0391768,0.0439148,0.0479506,0.0516186,0.0557954,0.0604566,0.0653677,0.0718586,0.0783162,0.0868704,0.0996094,0.110047,0.124876,0.141974,0.157597,0.172388,0.185337,0.205002,0.214335,0.224067,0.232592,0.23897,0.243951,0.246002,0.248691,0.250669,0.253618,0.254406,0.257931
124,0.239529,0.234724,0.226796,0.221642,0.21124,0.203879,0.19551,0.181076,0.171594,0.15981,0.144835,0.127124,0.111911,0.0959461,0.0839848,0.069837,0.0590278,0.0478441,0.0368904,0.0300377,0.0218229,0.0161518,0.0109459,0.00775863,0.00480612,0.00306382,0.00170844,0.00100652,0.000484092,0.000229458,0.000112535,4.43465e-05,1.76432e-05,6.19898e-06,3.14717e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.86107e-07,4.76844e-07,7.62951e-07,1.90738e-06,7.3434e-06,1.6022e-05,3.00412e-05,6.44694e-05,0.000140383,0.000303845,0.000501164,0.000908865,0.00135853,0.00222887,0.00327077,0.00511406,0.00752045,0.00973832,0.0129499,0.0165693,0.021363,0.0254596,0.0295373,0.0345095,0.0385065,0.0426482,0.047594,0.0507866,0.0544455,0.0596901,0.064039,0.0704859,0.0777513,0.0858867,0.0956101,0.107561,0.122854,0.139223,0.154389,0.168835,0.182042,0.199025,0.212997,0.221762,0.232064,0.237859,0.243371,0.245119,0.248691,0.250823,0.253148,0.254881,0.25696
123,0.238691,0.234724,0.226545,0.221522,0.211567,0.203071,0.192027,0.182691,0.171092,0.155739,0.138892,0.125913,0.112681,0.0949232,0.0798428,0.0685169,0.0560857,0.0466401,0.0367184,0.0287495,0.0213097,0.0158401,0.0105808,0.00760479,0.00453241,0.00284514,0.00163624,0.000961509,0.00046912,0.000210956,9.43198e-05,4.41558e-05,1.63081e-05,7.62951e-06,1.81201e-06,5.72213e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.2398e-06,2.38422e-06,6.19898e-06,1.19211e-05,2.77523e-05,6.11315e-05,0.000126555,0.000256352,0.000479038,0.000813306,0.00128796,0.00207494,0.00312562,0.004827,0.00739566,0.00939414,0.0127093,0.0162389,0.020448,0.0252011,0.028663,0.0338759,0.0377854,0.042261,0.046167,0.0505609,0.0545688,0.0590618,0.0642601,0.0713951,0.0770203,0.0830145,0.0967849,0.109634,0.123223,0.13833,0.153751,0.168073,0.181558,0.200585,0.211349,0.222969,0.22998,0.237721,0.24265,0.245707,0.248691,0.25021,0.25268,0.255676,0.258745
122,0.238136,0.23352,0.228186,0.219034,0.210048,0.201473,0.190597,0.181236,0.166705,0.156036,0.138096,0.124195,0.108819,0.0942028,0.0802024,0.0661489,0.0543588,0.0444293,0.035071,0.0275635,0.0203788,0.0150188,0.00988259,0.00697395,0.00424001,0.00267395,0.00146868,0.000858225,0.000414473,0.000196174,9.13634e-05,3.79568e-05,1.39239e-05,6.38972e-06,1.62127e-06,2.86107e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.33516e-06,4.57771e-06,8.96468e-06,2.39376e-05,4.69215e-05,0.000106336,0.000212005,0.000420958,0.000721847,0.00117113,0.00184224,0.00278115,0.00435473,0.00673696,0.00890479,0.011884,0.0152936,0.0192995,0.024152,0.0281256,0.0321225,0.0379957,0.0411983,0.0451941,0.0495456,0.053972,0.0584216,0.0630629,0.0691414,0.0752376,0.0824962,0.0930472,0.1038,0.12111,0.136531,0.153291,0.167592,0.183181,0.199899,0.209618,0.219504,0.229851,0.237171,0.240796,0.245266,0.24854,0.250057,0.252836,0.25504,0.258909
121,0.238413,0.232724,0.226671,0.217291,0.210372,0.199704,0.191399,0.176169,0.166637,0.152776,0.139698,0.121397,0.109196,0.0895678,0.0806922,0.0649839,0.0554254,0.0441896,0.0342184,0.0270949,0.0201195,0.014189,0.00973554,0.00657802,0.00398957,0.00255255,0.00136559,0.00079757,0.000383288,0.000190166,7.89654e-05,3.53819e-05,1.14443e-05,4.76844e-06,2.00275e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.81476e-07,1.2398e-06,3.62402e-06,8.20172e-06,1.91691e-05,4.44419e-05,9.67994e-05,0.000188354,0.00034247,0.000670157,0.00110828,0.00175622,0.00268893,0.00414368,0.00637718,0.00866077,0.0115486,0.0150232,0.0189364,0.0235724,0.0276977,0.0318601,0.0371413,0.0411611,0.0448772,0.0487322,0.0538019,0.0572378,0.0630726,0.0684939,0.07488,0.0820172,0.0930895,0.106305,0.118482,0.133288,0.148082,0.164959,0.18351,0.197015,0.208339,0.221402,0.229722,0.238136,0.242507,0.244388,0.249145,0.25113,0.252992,0.254881,0.258582
120,0.238136,0.233121,0.22592,0.217061,0.209404,0.201671,0.188146,0.178162,0.16312,0.14835,0.136577,0.120824,0.10614,0.0901196,0.0753068,0.0652635,0.0529738,0.0422305,0.0328042,0.0260622,0.0191847,0.0132881,0.00929458,0.00611572,0.00371977,0.00232862,0.0012932,0.000729477,0.00036078,0.000166133,6.84749e-05,2.92782e-05,1.29702e-05,3.91012e-06,1.33516e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,6.67582e-07,1.04906e-06,2.38422e-06,6.10361e-06,1.85016e-05,3.59541e-05,8.18265e-05,0.000157836,0.000316339,0.000584516,0.000945583,0.00158808,0.00248388,0.003785,0.00599794,0.00796937,0.0110812,0.014007,0.0182512,0.0224879,0.0260606,0.0314419,0.0360876,0.040586,0.0446083,0.0483239,0.0532078,0.057134,0.0616765,0.0681294,0.0742421,0.0806128,0.0920229,0.102784,0.116793,0.133028,0.14644,0.163903,0.17739,0.195884,0.207599,0.217061,0.230757,0.237033,0.24222,0.245266,0.248389,0.250363,0.252524,0.255836,0.258582
119,0.235399,0.230497,0.226796,0.218917,0.208021,0.19711,0.188492,0.178239,0.165626,0.148835,0.134469,0.121433,0.102732,0.0871476,0.0746072,0.0617044,0.0510334,0.0422088,0.032361,0.0246076,0.018762,0.0127504,0.00891778,0.00598354,0.00339857,0.00227379,0.00121405,0.000666915,0.000330644,0.000153162,6.29435e-05,2.91829e-05,9.15541e-06,3.0518e-06,9.53689e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-07,2.19348e-06,5.72213e-06,1.49729e-05,3.22347e-05,7.19081e-05,0.000136378,0.000267224,0.000515469,0.000865949,0.00153201,0.00232271,0.00361954,0.00564612,0.00770058,0.0104045,0.0134571,0.0179253,0.021561,0.0255469,0.0310604,0.0359167,0.0399214,0.0437367,0.048267,0.0525794,0.0567619,0.0612156,0.0671906,0.0728685,0.0810435,0.0892556,0.103017,0.116727,0.129741,0.148943,0.161703,0.17793,0.19275,0.206344,0.220212,0.228313,0.235128,0.241221,0.245855,0.246446,0.250977,0.252992,0.256316,0.259895
118,0.236486,0.232196,0.225052,0.216487,0.206866,0.198447,0.187457,0.172461,0.161131,0.147019,0.133115,0.116793,0.103958,0.0862666,0.0715448,0.0599522,0.0497805,0.0411239,0.0307272,0.0235345,0.0173248,0.0123962,0.00820681,0.00548781,0.00333648,0.00205196,0.00107567,0.000604353,0.000283055,0.000137522,5.14038e-05,2.12673e-05,8.29709e-06,3.24254e-06,7.62951e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,1.81201e-06,4.76844e-06,1.20165e-05,2.49866e-05,6.14176e-05,0.000129225,0.000236992,0.000468833,0.000798524,0.00132706,0.00209106,0.00329595,0.00527638,0.00720203,0.00980828,0.0130022,0.0167086,0.0210729,0.0247578,0.0301771,0.0344052,0.0392482,0.0427283,0.0479337,0.0516447,0.0559401,0.0605013,0.0661809,0.0731026,0.0793171,0.0907788,0.10199,0.112187,0.130236,0.149106,0.161639,0.176701,0.193936,0.20531,0.2188,0.223822,0.234321,0.239249,0.244534,0.247489,0.250057,0.253776,0.255676,0.260722
