SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-23 23:45:54
Date and Time Ended,2018-Jan-23 23:46:35
Scan Name,TRP_FPGA-TX5-03--RX5-03-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,17293
Horizontal Opening,79
Horizontal Percentage,60.47
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
127,0.194304,0.187029,0.165962,0.156993,0.140948,0.129618,0.11753,0.102604,0.0928995,0.0793171,0.0665681,0.0585218,0.0484497,0.0393802,0.0314202,0.0237514,0.0169716,0.0117828,0.00806589,0.00536698,0.00324807,0.00179141,0.000975528,0.000564488,0.000264172,0.000122549,5.46464e-05,2.29839e-05,8.5832e-06,2.47959e-06,5.72213e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,2.57496e-06,4.00549e-06,1.28748e-05,3.34745e-05,7.31479e-05,0.000136568,0.000310903,0.000582132,0.00106394,0.00183051,0.00308537,0.00478285,0.00727365,0.0105291,0.0149859,0.0203961,0.0281546,0.0351131,0.0464129,0.0570862,0.06973,0.0866132,0.101813,0.117971,0.132512,0.149487,0.162666,0.181236,0.194212,0.206866,0.216716,0.226796,0.23246,0.240796,0.244388,0.248088,0.252992,0.255517,0.262056,0.265281,0.274343,0.284638,0.29446
126,0.196636,0.177237,0.165092,0.150808,0.138003,0.12756,0.115087,0.100985,0.0891002,0.0779585,0.0681747,0.0574304,0.0476771,0.0385174,0.0304169,0.022706,0.0160217,0.0112662,0.00779956,0.00507153,0.00301337,0.00168975,0.000920596,0.000482757,0.00023537,0.000112631,4.42512e-05,1.95506e-05,6.00824e-06,1.5259e-06,8.5832e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.04906e-06,3.52865e-06,9.72763e-06,2.56542e-05,5.96056e-05,0.000121786,0.000282864,0.000536545,0.000988212,0.00168956,0.0027903,0.00459592,0.00667482,0.00989739,0.0142225,0.0191256,0.0267901,0.0339996,0.0453291,0.0544817,0.0704617,0.0827462,0.0976618,0.111484,0.130195,0.145092,0.158389,0.176854,0.192117,0.198928,0.213553,0.22617,0.23352,0.236623,0.243661,0.249145,0.253776,0.255517,0.261721,0.269292,0.27694,0.283849,0.299849
125,0.190775,0.181638,0.165559,0.150034,0.139081,0.126301,0.114284,0.100243,0.0896659,0.0789198,0.0644421,0.0564179,0.0455915,0.0376292,0.0295011,0.0220034,0.0156668,0.0109999,0.00771668,0.00481832,0.00276589,0.00166123,0.000860609,0.000469883,0.000213722,0.000101663,4.16762e-05,1.80247e-05,4.38697e-06,2.47959e-06,7.62951e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.04906e-06,3.24254e-06,8.29709e-06,2.34607e-05,5.2739e-05,0.000116445,0.00027285,0.000488575,0.000894751,0.00155232,0.00269312,0.00443513,0.00650438,0.0096865,0.01368,0.0185504,0.0262931,0.0329229,0.0429299,0.0548098,0.0692349,0.0811398,0.0986497,0.112187,0.128198,0.146023,0.166637,0.173557,0.186603,0.204184,0.215349,0.222002,0.23392,0.238274,0.244826,0.24854,0.251903,0.256316,0.261221,0.267883,0.276753,0.28865,0.296807
124,0.192841,0.182366,0.167181,0.152265,0.136668,0.124534,0.111758,0.10044,0.0889454,0.0759351,0.0639491,0.0554179,0.0444969,0.0352339,0.0276286,0.02151,0.014987,0.0102735,0.00721929,0.00459726,0.00260576,0.00146239,0.000763523,0.000393587,0.000199226,8.36385e-05,3.62402e-05,1.73571e-05,6.10361e-06,1.62127e-06,5.72213e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,2.86107e-06,8.01099e-06,2.45098e-05,4.86381e-05,0.00010729,0.000234321,0.000428969,0.000844491,0.00148919,0.00243362,0.00411641,0.00609617,0.0092432,0.0130982,0.0180972,0.025398,0.0315145,0.0427417,0.0538726,0.065399,0.079641,0.0959011,0.109693,0.125681,0.14458,0.161004,0.179175,0.189014,0.20287,0.215349,0.224067,0.230887,0.236213,0.244242,0.24854,0.252213,0.255996,0.264254,0.271614,0.278635,0.287838,0.299849
123,0.192117,0.175791,0.165292,0.148242,0.133767,0.124762,0.112991,0.0978953,0.0876699,0.0764025,0.063248,0.0533534,0.0445647,0.0352916,0.0276547,0.0206261,0.0144789,0.0100001,0.00701011,0.00418727,0.00250544,0.00140803,0.000735962,0.000360971,0.000174144,8.06821e-05,3.55726e-05,1.40192e-05,6.00824e-06,1.62127e-06,6.67582e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,9.53689e-07,2.38422e-06,8.5832e-06,1.69757e-05,4.22484e-05,9.79438e-05,0.000225166,0.000408656,0.000791466,0.00139019,0.00236629,0.00400731,0.00597543,0.00871587,0.0127175,0.017793,0.0247429,0.0308778,0.0410086,0.0524649,0.0655665,0.0766886,0.0916522,0.10562,0.124648,0.144172,0.158512,0.175867,0.186094,0.19692,0.209511,0.223699,0.231148,0.237721,0.243661,0.248691,0.252992,0.256477,0.264084,0.270002,0.280352,0.28865,0.302283
122,0.185504,0.171665,0.160185,0.146493,0.133854,0.119415,0.10793,0.0953209,0.0840192,0.0743499,0.0616023,0.0516512,0.0428939,0.0335815,0.0269292,0.0193132,0.0139389,0.0101069,0.006467,0.00412423,0.00233644,0.0012973,0.000672446,0.000324159,0.000165751,7.04776e-05,2.92782e-05,1.25887e-05,4.86381e-06,1.14443e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,6.67582e-07,1.43053e-06,7.24804e-06,1.56405e-05,4.30114e-05,8.3257e-05,0.000209812,0.000377661,0.000725662,0.00127184,0.00223573,0.00373703,0.00544137,0.00841539,0.0120151,0.017155,0.02365,0.0299674,0.040015,0.0515342,0.0637004,0.0773694,0.0919402,0.110224,0.121146,0.139936,0.154041,0.169254,0.185253,0.195791,0.212776,0.222243,0.229593,0.236896,0.244242,0.246743,0.252213,0.258256,0.264254,0.270716,0.279968,0.29215,0.302283
121,0.188579,0.173778,0.160941,0.148082,0.132512,0.121867,0.107167,0.0946163,0.0864122,0.0716323,0.0614268,0.0520516,0.0418636,0.0330985,0.0260407,0.0193588,0.0131651,0.00935188,0.00635374,0.00378967,0.00222782,0.0012542,0.000634394,0.000310044,0.000150397,6.95239e-05,2.57496e-05,1.23026e-05,3.52865e-06,6.67582e-07,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,2.57496e-06,5.8175e-06,1.3447e-05,4.32021e-05,7.89654e-05,0.000187114,0.000342947,0.00068265,0.00125706,0.00219749,0.00358873,0.00535554,0.00808802,0.011692,0.0164449,0.0234818,0.02958,0.039805,0.0510079,0.0624476,0.0772673,0.0897052,0.102118,0.123112,0.138987,0.15888,0.168835,0.187029,0.200683,0.207284,0.220805,0.229593,0.235805,0.240937,0.247339,0.252368,0.257606,0.265453,0.271434,0.279015,0.291111,0.304757
120,0.184751,0.170238,0.155267,0.145298,0.130527,0.119589,0.105375,0.0924174,0.0841055,0.070644,0.0585803,0.0511672,0.0394409,0.031546,0.0244213,0.0179112,0.0126578,0.00889184,0.00584707,0.00369039,0.00199302,0.00120127,0.000557336,0.000273136,0.000140288,5.86519e-05,2.29839e-05,1.18257e-05,3.43328e-06,9.53689e-07,2.86107e-07,9.53689e-08,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-08,3.81476e-07,8.5832e-07,4.95918e-06,1.23026e-05,3.29976e-05,6.47555e-05,0.000178817,0.000324063,0.000597486,0.00112364,0.00200799,0.00330711,0.0050124,0.00781488,0.0114026,0.0156794,0.0229131,0.0290142,0.0383299,0.0495277,0.0621161,0.0728426,0.0880847,0.102629,0.117767,0.135492,0.153925,0.170878,0.185002,0.20177,0.213219,0.217753,0.230887,0.23635,0.241363,0.248993,0.252992,0.258256,0.266836,0.270537,0.283456,0.291526,0.306582
119,0.186603,0.177698,0.156333,0.142171,0.131745,0.11945,0.107674,0.0919402,0.0827797,0.0713702,0.0592412,0.0491414,0.0387763,0.0311834,0.0245339,0.0173322,0.012102,0.00856944,0.00555095,0.00350223,0.00185616,0.00112221,0.00052882,0.000255779,0.000129416,6.15129e-05,2.1458e-05,8.48783e-06,3.33791e-06,6.67582e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.5259e-06,3.91012e-06,1.02998e-05,3.29976e-05,6.33249e-05,0.000154307,0.000322156,0.000577268,0.00108072,0.00191777,0.00320087,0.00474765,0.00750914,0.0107165,0.0152845,0.0214582,0.0275969,0.0382012,0.0485761,0.0619751,0.0750584,0.0874826,0.104488,0.11862,0.137125,0.151365,0.167798,0.178394,0.191578,0.212115,0.221882,0.228951,0.237033,0.244242,0.248389,0.252368,0.258909,0.264938,0.273245,0.282478,0.290286,0.306124
118,0.181961,0.171882,0.158634,0.143315,0.129947,0.114188,0.105051,0.0903582,0.0802968,0.0699562,0.0570703,0.0486049,0.0380275,0.0296549,0.0230251,0.0163537,0.0115304,0.0076987,0.00521973,0.00332542,0.00177653,0.00104458,0.000461776,0.000232605,0.000119497,5.78889e-05,1.92645e-05,7.62951e-06,2.67033e-06,4.76844e-07,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.33516e-06,3.24254e-06,8.96468e-06,2.8706e-05,5.43603e-05,0.000140383,0.000269036,0.000510414,0.00099918,0.00176585,0.00293107,0.00450151,0.00707831,0.010337,0.0144041,0.0210285,0.0271111,0.0372256,0.0471502,0.0613624,0.0713578,0.0872962,0.100935,0.120682,0.136851,0.154914,0.165492,0.184668,0.199802,0.20297,0.220449,0.228696,0.237308,0.242938,0.248389,0.254248,0.258909,0.265625,0.273793,0.285431,0.298974,0.308894
