SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2018-Jan-23 23:48:17
Date and Time Ended,2018-Jan-23 23:48:38
Scan Name,TRP_FPGA-TX5-04--RX5-04-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,7196
Horizontal Opening,39
Horizontal Percentage,60.00
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.253776,0.250286,0.249752,0.249524,0.24854,0.245046,0.240372,0.226357,0.204184,0.191757,0.16978,0.131049,0.104249,0.0712957,0.0499505,0.0338451,0.0192081,0.0100103,0.00435969,0.00170195,0.000568017,0.000159266,2.327e-05,5.72213e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,4.19623e-06,3.64309e-05,0.000150301,0.000489815,0.00132963,0.00349279,0.00698978,0.0121298,0.0211583,0.0325928,0.0461696,0.0670092,0.0790035,0.090199,0.133942,0.168004,0.215689,0.201275,0.209725,0.242938,0.248918,0.246076,0.248088
126,0.250823,0.249828,0.250286,0.2496,0.249828,0.248766,0.249296,0.247938,0.214223,0.230174,0.153062,0.117278,0.0951216,0.0871291,0.0548686,0.0322046,0.0176942,0.0097528,0.00375906,0.00157225,0.000449187,0.000133326,2.36515e-05,4.57771e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.91012e-06,2.61311e-05,0.000127985,0.000390249,0.00122797,0.00281128,0.00615663,0.0115154,0.0195571,0.0308964,0.0491532,0.0649994,0.082855,0.109109,0.132985,0.150947,0.170878,0.204746,0.20887,0.229657,0.235941,0.243588,0.247563
125,0.250286,0.250593,0.250363,0.249448,0.249905,0.246298,0.235263,0.21845,0.207127,0.187243,0.154012,0.137378,0.121451,0.0711224,0.0508654,0.0324444,0.0168001,0.00844377,0.00372721,0.00144942,0.000432021,0.00012665,2.80385e-05,4.38697e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.71939e-06,2.21256e-05,0.000108721,0.000389105,0.00117742,0.00289769,0.00570363,0.0112797,0.0183687,0.030126,0.0440826,0.0548943,0.0775819,0.0943004,0.133331,0.156244,0.166875,0.218101,0.220212,0.224558,0.241577,0.249676,0.247713
124,0.252291,0.250286,0.250057,0.250057,0.249524,0.250363,0.246595,0.223455,0.239458,0.178706,0.165727,0.12111,0.101687,0.071783,0.0457212,0.0310545,0.0170394,0.00824578,0.00347295,0.00125868,0.000432975,0.000120356,1.85016e-05,3.52865e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.52865e-06,2.04089e-05,9.19356e-05,0.000330549,0.000989929,0.00253319,0.00567273,0.0107448,0.0182398,0.0276612,0.0398728,0.0605594,0.0918887,0.111318,0.131322,0.150697,0.194581,0.192162,0.220865,0.243299,0.241934,0.250286,0.247863
123,0.250134,0.250746,0.250593,0.250057,0.249676,0.243082,0.237171,0.246892,0.202269,0.178317,0.204184,0.130589,0.101034,0.0704799,0.0504768,0.0276986,0.0163811,0.00791276,0.00324445,0.0011408,0.000415045,0.000115015,1.65942e-05,1.71664e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,2.19348e-06,2.11719e-05,9.88022e-05,0.000317388,0.0010172,0.00244678,0.00502041,0.0100868,0.0174043,0.0291806,0.0425309,0.0628983,0.0743229,0.111987,0.117971,0.181276,0.181036,0.18351,0.205105,0.221103,0.235061,0.241577,0.248842
122,0.252992,0.249752,0.249448,0.25021,0.250669,0.245781,0.247563,0.222183,0.213999,0.189145,0.155828,0.152862,0.0994401,0.0749554,0.0390443,0.0243284,0.014943,0.00686103,0.00296254,0.00114462,0.000342184,0.000100137,1.25887e-05,2.38422e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,2.09812e-06,1.37331e-05,6.58045e-05,0.000283627,0.000888457,0.00237831,0.00520638,0.00968757,0.0170002,0.0255103,0.0418936,0.0546125,0.0868611,0.086659,0.118706,0.144861,0.168418,0.216946,0.239599,0.243806,0.248088,0.248691,0.24719
121,0.252602,0.250134,0.248993,0.249752,0.247938,0.248314,0.236691,0.21501,0.19551,0.184087,0.16797,0.131091,0.0832254,0.0665087,0.0447619,0.02514,0.0147734,0.00695201,0.00264973,0.00109598,0.000307469,8.1445e-05,9.72763e-06,1.90738e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,1.27794e-05,7.43877e-05,0.000257877,0.000852407,0.00222667,0.00447604,0.0090734,0.0155594,0.0254635,0.0394675,0.0554592,0.0707355,0.100997,0.126223,0.17716,0.207232,0.187286,0.241506,0.218625,0.231213,0.24265,0.250286
120,0.25307,0.250823,0.250057,0.250363,0.247339,0.245707,0.230109,0.231605,0.205156,0.226733,0.159127,0.117818,0.0872683,0.0643408,0.0415073,0.0235527,0.0143365,0.00626402,0.00235676,0.000899519,0.000259403,6.96193e-05,1.18257e-05,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,8.01099e-06,5.5314e-05,0.000216106,0.000659762,0.00199359,0.00442912,0.00854486,0.013937,0.024655,0.0371059,0.0509413,0.0709253,0.0924695,0.125431,0.13965,0.161607,0.191131,0.204133,0.243733,0.247489,0.244461,0.246446
119,0.251362,0.25021,0.249448,0.249676,0.248993,0.25021,0.237583,0.217985,0.19951,0.173557,0.14319,0.11666,0.0963637,0.0626673,0.0378098,0.0246306,0.013079,0.00628347,0.00235637,0.000880064,0.000247578,5.34066e-05,1.18257e-05,1.90738e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.33516e-06,9.53689e-06,5.62676e-05,0.000223163,0.000701534,0.00195296,0.00403849,0.00817636,0.0136474,0.0236903,0.0370723,0.0556173,0.0719722,0.0854745,0.103485,0.140585,0.161099,0.179057,0.215406,0.220924,0.237928,0.249296,0.249905
118,0.253776,0.250057,0.250363,0.249828,0.249069,0.240301,0.232724,0.218683,0.2389,0.163217,0.139817,0.121957,0.0894114,0.0635818,0.0396605,0.0222261,0.0125481,0.00581922,0.0021107,0.000835431,0.000213817,4.90196e-05,8.39246e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,9.53689e-06,4.2916e-05,0.000183108,0.000573167,0.00176452,0.00382238,0.00771992,0.0135021,0.0227224,0.0337378,0.0549458,0.0674839,0.095845,0.10222,0.148082,0.163087,0.21643,0.212721,0.222062,0.232394,0.24009,0.24556
