SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2017-Dec-15 21:19:14
Date and Time Ended,2017-Dec-15 21:19:49
Scan Name,TRP_FPGA-TX5-00--RX5-00-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9414
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,245
Vertical Percentage,96.08
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.246002,0.237721,0.216831,0.193661,0.154273,0.117937,0.0847318,0.0477549,0.0254627,0.00982263,0.00383402,0.00114967,0.000522621,0.000524529,0.000375467,0.000303845,0.000336557,0.000383192,0.000314908,0.000330358,0.000430972,0.000187972,0.000247578,0.000210193,0.000266461,0.000171378,0.000205901,0.000105764,8.402e-05,0.000117208,0.000150874,0.000454719,0.00045491,0.000415713,0.000256924,0.000154498,0.000207523,0.00030518,0.000341325,0.000383097,0.000555142,0.000652037,0.000524147,0.000443751,0.000539311,0.00116941,0.00095264,0.00167763,0.00250725,0.00511263,0.0107643,0.0215621,0.040707,0.0658193,0.0918784,0.131999,0.165159,0.193753,0.215123,0.230757,0.245413,0.24719,0.249296,0.250669,0.255996
126,0.244826,0.237308,0.217291,0.192388,0.149378,0.11454,0.0792558,0.0431879,0.0217881,0.00839125,0.0031837,0.000777256,0.000376135,0.000278954,0.000224117,0.000187686,0.000245575,0.000290875,0.000212291,0.000234226,0.000306516,0.000115778,0.000143816,0.000165465,0.000102331,8.59274e-05,0.00011883,5.30251e-05,7.41016e-05,4.23438e-05,7.46738e-05,0.000273804,0.000246338,0.000207809,0.000139429,8.03006e-05,0.000104524,0.000193122,7.88701e-05,0.000182441,0.00033093,0.000201324,0.000308137,0.000199416,0.00025864,0.000469596,0.000268463,0.000948444,0.00176699,0.00434596,0.0090082,0.0195744,0.0363954,0.0665681,0.0911221,0.127322,0.158267,0.187029,0.213775,0.233786,0.241791,0.24854,0.248842,0.251439,0.253461
125,0.245266,0.234994,0.211131,0.182936,0.151086,0.116927,0.0757665,0.0421957,0.0204266,0.00793771,0.00261769,0.000728904,0.000223259,0.000168231,0.000189975,9.94697e-05,0.000109197,0.000152209,0.000122072,0.000169089,0.00015259,8.73579e-05,6.78073e-05,6.75212e-05,9.80392e-05,6.81888e-05,8.97421e-05,3.29023e-05,3.31884e-05,3.15671e-05,4.2153e-05,0.000171473,0.000145056,0.00011492,7.87747e-05,3.79568e-05,3.06134e-05,5.87472e-05,0.000101186,0.000156119,0.000287728,0.000124266,0.000238994,0.000150111,0.000151255,0.000412757,0.000314527,0.000861372,0.0015918,0.00386101,0.00847845,0.0188622,0.0325358,0.0608518,0.0892556,0.126848,0.162151,0.18417,0.216373,0.235128,0.242363,0.247788,0.2496,0.252213,0.253618
124,0.244096,0.236896,0.21333,0.18417,0.145143,0.107533,0.0715073,0.0378273,0.0179544,0.00677586,0.00217422,0.000472457,0.000134089,0.000140097,0.00012026,6.6186e-05,6.20851e-05,0.000106718,9.01236e-05,7.00961e-05,0.000117685,4.1104e-05,3.50958e-05,3.17578e-05,1.98367e-05,3.14717e-05,3.35698e-05,1.37331e-05,1.12535e-05,2.46052e-05,1.51637e-05,0.000109388,6.62814e-05,4.71122e-05,2.35561e-05,8.5832e-06,1.30655e-05,7.61997e-05,3.3856e-05,4.31067e-05,9.65133e-05,7.1622e-05,4.11994e-05,6.09407e-05,6.7998e-05,0.000194362,0.000172236,0.000583753,0.00120432,0.00327144,0.00706537,0.0164041,0.0312214,0.0510397,0.0885225,0.118723,0.156333,0.183839,0.214559,0.231148,0.239669,0.248088,0.249448,0.25268,0.255199
123,0.244388,0.237998,0.20887,0.179175,0.14008,0.102604,0.0679937,0.0373956,0.0175708,0.00616569,0.00194953,0.000441176,0.00011635,7.11452e-05,9.53689e-05,3.9292e-05,3.29976e-05,5.84611e-05,5.30251e-05,5.79843e-05,5.83658e-05,2.13626e-05,3.87198e-05,1.85969e-05,2.51774e-05,1.48775e-05,1.76432e-05,6.77119e-06,6.96193e-06,9.63226e-06,1.43053e-05,5.55047e-05,4.70169e-05,5.33112e-05,1.23026e-05,1.54498e-05,2.17441e-05,4.27253e-05,1.79294e-05,2.98505e-05,5.03548e-05,5.84611e-05,9.67994e-05,2.12673e-05,5.34066e-05,0.000115969,0.000160315,0.000384146,0.00117695,0.00284209,0.00713267,0.0156173,0.0295971,0.0509065,0.0894896,0.123446,0.155032,0.190597,0.207284,0.231278,0.239669,0.24719,0.248842,0.252058,0.253933
122,0.243082,0.234994,0.206553,0.178162,0.147124,0.108877,0.0633948,0.0329573,0.0154733,0.00525797,0.0015177,0.000338273,6.17037e-05,4.34882e-05,3.53819e-05,1.92645e-05,2.43191e-05,3.42374e-05,2.82292e-05,1.44961e-05,2.43191e-05,1.59266e-05,1.27794e-05,1.6022e-05,1.40192e-05,9.25078e-06,9.15541e-06,3.0518e-06,2.28885e-06,1.2398e-06,6.86656e-06,1.37331e-05,1.82155e-05,2.24117e-05,4.38697e-06,3.91012e-06,4.38697e-06,5.91287e-06,9.72763e-06,1.46868e-05,1.27794e-05,8.96468e-06,1.77386e-05,1.67849e-05,2.02182e-05,5.36927e-05,8.402e-05,0.000323873,0.000936332,0.00230631,0.00615539,0.0150797,0.0301438,0.0490238,0.0716574,0.109312,0.152435,0.182042,0.21124,0.226671,0.239669,0.246298,0.248389,0.252992,0.256477
121,0.242077,0.235941,0.203474,0.174369,0.138704,0.0982004,0.0632284,0.0312715,0.0143085,0.00492618,0.00139334,0.000296788,5.35973e-05,2.78477e-05,2.84199e-05,1.28748e-05,9.53689e-06,1.69757e-05,1.84062e-05,1.20165e-05,2.51774e-05,6.77119e-06,7.24804e-06,9.53689e-06,8.39246e-06,4.00549e-06,1.1635e-05,1.04906e-06,2.57496e-06,2.19348e-06,2.95644e-06,8.77394e-06,8.96468e-06,9.91836e-06,4.86381e-06,2.28885e-06,2.57496e-06,3.43328e-06,6.96193e-06,4.86381e-06,1.05859e-05,1.10628e-05,5.43603e-06,1.00137e-05,1.29702e-05,2.77523e-05,6.04639e-05,0.00020695,0.000671111,0.00215581,0.00556296,0.013079,0.0267918,0.0488892,0.0767892,0.120931,0.14458,0.179018,0.203474,0.223455,0.23897,0.245855,0.24854,0.252213,0.260722
120,0.244534,0.230109,0.20187,0.172315,0.134735,0.0949012,0.0592669,0.0297281,0.0122479,0.00431945,0.00108787,0.000238231,3.91012e-05,1.32563e-05,2.7657e-06,3.71939e-06,3.24254e-06,9.823e-06,8.5832e-06,7.0573e-06,9.06004e-06,2.09812e-06,2.57496e-06,3.71939e-06,4.2916e-06,2.00275e-06,1.43053e-06,2.86107e-07,4.76844e-07,2.86107e-07,1.2398e-06,3.33791e-06,4.95918e-06,7.62951e-07,8.5832e-07,3.81476e-07,4.76844e-07,1.43053e-06,6.67582e-07,2.38422e-06,1.5259e-06,2.38422e-06,1.2398e-06,2.09812e-06,5.5314e-06,1.40192e-05,2.24117e-05,0.00013323,0.000646983,0.00178302,0.00506943,0.0124014,0.0266056,0.047096,0.0782863,0.116098,0.141826,0.175265,0.208127,0.228696,0.237446,0.243516,0.249905,0.252213,0.254722
119,0.245119,0.229593,0.19749,0.172606,0.135852,0.0930683,0.05735,0.0284856,0.0115711,0.00405556,0.000997463,0.00020428,3.15671e-05,1.19211e-05,5.8175e-06,1.81201e-06,1.90738e-06,6.96193e-06,5.62676e-06,1.90738e-06,4.00549e-06,1.43053e-06,2.38422e-06,1.62127e-06,3.91012e-06,2.86107e-07,7.62951e-07,2.86107e-07,1.90738e-07,1.90738e-07,6.67582e-07,5.8175e-06,2.57496e-06,7.62951e-07,1.04906e-06,9.53689e-08,7.62951e-07,4.76844e-07,4.76844e-07,1.71664e-06,2.28885e-06,2.38422e-06,3.91012e-06,6.67582e-07,4.76844e-06,9.15541e-06,2.84199e-05,0.000133326,0.000583085,0.0016722,0.00492285,0.0124899,0.0227426,0.0436947,0.0755429,0.104997,0.14008,0.175641,0.206761,0.227426,0.23897,0.24556,0.249905,0.250977,0.259237
118,0.241934,0.234187,0.199122,0.168349,0.130361,0.0888104,0.0537807,0.0251192,0.0108246,0.00335727,0.000837911,0.000158598,2.1458e-05,8.86931e-06,2.19348e-06,6.67582e-07,1.5259e-06,2.67033e-06,1.5259e-06,1.14443e-06,1.62127e-06,1.14443e-06,7.62951e-07,2.86107e-07,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,8.5832e-07,9.53689e-08,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-08,1.90738e-07,2.86107e-07,4.76844e-07,6.67582e-07,1.14443e-06,6.10361e-06,1.41146e-05,6.57092e-05,0.000414759,0.00154803,0.00439364,0.0115194,0.0231631,0.0454599,0.0697656,0.103721,0.142517,0.171665,0.201572,0.224435,0.237308,0.245413,0.250057,0.250823,0.257606
