SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 17:16:06
Date and Time Ended,2018-Jan-24 17:16:42
Scan Name,MSP_C_FPGA-TX4-08--RX1-08-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9922
Horizontal Opening,46
Horizontal Percentage,70.77
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.249296,0.247938,0.243661,0.226671,0.198254,0.164694,0.13003,0.0958562,0.0650046,0.0333464,0.0134372,0.00491941,0.00101854,0.000105764,7.15267e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.38422e-06,4.00549e-05,0.000349908,0.00175546,0.00602712,0.0161703,0.0278313,0.0474671,0.0795173,0.109459,0.146755,0.168488,0.20297,0.223455,0.237033,0.245855,0.248691,0.25021
126,0.2496,0.247638,0.242363,0.225052,0.194952,0.163185,0.12752,0.0919402,0.0607165,0.0300796,0.0132182,0.00369306,0.000974002,8.27802e-05,3.52865e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,3.08042e-05,0.000296693,0.00176328,0.00575513,0.0139124,0.0262863,0.0463761,0.0746616,0.106499,0.143465,0.171809,0.203677,0.223822,0.239389,0.246446,0.249145,0.249905
125,0.249905,0.247638,0.241363,0.22617,0.197205,0.160625,0.121686,0.0900602,0.055478,0.0305987,0.0122245,0.00375477,0.00069686,8.19219e-05,4.48234e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.00275e-06,2.42237e-05,0.000313096,0.00147173,0.00548848,0.0142641,0.026578,0.0449658,0.0776628,0.109634,0.143165,0.175115,0.201473,0.222002,0.24009,0.246298,0.248993,0.2496
124,0.2496,0.247638,0.237998,0.223334,0.192298,0.15845,0.118964,0.0857429,0.0530631,0.0277427,0.00978882,0.00263447,0.000579652,3.96735e-05,2.28885e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,2.59403e-05,0.000243572,0.00152724,0.00485647,0.014323,0.0267866,0.0467733,0.0754872,0.102552,0.139555,0.173263,0.199704,0.222726,0.240372,0.245855,0.248389,0.250363
123,0.2496,0.247788,0.236896,0.222122,0.195138,0.155444,0.115999,0.0836076,0.0532909,0.0271614,0.00985074,0.00268053,0.000483425,4.98779e-05,2.67033e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,2.34607e-05,0.000249866,0.00135472,0.00478981,0.0136277,0.0243039,0.04441,0.074404,0.107027,0.139365,0.173117,0.200095,0.221282,0.237446,0.244534,0.248842,0.250363
122,0.2496,0.247339,0.238691,0.219975,0.187371,0.150641,0.113116,0.080124,0.0484612,0.0226947,0.00789365,0.00208724,0.000434977,2.99458e-05,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,2.25071e-05,0.000210575,0.00122215,0.00430438,0.0121983,0.0237116,0.0441611,0.0717578,0.10562,0.139745,0.16828,0.199025,0.22309,0.238691,0.244534,0.24854,0.250516
121,0.248842,0.247638,0.237721,0.215349,0.185588,0.146545,0.112095,0.0802653,0.0462713,0.0209275,0.00803882,0.00193885,0.000359159,2.97551e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.75479e-05,0.00023518,0.00124065,0.00459716,0.012342,0.022627,0.0433433,0.068793,0.100121,0.130154,0.16476,0.195138,0.223455,0.235805,0.244242,0.249296,0.251439
120,0.250363,0.246002,0.233254,0.215803,0.182447,0.144938,0.110254,0.0774279,0.0447888,0.0200114,0.00656863,0.00165188,0.000296216,1.82155e-05,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.81201e-05,0.000197795,0.00104992,0.0040075,0.0118916,0.0219363,0.0411528,0.0673452,0.100786,0.130986,0.164429,0.190155,0.219034,0.237308,0.244096,0.247938,0.251285
119,0.249905,0.246743,0.233387,0.212225,0.176245,0.140272,0.110017,0.0782265,0.0405017,0.02072,0.00684333,0.00146105,0.000288205,1.51637e-05,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.54498e-05,0.000189403,0.00114748,0.00411603,0.0114345,0.0219151,0.0408084,0.0665465,0.0974295,0.133375,0.159499,0.191847,0.218567,0.236077,0.243227,0.248389,0.250977
118,0.249905,0.245119,0.234455,0.208763,0.17319,0.140802,0.105375,0.0768613,0.0375155,0.0173785,0.00521019,0.00122358,0.000177005,1.27794e-05,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.9646e-05,0.000176528,0.000933948,0.00364614,0.0106416,0.0203343,0.0383766,0.0634242,0.0967849,0.128682,0.161639,0.188579,0.214111,0.233653,0.244972,0.24854,0.251439
