SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 16:25:06
Date and Time Ended,2018-Jan-24 16:25:43
Scan Name,TRP_FPGA-TX5-01--RX14-01-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9161
Horizontal Opening,43
Horizontal Percentage,66.15
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.249448,0.250057,0.2496,0.246743,0.239529,0.232064,0.21603,0.182285,0.151589,0.123038,0.09094,0.0531112,0.0301238,0.0160922,0.00723907,0.00264744,0.000775444,0.000151923,3.6717e-05,4.57771e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.33791e-06,2.67033e-05,0.000165179,0.000718891,0.00245289,0.00658331,0.0152737,0.0324817,0.0515018,0.0832677,0.112588,0.140899,0.214897,0.227048,0.234455,0.236213,0.242938,0.248088
126,0.25113,0.25021,0.248691,0.246446,0.23897,0.23246,0.214223,0.175716,0.15103,0.126457,0.0875387,0.0521975,0.0282556,0.014189,0.00620127,0.00224737,0.000626001,0.000124743,2.21256e-05,2.57496e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.71664e-06,2.49866e-05,0.000138094,0.000651846,0.00216011,0.0062089,0.0139303,0.0273008,0.0482499,0.0767892,0.112867,0.162344,0.200585,0.237033,0.230627,0.232196,0.241363,0.249905
125,0.249296,0.25021,0.248691,0.245119,0.246002,0.237998,0.199122,0.176854,0.147442,0.12001,0.0823967,0.0483696,0.0276342,0.0131897,0.00554704,0.00194409,0.000498493,0.000109388,1.75479e-05,1.81201e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.90738e-05,0.000115206,0.000589952,0.00215391,0.00623112,0.0136408,0.0272083,0.0495756,0.08752,0.113934,0.161512,0.190067,0.219621,0.217637,0.243227,0.24556,0.247788
124,0.250977,0.250823,0.249145,0.248993,0.243516,0.234054,0.201671,0.165693,0.143717,0.113241,0.0791945,0.045475,0.0246491,0.0121343,0.00467231,0.00156176,0.000399882,7.73442e-05,1.25887e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.58312e-05,0.000115206,0.000600824,0.00202182,0.00571202,0.0133719,0.0253336,0.048767,0.0839676,0.124914,0.146703,0.19412,0.205723,0.215349,0.24854,0.249448,0.248691
123,0.252992,0.248993,0.247938,0.247788,0.244242,0.226671,0.212115,0.174444,0.140176,0.108244,0.0720989,0.043718,0.0229246,0.0106322,0.00406319,0.00123627,0.000329976,6.22759e-05,9.63226e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.43053e-06,1.64034e-05,0.000118925,0.000521286,0.00192521,0.00540236,0.0129618,0.0276454,0.0434628,0.0785415,0.121325,0.144223,0.183757,0.204797,0.221044,0.229464,0.241221,0.248993
122,0.252213,0.250363,0.249296,0.242507,0.242363,0.215236,0.192027,0.163055,0.137818,0.100121,0.0675006,0.0418979,0.0201413,0.00938574,0.00349241,0.00110771,0.000253109,4.73983e-05,6.48508e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.50683e-05,8.57366e-05,0.00051194,0.00175269,0.00527237,0.0126931,0.0237308,0.0536609,0.0763171,0.115151,0.13946,0.179175,0.231148,0.218101,0.237721,0.240796,0.250516
121,0.250977,0.249448,0.250057,0.247339,0.23635,0.228313,0.18806,0.168696,0.129824,0.0934932,0.0643408,0.0401091,0.0194406,0.00853089,0.00321288,0.000939479,0.000213817,4.02457e-05,4.95918e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,1.11582e-05,9.80392e-05,0.000485237,0.00170233,0.0051524,0.012512,0.0246951,0.0463341,0.0713702,0.101661,0.154564,0.162925,0.222605,0.22844,0.246743,0.244534,0.250363
120,0.250516,0.25021,0.250057,0.24009,0.23567,0.21845,0.191578,0.153176,0.128844,0.101889,0.0615653,0.0326162,0.0167372,0.00779451,0.00277075,0.000795186,0.000166514,2.86107e-05,3.62402e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-07,1.30655e-05,8.16358e-05,0.000444514,0.00155137,0.00497673,0.0118188,0.0240669,0.0415578,0.0697418,0.117194,0.130986,0.178862,0.204083,0.210696,0.232988,0.241363,0.249448
119,0.253618,0.2496,0.245266,0.24615,0.239809,0.227932,0.190155,0.168765,0.131702,0.0861034,0.0592155,0.0317072,0.0155067,0.00672215,0.00252003,0.000722801,0.000143816,2.07904e-05,2.7657e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.27794e-05,7.14313e-05,0.000364309,0.00140316,0.00453613,0.011215,0.0250149,0.0392068,0.0688277,0.102939,0.127918,0.179962,0.222364,0.227173,0.23459,0.247788,0.246298
118,0.250977,0.2496,0.246298,0.248088,0.23883,0.225052,0.202569,0.161703,0.125258,0.0862121,0.0512441,0.0294969,0.0143707,0.00588388,0.00215982,0.0005622,0.000102045,1.49729e-05,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,6.00824e-06,7.24804e-05,0.000353437,0.00138933,0.00434529,0.0105871,0.0238872,0.04037,0.0733907,0.0898035,0.146755,0.172315,0.200978,0.228059,0.231802,0.2496,0.247788
