SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 03:55:50
Date and Time Ended,2018-Jan-24 03:56:27
Scan Name,TRP_FPGA-TX5-03--RX5-03-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9700
Horizontal Opening,44
Horizontal Percentage,67.69
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.251439,0.247788,0.243371,0.233653,0.217291,0.191847,0.158757,0.128925,0.0976386,0.060879,0.031781,0.0139356,0.00596628,0.00164311,0.000315385,4.2916e-05,4.10086e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.49729e-05,0.000163462,0.000869764,0.00368334,0.0104844,0.0231854,0.043238,0.0690133,0.0895483,0.135046,0.168626,0.218567,0.229851,0.226922,0.233786,0.243661,0.250977
126,0.250669,0.246892,0.249296,0.229336,0.229464,0.187286,0.156453,0.115704,0.0925217,0.0554554,0.0309127,0.0129103,0.00491732,0.00138895,0.000242809,2.90875e-05,2.19348e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,1.73571e-05,0.000156119,0.000903048,0.00353742,0.009279,0.0228734,0.0432061,0.0619096,0.0892361,0.136032,0.157234,0.219857,0.227426,0.227805,0.241791,0.243082,0.250363
125,0.250977,0.24719,0.237033,0.225671,0.210805,0.18542,0.160123,0.120151,0.0823635,0.0506046,0.0276155,0.0114453,0.00441205,0.00115606,0.000201324,2.66079e-05,2.28885e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.29702e-05,0.000148775,0.000758946,0.00330282,0.00952566,0.0210751,0.0393764,0.0673674,0.107788,0.132255,0.158144,0.188319,0.221163,0.225547,0.244242,0.242938,0.251439
124,0.251593,0.24719,0.234859,0.221282,0.205929,0.175565,0.148835,0.116164,0.0790874,0.0492537,0.0238302,0.0103459,0.00347038,0.000931945,0.000137903,1.94553e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.29702e-05,0.000114157,0.000667964,0.00306373,0.00895404,0.0207211,0.0410045,0.0601371,0.0866132,0.13003,0.156812,0.187801,0.21501,0.232988,0.247041,0.243082,0.248389
123,0.251903,0.246298,0.23352,0.217637,0.200486,0.176169,0.147019,0.0993195,0.0750859,0.0475332,0.0222945,0.00965681,0.00333886,0.000757038,0.000114443,1.74525e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,9.25078e-06,9.63226e-05,0.000727855,0.00290637,0.00855405,0.0210718,0.041774,0.0659784,0.105132,0.13003,0.172679,0.1802,0.200192,0.235399,0.247041,0.241934,0.248239
122,0.247788,0.24615,0.233387,0.224804,0.196448,0.205929,0.142319,0.110195,0.0726617,0.0447986,0.0203859,0.00837495,0.0025452,0.00066825,8.59274e-05,1.02998e-05,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,1.06813e-05,0.000100423,0.000599489,0.00269903,0.00856532,0.0195258,0.0379464,0.0618535,0.0930895,0.129454,0.174965,0.206553,0.217291,0.239669,0.245855,0.25021,0.249145
121,0.248842,0.24615,0.234054,0.221402,0.194581,0.193661,0.143165,0.106944,0.0711347,0.0410703,0.0189154,0.00773081,0.00245441,0.000552949,7.55322e-05,7.82025e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,9.63226e-06,9.96605e-05,0.00063735,0.00252747,0.00776834,0.0194295,0.036113,0.0562706,0.100736,0.132084,0.17739,0.186433,0.222605,0.240513,0.244826,0.249296,0.249905
120,0.248691,0.25113,0.232856,0.223822,0.194028,0.1802,0.13894,0.0965113,0.0667199,0.0380911,0.0180708,0.00654638,0.00203489,0.00041247,5.08316e-05,4.76844e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.3434e-06,9.89929e-05,0.00053645,0.00243343,0.00775614,0.0173579,0.0379992,0.0536398,0.0986735,0.123969,0.177698,0.175565,0.224558,0.218567,0.246298,0.248088,0.249448
119,0.248993,0.249905,0.234187,0.214111,0.192207,0.179332,0.134469,0.102629,0.0652947,0.034527,0.0161188,0.00580377,0.00175498,0.000335317,4.06271e-05,2.7657e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.77119e-06,8.38293e-05,0.000465686,0.00225547,0.00752487,0.017595,0.0352308,0.0580161,0.0953209,0.126574,0.182204,0.173925,0.200683,0.222122,0.229593,0.247489,0.249448
118,0.248691,0.249752,0.243951,0.210264,0.219739,0.159686,0.12744,0.0859228,0.0583966,0.0331951,0.0147262,0.00515993,0.00143349,0.000251583,3.36652e-05,2.67033e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.91287e-06,6.86656e-05,0.000492485,0.00215057,0.00688196,0.0168835,0.0358444,0.0528372,0.0817716,0.118311,0.184668,0.179804,0.20088,0.219975,0.230368,0.246002,0.248239
117,0.24854,0.248842,0.242363,0.207599,0.217176,0.160248,0.125604,0.0946819,0.0546416,0.0295928,0.0136082,0.00453384,0.00125124,0.000244335,1.75479e-05,1.43053e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.00824e-06,7.39109e-05,0.000436599,0.00211385,0.00667308,0.0160223,0.0314202,0.0598296,0.0804229,0.126301,0.15468,0.180996,0.203071,0.24468,0.228568,0.246595,0.252368
116,0.248088,0.24854,0.24009,0.210048,0.189189,0.152322,0.114093,0.0869441,0.0508812,0.0289466,0.012458,0.00396773,0.00103218,0.000191596,2.00275e-05,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.38697e-06,5.84611e-05,0.000399691,0.00186828,0.00654638,0.0153532,0.0310134,0.0531664,0.0875013,0.114029,0.151477,0.177007,0.232592,0.212225,0.225175,0.23883,0.25504
115,0.248993,0.248993,0.235399,0.231148,0.189189,0.149323,0.118073,0.0785565,0.0483125,0.0262274,0.0107771,0.00330196,0.000807012,0.000127031,1.421e-05,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,4.48234e-06,4.87335e-05,0.000388151,0.00180819,0.00581645,0.0137864,0.0314757,0.0567147,0.0954764,0.120186,0.150144,0.170026,0.233254,0.210156,0.232856,0.246892,0.255358
