SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2018-Jan-25 12:09:58
Date and Time Ended,2018-Jan-25 12:10:27
Scan Name,MSP_A_FPGA-IC39-10--IC4-10-TRP_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9236
Horizontal Opening,48
Horizontal Percentage,73.85
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.250746,0.250286,0.249752,0.249524,0.244242,0.235534,0.221762,0.188796,0.162699,0.129434,0.0916625,0.0592198,0.0332719,0.0129336,0.00367266,0.000555428,3.01366e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,6.48508e-06,6.86656e-05,0.000360685,0.00147803,0.00370718,0.00891699,0.0169685,0.0299542,0.0488222,0.0726617,0.0984719,0.126145,0.156333,0.181799,0.203778,0.223455,0.236145,0.244242,0.247938,0.249372,0.250593,0.249448,0.2496,0.249145,0.249828
126,0.249981,0.248918,0.249981,0.248239,0.245192,0.235873,0.214279,0.188406,0.156722,0.119975,0.0890324,0.0584049,0.0310604,0.0112457,0.00284943,0.000427253,2.49866e-05,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,5.5314e-06,4.78752e-05,0.000305753,0.00134565,0.00318055,0.00794614,0.0153878,0.0283662,0.0471638,0.0696825,0.0966593,0.126613,0.157083,0.17945,0.201671,0.221462,0.234523,0.243733,0.247788,0.249372,0.250134,0.248993,0.249981,0.250134,0.249981
125,0.249524,0.250134,0.249296,0.249676,0.244534,0.236418,0.217406,0.190376,0.152322,0.123465,0.0895287,0.0573019,0.0294502,0.0107769,0.00278973,0.000424582,2.97551e-05,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.2916e-06,4.42512e-05,0.000313573,0.00131476,0.00299001,0.00770829,0.0151103,0.0278806,0.045289,0.0676735,0.0957778,0.120221,0.154885,0.175603,0.205878,0.222969,0.236418,0.243227,0.24854,0.249981,0.250286,0.250516,0.249296,0.250134,0.249981
124,0.249524,0.249676,0.249828,0.247788,0.241292,0.228696,0.209083,0.185715,0.151533,0.119782,0.0827964,0.0547988,0.0275246,0.00967994,0.00231174,0.000315671,1.41146e-05,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,4.17716e-05,0.000229076,0.0010256,0.00280022,0.00675765,0.0134245,0.0250808,0.0442039,0.0649221,0.090538,0.121903,0.147098,0.175528,0.200486,0.219621,0.232064,0.241791,0.247563,0.25021,0.249828,0.249676,0.249828,0.249752,0.250669
123,0.249981,0.249448,0.249752,0.248842,0.244388,0.23392,0.20887,0.184004,0.149925,0.11462,0.0816412,0.0526098,0.0268524,0.00973068,0.00217079,0.000305371,1.39239e-05,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.81201e-06,3.77661e-05,0.000201991,0.0009205,0.0025412,0.00668345,0.0127631,0.0253117,0.0417399,0.0657823,0.0886183,0.118688,0.150337,0.170771,0.196542,0.219562,0.232724,0.242291,0.248615,0.248615,0.250134,0.249905,0.250439,0.249828,0.249524
122,0.249372,0.2496,0.250286,0.248239,0.243154,0.234054,0.215066,0.178706,0.147071,0.115087,0.0795096,0.0515018,0.0250409,0.00844015,0.00172503,0.000223354,5.91287e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,8.5832e-07,2.61311e-05,0.00016556,0.000808728,0.00231861,0.00583066,0.0122736,0.023042,0.0392406,0.0609968,0.0861124,0.112898,0.142368,0.171737,0.199074,0.218043,0.229915,0.239879,0.247489,0.248766,0.251053,0.250134,0.250593,0.249524,0.249145
121,0.250516,0.250593,0.250057,0.248239,0.242077,0.232394,0.209511,0.183551,0.144071,0.114796,0.0794325,0.0499992,0.0238837,0.00827878,0.00176699,0.000202182,8.77394e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,2.26978e-05,0.000165179,0.000736248,0.00207866,0.00586252,0.0112951,0.0229484,0.0393348,0.061593,0.0872869,0.110462,0.13996,0.164694,0.194766,0.217061,0.231213,0.240584,0.247115,0.248918,0.250286,0.249981,0.249828,0.250286,0.2496
120,0.249905,0.24922,0.2496,0.247788,0.242507,0.229657,0.204184,0.17716,0.143742,0.114748,0.0789046,0.0481818,0.0233128,0.00743648,0.00140116,0.000157359,6.67582e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,1.35424e-05,0.000132944,0.000574121,0.00178645,0.00483501,0.010819,0.0211693,0.0358868,0.0587652,0.0821158,0.109502,0.137841,0.167079,0.191086,0.21261,0.230109,0.240442,0.247115,0.249676,0.248314,0.249448,0.250057,0.250593,0.2496
119,0.249069,0.249828,0.249828,0.247489,0.242291,0.230822,0.205774,0.175227,0.140875,0.108559,0.0767676,0.0468241,0.0226771,0.00681029,0.00127642,0.000139429,2.28885e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,1.29702e-05,0.000104524,0.000516709,0.00165656,0.00474727,0.0103672,0.0205393,0.0354796,0.0566598,0.0808914,0.106776,0.135202,0.165426,0.194905,0.215349,0.22642,0.238136,0.245928,0.248465,0.249448,0.249828,0.249752,0.250823,0.250363
118,0.249828,0.25021,0.249905,0.247638,0.239179,0.224435,0.20177,0.172171,0.141949,0.108158,0.0725137,0.0434168,0.0196523,0.00617018,0.00105783,0.0001112,3.91012e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,8.39246e-06,9.57504e-05,0.000442893,0.00146639,0.0042565,0.00936694,0.0191095,0.0329958,0.0539756,0.0754594,0.10199,0.131723,0.162699,0.190775,0.209833,0.225983,0.23779,0.245855,0.249905,0.25021,0.249676,0.248766,0.249372,0.249905
