SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-25 17:36:07
Date and Time Ended,2018-Jan-25 17:36:40
Scan Name,MSP_A_FPGA-TX1-10--RX13-10-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,8576
Horizontal Opening,40
Horizontal Percentage,61.54
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.249145,0.247638,0.242794,0.234054,0.212335,0.182204,0.154505,0.116164,0.0704011,0.0435831,0.0217776,0.00879051,0.00412022,0.00108339,0.00029593,5.1976e-05,1.12535e-05,1.5259e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,4.86381e-06,3.61448e-05,0.000229648,0.000845541,0.00253243,0.00670619,0.0168571,0.025904,0.0474012,0.064717,0.0914476,0.11666,0.141093,0.170309,0.18601,0.215689,0.23154,0.242507,0.246892,0.249145,0.249448,0.251439
126,0.248389,0.247489,0.242363,0.227932,0.210264,0.181316,0.157173,0.106443,0.0710237,0.0410744,0.0178815,0.0096009,0.00268959,0.00099155,0.000256828,4.90196e-05,8.39246e-06,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,6.19898e-06,3.91012e-05,0.000137903,0.000853265,0.0022961,0.00522564,0.0126743,0.0262982,0.0441849,0.0645233,0.0922716,0.116494,0.138987,0.165962,0.190067,0.211676,0.231802,0.241791,0.24719,0.248389,0.250823,0.252836
125,0.248842,0.24615,0.241079,0.226671,0.206241,0.179646,0.143566,0.0998766,0.070196,0.036113,0.0176648,0.00864377,0.00319686,0.000985447,0.000215724,4.67308e-05,7.43877e-06,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,4.10086e-06,2.73709e-05,0.000174144,0.000616941,0.00196031,0.00572175,0.0133544,0.0272336,0.0391693,0.0685283,0.090418,0.114925,0.135001,0.165159,0.189715,0.212555,0.230368,0.241791,0.247489,0.249296,0.250363,0.251748
124,0.248691,0.247041,0.241221,0.225299,0.211458,0.173117,0.132555,0.0922716,0.0626482,0.0307203,0.0185504,0.0066683,0.00219587,0.000620279,0.000187114,2.79431e-05,3.71939e-06,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,4.48234e-06,1.74525e-05,0.000144579,0.000530156,0.00202888,0.00431392,0.0130631,0.0212699,0.0363276,0.0675229,0.0922924,0.111242,0.136168,0.162666,0.189627,0.209083,0.230238,0.241506,0.246298,0.248088,0.250057,0.252992
123,0.24854,0.244826,0.239949,0.223334,0.204286,0.17549,0.1297,0.0878203,0.0596467,0.0318725,0.0157907,0.00659762,0.00237936,0.000677024,0.000150397,3.01366e-05,4.48234e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.90738e-06,3.01366e-05,9.00282e-05,0.000677024,0.00160439,0.00519303,0.010043,0.0233733,0.0409553,0.0628404,0.0852255,0.11321,0.135852,0.164826,0.190686,0.214672,0.229207,0.238552,0.245855,0.24854,0.250823,0.251593
122,0.248088,0.244826,0.239949,0.222243,0.205413,0.168626,0.125758,0.0853143,0.0517033,0.02892,0.0117151,0.00556029,0.00163748,0.000465305,9.95651e-05,1.61173e-05,1.62127e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.38422e-06,1.54498e-05,0.000100805,0.000446517,0.00148413,0.00395132,0.0112994,0.0228913,0.039697,0.0572698,0.0843132,0.107167,0.129373,0.165225,0.190864,0.211131,0.228186,0.240372,0.24556,0.248842,0.250363,0.252992
121,0.248389,0.242794,0.237033,0.226796,0.197967,0.169885,0.123707,0.0883316,0.0487844,0.0284737,0.0128383,0.00526188,0.00177138,0.000551804,0.000109579,1.92645e-05,2.09812e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.2398e-06,2.05997e-05,7.47692e-05,0.000405032,0.001491,0.00377403,0.0109048,0.0193881,0.038957,0.0576081,0.0809314,0.0997064,0.131702,0.162537,0.188319,0.217061,0.228951,0.238552,0.244388,0.249752,0.250057,0.25268
120,0.248691,0.24265,0.23567,0.223944,0.193114,0.159066,0.115022,0.0775158,0.0473738,0.0215791,0.0124964,0.00472467,0.00149157,0.000335222,7.15267e-05,9.63226e-06,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.43053e-06,1.41146e-05,9.45106e-05,0.000454147,0.00122854,0.00355087,0.0087653,0.0200339,0.0337197,0.0570306,0.080344,0.106582,0.131575,0.161703,0.184336,0.205619,0.225052,0.23883,0.243371,0.248239,0.250516,0.253305
119,0.247788,0.243806,0.236896,0.220212,0.187715,0.150697,0.125335,0.0827629,0.0495816,0.024556,0.0101919,0.00392357,0.00115415,0.000387484,7.2385e-05,1.20165e-05,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,2.19348e-06,1.53544e-05,5.67445e-05,0.000295644,0.00124495,0.00319419,0.0102812,0.021501,0.031781,0.0581561,0.0774572,0.0987449,0.127679,0.150919,0.180836,0.203879,0.223455,0.235534,0.243371,0.2496,0.250516,0.254406
118,0.246446,0.241363,0.233254,0.219386,0.184336,0.150863,0.118688,0.0777808,0.0439007,0.0215837,0.00977014,0.00401112,0.00114652,0.00024176,4.38697e-05,8.67857e-06,7.62951e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,1.23026e-05,7.07637e-05,0.000331979,0.000971332,0.00334754,0.00879466,0.017327,0.035107,0.0556438,0.0735093,0.0994401,0.129783,0.152891,0.174667,0.20449,0.222726,0.23635,0.245413,0.248088,0.250363,0.254564
