SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-25 17:52:02
Date and Time Ended,2018-Jan-25 17:52:32
Scan Name,MSP_C_FPGA-TX4-00--RX3-00-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,7787
Horizontal Opening,37
Horizontal Percentage,56.92
Vertical Opening,251
Vertical Percentage,98.43
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.241791,0.230757,0.214223,0.193478,0.173778,0.159189,0.143818,0.133898,0.127045,0.12008,0.108848,0.0962165,0.0761751,0.0524112,0.0344544,0.0196401,0.0102296,0.00362154,0.00118372,0.000294213,3.35698e-05,3.81476e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.02998e-05,8.20172e-05,0.000505741,0.00250801,0.00767734,0.0180509,0.0403143,0.0783462,0.108387,0.136213,0.173483,0.192027,0.212776,0.231671,0.24009,0.247041,0.248993,0.250823,0.25268
126,0.240937,0.22642,0.21333,0.191847,0.171378,0.156872,0.144682,0.133245,0.126184,0.117362,0.10853,0.0933653,0.0744175,0.0496899,0.0317465,0.0182659,0.00921865,0.00321508,0.000931086,0.000236801,3.58587e-05,2.38422e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.2398e-06,7.72488e-06,8.0396e-05,0.000443751,0.00203651,0.00660987,0.0156656,0.0392369,0.0720608,0.0998766,0.128763,0.16351,0.199316,0.213664,0.230238,0.240654,0.246002,0.248691,0.249752,0.25268
125,0.23897,0.226545,0.20994,0.193023,0.171522,0.155208,0.141093,0.132212,0.125527,0.118826,0.106944,0.0921471,0.0719216,0.0490649,0.0308801,0.0160903,0.00874528,0.00303912,0.00092937,0.000208286,2.46052e-05,2.7657e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,4.19623e-06,5.68399e-05,0.000450141,0.00217641,0.00685386,0.0139822,0.0367579,0.074839,0.102861,0.129128,0.164628,0.191847,0.216487,0.226671,0.240796,0.246298,0.248239,0.250823,0.252368
124,0.237998,0.223455,0.210048,0.190243,0.169324,0.153636,0.140176,0.132426,0.125181,0.117632,0.104702,0.0903781,0.0670915,0.0450251,0.0284381,0.0157336,0.00727921,0.00268874,0.000801862,0.000152972,2.04089e-05,1.04906e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,4.2916e-06,4.98779e-05,0.000414378,0.00140173,0.0057249,0.0139712,0.0347762,0.0637699,0.112712,0.135852,0.160941,0.191937,0.209511,0.225547,0.240796,0.24556,0.248691,0.250669,0.25268
123,0.239949,0.226796,0.204899,0.187286,0.166029,0.148889,0.141679,0.130652,0.124345,0.115346,0.103042,0.08858,0.0659253,0.0443812,0.028145,0.0153068,0.00707831,0.00249113,0.00079242,0.000140574,2.19348e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,4.67308e-06,4.69215e-05,0.000442798,0.00167172,0.00496967,0.0136727,0.0394637,0.0556665,0.096036,0.130902,0.155267,0.189979,0.20919,0.227552,0.237171,0.244096,0.248993,0.250669,0.25268
122,0.237446,0.218683,0.203373,0.185337,0.164959,0.151701,0.139507,0.131575,0.123595,0.113808,0.100885,0.0834883,0.0640791,0.0428087,0.0256124,0.0126888,0.00649304,0.00215877,0.000658522,0.000128939,1.28748e-05,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.48234e-06,2.59403e-05,0.000279431,0.00150988,0.00505608,0.0154721,0.0311526,0.0612339,0.0919196,0.13128,0.160562,0.188492,0.204797,0.222848,0.238274,0.244388,0.248842,0.25021,0.254881
121,0.237446,0.220449,0.202569,0.185673,0.162796,0.150974,0.139318,0.129169,0.12326,0.112774,0.100811,0.0860491,0.0642198,0.0424318,0.025113,0.0135099,0.00638076,0.00187629,0.000586995,0.000110723,1.22072e-05,1.71664e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,2.86107e-06,3.1281e-05,0.000244335,0.00131714,0.00420434,0.0129254,0.0339799,0.0600225,0.093922,0.124007,0.165693,0.194212,0.207916,0.226545,0.239389,0.24615,0.248842,0.250823,0.253305
120,0.236759,0.217869,0.200683,0.18417,0.1641,0.147761,0.136168,0.129291,0.121903,0.113966,0.0982239,0.081495,0.060093,0.0392971,0.0234657,0.0120518,0.00519093,0.00169823,0.000458248,9.25078e-05,1.02045e-05,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,3.14717e-06,2.33654e-05,0.000229744,0.00107357,0.00376469,0.0130154,0.0280948,0.0631407,0.0973138,0.126184,0.153867,0.181638,0.205723,0.223212,0.237446,0.245266,0.249145,0.250669,0.254881
119,0.234187,0.217637,0.202669,0.174667,0.163969,0.147336,0.136759,0.129291,0.121325,0.113934,0.0965795,0.0803755,0.0581727,0.0388167,0.0216008,0.0111868,0.00514458,0.00160067,0.000458343,7.93469e-05,9.91836e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.52865e-06,1.33516e-05,0.000218395,0.00102359,0.00346466,0.0103916,0.0296549,0.0588666,0.0982946,0.125029,0.160436,0.179962,0.202269,0.222969,0.239669,0.242507,0.247339,0.251439,0.254722
118,0.229851,0.21845,0.199122,0.178162,0.160877,0.147389,0.135403,0.129169,0.121003,0.111091,0.0927102,0.0770637,0.055803,0.0359514,0.0204164,0.0107271,0.00455854,0.00140402,0.000348859,6.19898e-05,8.5832e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.57496e-06,1.32563e-05,0.000226692,0.00108873,0.00293536,0.0107471,0.0242881,0.05446,0.0907788,0.111941,0.153406,0.176778,0.202169,0.225423,0.237859,0.24222,0.247788,0.250823,0.255836
