SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2018-Jan-25 12:03:20
Date and Time Ended,2018-Jan-25 12:03:49
Scan Name,TRP_FPGA-J1-02--J1-02-TRP_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,10019
Horizontal Opening,47
Horizontal Percentage,72.31
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.249981,0.250286,0.248615,0.25021,0.25021,0.249828,0.249676,0.245266,0.231736,0.200978,0.165827,0.133245,0.100885,0.0676847,0.0331937,0.010058,0.00201076,0.000137331,9.53689e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,7.03822e-05,0.000961128,0.00497215,0.0151755,0.0404917,0.0726101,0.105024,0.13833,0.169464,0.203424,0.228377,0.244826,0.2496,0.249145,0.249676
126,0.250363,0.249981,0.249372,0.249145,0.250134,0.249145,0.249372,0.245192,0.228122,0.200781,0.164199,0.132106,0.0975107,0.0646914,0.0311348,0.00888972,0.00159266,0.000123217,4.38697e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,5.32158e-05,0.000696956,0.00403677,0.0134746,0.0378465,0.0691239,0.102616,0.135246,0.165392,0.199997,0.227363,0.243878,0.248239,0.249981,0.250593
125,0.250286,0.249905,0.250134,0.249905,0.250823,0.250439,0.24854,0.244534,0.228122,0.199607,0.160594,0.131364,0.0982828,0.0635374,0.0297519,0.00879644,0.0014744,0.000101282,5.14992e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.04906e-06,4.61585e-05,0.000629435,0.00360647,0.013357,0.0367003,0.0680558,0.101649,0.134823,0.1664,0.197824,0.225113,0.243878,0.249296,0.2496,0.249145
124,0.250363,0.25021,0.249752,0.249905,0.249296,0.249676,0.249372,0.244096,0.226922,0.195697,0.160846,0.128399,0.0948463,0.0600709,0.0280813,0.007677,0.00127241,8.69764e-05,2.67033e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.43328e-05,0.000522812,0.00334707,0.0114982,0.0344298,0.0647835,0.0992714,0.131723,0.163217,0.194304,0.224067,0.241648,0.247938,0.2496,0.249752
123,0.2496,0.249828,0.249981,0.249828,0.24922,0.248993,0.248691,0.242866,0.224743,0.194443,0.158819,0.126829,0.0948353,0.0581809,0.0268815,0.00744602,0.00118009,7.22896e-05,1.90738e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,2.63218e-05,0.000489815,0.00302262,0.0114389,0.0337128,0.0633164,0.0981063,0.131364,0.160405,0.193296,0.221462,0.24172,0.248918,0.250134,0.250363
122,0.249981,0.250363,0.250439,0.25021,0.249448,0.249981,0.248314,0.242866,0.222002,0.191265,0.156842,0.123688,0.0927732,0.0568643,0.0255565,0.00663577,0.00100977,6.14176e-05,2.00275e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.42237e-05,0.000380331,0.00264878,0.0100572,0.0315837,0.0612843,0.0946272,0.127124,0.157143,0.191131,0.221942,0.240301,0.247863,0.250057,0.249296
121,0.249524,0.25021,0.250439,0.248918,0.250134,0.250363,0.248013,0.241791,0.221882,0.189802,0.154535,0.12102,0.0911525,0.0562436,0.0244417,0.00616503,0.000926223,5.13085e-05,1.2398e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.50683e-05,0.00032063,0.00229114,0.00932441,0.0290224,0.0580737,0.091796,0.124138,0.156752,0.191712,0.219327,0.240937,0.247489,0.249676,0.249905
120,0.250286,0.249676,0.25021,0.249905,0.249905,0.250363,0.248993,0.241363,0.219857,0.189627,0.153492,0.120045,0.0879901,0.0531078,0.0214262,0.0050803,0.000793469,3.75753e-05,2.38422e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.31609e-05,0.000221065,0.00207294,0.00800813,0.0266411,0.0559554,0.0895678,0.121921,0.154973,0.187371,0.216202,0.239809,0.248163,0.249905,0.250363
119,0.250593,0.250134,0.250286,0.250286,0.250057,0.249752,0.24854,0.240796,0.219798,0.188536,0.150835,0.118534,0.087408,0.0526843,0.0214172,0.00525006,0.000612268,3.64309e-05,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.20172e-06,0.00024567,0.0019625,0.00800259,0.0254098,0.0546526,0.0875574,0.121469,0.15355,0.184751,0.216202,0.237859,0.247713,0.24922,0.250439
118,0.2496,0.249905,0.250823,0.249752,0.250593,0.25021,0.24854,0.239529,0.21603,0.186052,0.149351,0.115901,0.0841228,0.0501523,0.0204001,0.0045758,0.000503929,2.86107e-05,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.01099e-06,0.000191119,0.00161631,0.00657759,0.023494,0.0517033,0.0847318,0.11792,0.149651,0.180637,0.214391,0.237652,0.246892,0.250363,0.249069
