SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-25 12:04:19
Date and Time Ended,2018-Jan-25 12:04:49
Scan Name,TRP_FPGA-J3-00--J3-00-TRP_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9322
Horizontal Opening,45
Horizontal Percentage,69.23
Vertical Opening,246
Vertical Percentage,96.08
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.250057,0.248993,0.247339,0.239949,0.22844,0.202468,0.163315,0.129783,0.0842785,0.0465606,0.020299,0.00715985,0.00198329,0.000370413,4.15808e-05,3.0518e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-08,6.67582e-07,3.81476e-07,6.67582e-07,1.14443e-06,1.90738e-06,1.62127e-06,2.00275e-06,7.72488e-06,6.29435e-06,1.12535e-05,1.56405e-05,2.12673e-05,1.8883e-05,1.50683e-05,1.64988e-05,1.38285e-05,1.85016e-05,1.62127e-05,2.47005e-05,3.72892e-05,5.02594e-05,9.84207e-05,0.000191978,0.000479992,0.00136559,0.00371099,0.0104806,0.0243675,0.0470852,0.0812525,0.1248,0.15568,0.192932,0.216946,0.237721,0.244534,0.248993,0.248993,0.249448,0.25021,0.249905,0.250363
126,0.250057,0.249145,0.247041,0.238136,0.224435,0.20177,0.160248,0.12461,0.0777218,0.0422262,0.0175205,0.00645965,0.00155919,0.000272564,3.60494e-05,1.90738e-06,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.81476e-07,2.86107e-07,4.76844e-07,1.33516e-06,8.5832e-07,1.43053e-06,1.33516e-05,4.76844e-06,6.48508e-06,6.58045e-06,1.23026e-05,9.15541e-06,9.25078e-06,1.26841e-05,9.53689e-06,9.63226e-06,8.5832e-06,1.22072e-05,2.20302e-05,2.96597e-05,8.53552e-05,0.00013571,0.000369173,0.00106537,0.00332589,0.00950664,0.0221618,0.0437273,0.0761185,0.105538,0.155858,0.192117,0.217637,0.237721,0.243516,0.248239,0.249296,0.249448,0.249905,0.250057,0.249905
125,0.249448,0.249145,0.246446,0.237033,0.222122,0.199219,0.157294,0.117598,0.0779733,0.04037,0.0161876,0.00568027,0.0014003,0.000235657,3.01366e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,9.53689e-08,1.90738e-07,9.53689e-08,8.5832e-07,5.72213e-07,1.04906e-06,3.81476e-07,2.28885e-06,4.86381e-06,5.8175e-06,5.24529e-06,8.86931e-06,1.10628e-05,1.02045e-05,6.86656e-06,2.67033e-05,1.19211e-05,6.86656e-06,1.25887e-05,1.86923e-05,3.03273e-05,5.93194e-05,0.000139334,0.000371366,0.00104086,0.00311952,0.00918289,0.021074,0.0432929,0.0743229,0.113367,0.154041,0.19749,0.216144,0.23567,0.245413,0.248239,0.249296,0.249296,0.249905,0.249905,0.250057
124,0.250823,0.248691,0.246002,0.237859,0.220093,0.192932,0.153983,0.113618,0.0711471,0.037768,0.0143566,0.00449969,0.00107757,0.000153162,1.72618e-05,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.04906e-06,1.2398e-06,1.90738e-06,3.0518e-06,1.71664e-06,7.15267e-06,4.10086e-06,5.8175e-06,2.57496e-06,4.10086e-06,3.71939e-06,3.24254e-06,7.53414e-06,1.26841e-05,1.74525e-05,3.24254e-05,9.64179e-05,0.000308518,0.00087129,0.00281376,0.0081542,0.0203727,0.040898,0.0741078,0.115379,0.150586,0.188319,0.212887,0.23459,0.243371,0.247788,0.249145,0.249145,0.249905,0.25021,0.249448
123,0.248993,0.248691,0.245119,0.237583,0.219151,0.191131,0.149378,0.110343,0.066331,0.0342957,0.0132731,0.00404011,0.000871195,0.000132181,1.43053e-05,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,9.53689e-08,3.81476e-07,1.90738e-07,9.53689e-08,7.62951e-07,8.5832e-07,1.33516e-06,2.95644e-06,2.38422e-06,2.09812e-06,2.00275e-06,2.57496e-06,2.67033e-06,3.91012e-06,1.5259e-06,3.81476e-06,4.67308e-06,7.43877e-06,3.29976e-05,0.000153449,0.000206664,0.00069276,0.00253729,0.00747052,0.0192189,0.0390946,0.0706562,0.106222,0.14665,0.185253,0.213219,0.232592,0.24468,0.24615,0.248842,0.249448,0.249448,0.250516,0.249905
122,0.248691,0.248088,0.244388,0.23567,0.216144,0.18601,0.147495,0.103302,0.0632968,0.0313289,0.0115888,0.00344501,0.000695239,9.50828e-05,1.13489e-05,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,9.53689e-08,2.86107e-07,4.76844e-07,7.62951e-07,1.43053e-06,1.2398e-06,1.90738e-06,1.14443e-06,2.00275e-06,1.81201e-06,1.43053e-06,1.2398e-06,4.19623e-06,2.7657e-06,6.19898e-06,1.43053e-05,5.33112e-05,0.000160315,0.000569257,0.00221609,0.00679812,0.017519,0.038409,0.0685972,0.10136,0.144071,0.184336,0.209404,0.231278,0.243806,0.246892,0.249296,0.250363,0.249905,0.247788,0.249296
121,0.24854,0.248239,0.244388,0.233121,0.214897,0.183345,0.142368,0.103485,0.0586979,0.0295586,0.0102998,0.00292906,0.000606641,8.37339e-05,7.24804e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,3.81476e-07,1.2398e-06,1.2398e-06,1.33516e-06,4.76844e-07,7.62951e-07,9.53689e-08,1.33516e-06,1.62127e-06,1.5259e-06,2.38422e-06,4.67308e-06,1.48775e-05,4.23438e-05,0.000128653,0.000513752,0.00200475,0.00633438,0.016297,0.0359041,0.0654512,0.107308,0.141337,0.183592,0.208445,0.233786,0.242507,0.247638,0.249448,0.250057,0.247788,0.248993,0.25021
120,0.249448,0.247489,0.242938,0.232988,0.210588,0.17855,0.138096,0.0953653,0.053809,0.025047,0.00914455,0.0022797,0.000472839,5.78889e-05,5.24529e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,3.81476e-07,1.2398e-06,2.86107e-07,4.76844e-07,2.86107e-07,2.86107e-07,9.53689e-08,9.53689e-08,3.81476e-07,1.81201e-06,1.71664e-06,7.53414e-06,2.28885e-05,0.000103285,0.000399977,0.00169347,0.00595912,0.0150902,0.032952,0.0597947,0.0957666,0.139793,0.17716,0.208339,0.227426,0.240796,0.247638,0.24854,0.248842,0.250057,0.25021,0.250823
119,0.248239,0.248088,0.244534,0.230887,0.20781,0.176321,0.136714,0.0925217,0.0515796,0.0238261,0.00876305,0.00199445,0.000447471,4.46326e-05,3.71939e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,2.86107e-07,3.81476e-07,4.76844e-07,9.53689e-08,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-07,1.2398e-06,8.96468e-06,1.93599e-05,7.75349e-05,0.000362402,0.00153964,0.00518788,0.0149853,0.0335128,0.0609061,0.0956101,0.136349,0.174891,0.206241,0.230109,0.240513,0.246743,0.2496,0.2496,0.249905,0.249905,0.249905
118,0.249145,0.247938,0.24265,0.228568,0.208445,0.168626,0.132383,0.0864304,0.0490179,0.0215078,0.00716775,0.00172045,0.000319295,3.06134e-05,2.19348e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.90738e-07,3.81476e-07,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,3.81476e-07,1.90738e-07,7.62951e-07,4.57771e-06,1.11582e-05,7.01915e-05,0.00029593,0.00142596,0.00465858,0.0137286,0.031219,0.0577381,0.0935359,0.134558,0.174221,0.203575,0.228059,0.23897,0.247339,0.247938,0.249145,0.249752,0.249448,0.249448
117,0.248691,0.247339,0.242077,0.228186,0.202069,0.16576,0.123558,0.0795791,0.0434214,0.0185362,0.00592575,0.00128843,0.000220207,2.52728e-05,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,6.67582e-07,1.71664e-06,9.15541e-06,4.55863e-05,0.000233463,0.00105917,0.00406109,0.0122765,0.0294629,0.0545834,0.089607,0.129169,0.173704,0.199997,0.222243,0.24009,0.246743,0.249145,0.250057,0.250057,0.250057,0.248993
