SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-25 15:09:16
Date and Time Ended,2018-Jan-25 15:09:46
Scan Name,TRP_FPGA-TX5-01--RX14-01-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,7677
Horizontal Opening,37
Horizontal Percentage,56.92
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.2496,0.250516,0.249448,0.248088,0.239389,0.229851,0.209725,0.17894,0.143566,0.10101,0.064717,0.0413564,0.0224718,0.0099823,0.00405785,0.00128939,0.000405222,9.87068e-05,2.28885e-05,3.14717e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.04906e-06,4.76844e-06,2.16487e-05,9.84207e-05,0.000344472,0.00114767,0.00316672,0.00721332,0.0163818,0.0303044,0.0499079,0.0728815,0.100145,0.139128,0.158696,0.195231,0.216144,0.226671,0.239249,0.245855,0.248389,0.2496,0.250057,0.249905,0.249905
126,0.248993,0.249905,0.248239,0.246595,0.241363,0.227679,0.202569,0.175716,0.135807,0.102629,0.0599259,0.0369736,0.0196599,0.00843115,0.00359646,0.00114118,0.00031939,8.54505e-05,1.6022e-05,2.67033e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,2.38422e-06,1.44007e-05,7.47692e-05,0.000262455,0.000889601,0.00269894,0.00661788,0.0140027,0.029446,0.0485013,0.0717453,0.0991272,0.134249,0.170878,0.187801,0.214672,0.226045,0.239389,0.244972,0.246743,0.247788,0.250057,0.249905,0.249448
125,0.250363,0.249905,0.248993,0.24556,0.239109,0.228186,0.205619,0.16828,0.129988,0.0949673,0.0589259,0.0348324,0.0176549,0.0077766,0.00304541,0.00100357,0.00028687,7.15267e-05,1.48775e-05,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,2.67033e-06,1.36378e-05,6.38018e-05,0.00023003,0.000915064,0.00252995,0.00621481,0.0140387,0.0269027,0.0460425,0.0704617,0.102501,0.133636,0.161767,0.186518,0.210696,0.225671,0.239669,0.244826,0.24719,0.249145,0.249145,0.249296,0.249296
124,0.250057,0.250057,0.248691,0.246446,0.23635,0.22309,0.198832,0.166231,0.128844,0.087092,0.0574143,0.0322667,0.0158782,0.00680682,0.00271458,0.000856222,0.000237373,5.14992e-05,1.09674e-05,2.38422e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.57496e-06,1.01091e-05,5.57908e-05,0.000228695,0.000778592,0.00214313,0.00555028,0.0126955,0.0244709,0.0430381,0.0687123,0.0974295,0.129414,0.161131,0.187115,0.20919,0.226295,0.234724,0.244534,0.247339,0.247788,0.250057,0.2496,0.249752
123,0.249145,0.2496,0.249145,0.245413,0.235128,0.222605,0.19412,0.167181,0.124007,0.0856532,0.0530218,0.0316142,0.0155349,0.00600881,0.00242599,0.000734245,0.000194839,4.80659e-05,7.91562e-06,1.81201e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,1.71664e-06,9.63226e-06,4.37743e-05,0.000185016,0.000659094,0.00212034,0.00540589,0.0115894,0.023396,0.0433524,0.0648913,0.0955432,0.12848,0.156036,0.187629,0.210264,0.225671,0.236213,0.244826,0.247638,0.2496,0.249448,0.249905,0.249905
122,0.250363,0.249905,0.248691,0.241648,0.23567,0.219975,0.194489,0.16006,0.116627,0.081317,0.0509889,0.0277409,0.0134659,0.00523003,0.0019914,0.000653754,0.000160983,3.51911e-05,6.10361e-06,1.04906e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,1.33516e-06,6.67582e-06,3.99596e-05,0.000177863,0.000583562,0.00179055,0.00479353,0.0113748,0.0228913,0.03935,0.0609878,0.0934932,0.123446,0.150697,0.187115,0.200781,0.223577,0.235941,0.242077,0.24719,0.248239,0.24854,0.2496,0.249752
121,0.250516,0.248993,0.248691,0.245266,0.232064,0.216946,0.18806,0.153062,0.115087,0.0775158,0.0475663,0.0253776,0.0125224,0.00477293,0.00187123,0.000533112,0.000144293,3.08995e-05,3.24254e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,6.67582e-07,5.43603e-06,3.63355e-05,0.000152304,0.000579366,0.00176242,0.00443589,0.0103467,0.0215338,0.0384306,0.0621161,0.0921678,0.118517,0.156513,0.182447,0.209833,0.222605,0.236077,0.245266,0.246892,0.248239,0.250057,0.249905,0.250057
120,0.250363,0.248993,0.246595,0.242363,0.232196,0.213664,0.185757,0.148457,0.108906,0.0745122,0.0449955,0.0231972,0.0109234,0.00443189,0.00171407,0.000473888,0.000117018,2.5845e-05,4.86381e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,5.24529e-06,2.47959e-05,0.000135042,0.000446803,0.00154145,0.00412432,0.0097021,0.0198832,0.0362056,0.0605998,0.0851192,0.118861,0.152948,0.176701,0.20088,0.2188,0.235941,0.24222,0.246595,0.248842,0.2496,0.249448,0.250057
119,0.249145,0.248842,0.24615,0.243516,0.231802,0.207916,0.181638,0.149596,0.104836,0.0684939,0.0419537,0.0219069,0.0102668,0.00393912,0.00144017,0.000417716,0.000113298,1.94553e-05,2.19348e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,4.86381e-06,3.13764e-05,0.000120069,0.000439555,0.00139296,0.00368801,0.00966753,0.0198379,0.0355519,0.0566755,0.0845744,0.112557,0.144274,0.17549,0.199219,0.220924,0.232592,0.240654,0.246298,0.248088,0.249448,0.249905,0.250516
118,0.249448,0.249448,0.247489,0.24222,0.23154,0.211895,0.176625,0.141093,0.100761,0.0651079,0.0397818,0.0197623,0.00937371,0.00347047,0.00127041,0.000322347,8.19219e-05,1.50683e-05,1.62127e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,3.43328e-06,2.09812e-05,8.93606e-05,0.000376516,0.00128767,0.0033979,0.00823006,0.0177467,0.0323432,0.0527895,0.0835565,0.111454,0.142616,0.17504,0.200388,0.222848,0.23392,0.241363,0.246446,0.247938,0.248993,0.2496,0.250363
