SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-25 11:58:14
Date and Time Ended,2018-Jan-25 11:58:44
Scan Name,TRP_FPGA-TX5-05--RX5-05-MSP_A_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,7492
Horizontal Opening,36
Horizontal Percentage,55.38
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.2496,0.249145,0.246892,0.241506,0.232724,0.220449,0.197585,0.172897,0.13754,0.106693,0.0750034,0.0510397,0.0285869,0.0169149,0.00792236,0.00354496,0.00119135,0.000331884,7.52461e-05,1.38285e-05,2.00275e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,2.38422e-06,2.21256e-05,0.000116827,0.000496204,0.00168173,0.00463321,0.0102725,0.0211786,0.037229,0.0615098,0.0881985,0.116927,0.148727,0.179253,0.206033,0.220924,0.237033,0.242507,0.248088,0.24854,0.250363,0.250057,0.248239,0.248993
126,0.249296,0.248389,0.245707,0.241221,0.231409,0.211131,0.191131,0.169885,0.132512,0.0952765,0.0735357,0.0468214,0.0264749,0.0141728,0.00713379,0.00288834,0.000914492,0.000271229,5.7126e-05,7.62951e-06,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.86107e-06,1.44961e-05,9.45106e-05,0.000422198,0.00154793,0.00421235,0.00935915,0.0196081,0.0362216,0.05874,0.0877074,0.113461,0.144784,0.179568,0.209725,0.223944,0.236623,0.242938,0.247339,0.248691,0.2496,0.248993,0.248842,0.249905
125,0.249296,0.248993,0.246446,0.239809,0.225423,0.207494,0.189802,0.159004,0.128158,0.0948573,0.0689668,0.0449412,0.0255533,0.0138648,0.00679654,0.00247349,0.000868906,0.000246719,4.92103e-05,6.67582e-06,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.5259e-06,1.2398e-05,8.39246e-05,0.000363642,0.00142157,0.00397869,0.0090538,0.0186289,0.0340166,0.0561549,0.0836076,0.112588,0.143115,0.174518,0.20887,0.220805,0.239249,0.242938,0.247788,0.249752,0.249296,0.249905,0.249752,0.250057
124,0.249752,0.248842,0.24615,0.24009,0.226671,0.205723,0.184253,0.153636,0.12848,0.0926473,0.0651286,0.0416508,0.0228836,0.012659,0.00557126,0.00215877,0.000700484,0.000190261,3.50958e-05,5.91287e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,1.33516e-06,9.72763e-06,7.08591e-05,0.000344282,0.00116865,0.00342346,0.0081801,0.0170935,0.0324739,0.0517818,0.0816249,0.106305,0.14458,0.177698,0.201671,0.219034,0.234321,0.241791,0.247489,0.248842,0.2496,0.249296,0.249752,0.250823
123,0.250057,0.249448,0.245413,0.24009,0.229722,0.208445,0.183345,0.157536,0.117971,0.0923548,0.0643611,0.0411363,0.0229439,0.011545,0.0053645,0.00209401,0.000707923,0.000174525,3.68124e-05,4.57771e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,8.86931e-06,6.38018e-05,0.000293164,0.00116283,0.003404,0.00804671,0.0171701,0.0298299,0.0499261,0.0782414,0.109781,0.14222,0.170451,0.198159,0.215462,0.229336,0.240231,0.247489,0.249296,0.249296,0.243951,0.250363,0.250823
122,0.249145,0.247788,0.24615,0.24009,0.225052,0.206241,0.1831,0.148242,0.113429,0.0859408,0.0582223,0.0365089,0.0206106,0.010586,0.00458848,0.00176337,0.000541505,0.000146677,2.63218e-05,3.24254e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,8.01099e-06,5.46464e-05,0.000251488,0.00097219,0.0030312,0.00689401,0.0155155,0.0288122,0.0482272,0.0757245,0.105105,0.139793,0.169885,0.195884,0.214897,0.228823,0.24009,0.246743,0.24719,0.2496,0.249145,0.249905,0.25021
121,0.248842,0.247638,0.245266,0.235399,0.219386,0.200585,0.178162,0.148673,0.110701,0.0821488,0.0573982,0.0367349,0.0200919,0.00993605,0.00430095,0.00154393,0.00050803,0.000123884,2.36515e-05,2.09812e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,8.5832e-07,8.86931e-06,4.4728e-05,0.000241093,0.000856126,0.00277447,0.00675518,0.0153786,0.0275951,0.0443908,0.0748116,0.103094,0.135807,0.168488,0.196825,0.214897,0.231017,0.24009,0.24615,0.24719,0.249448,0.249145,0.249752,0.250516
120,0.247938,0.247489,0.242363,0.234187,0.22033,0.199122,0.17102,0.141679,0.111393,0.0754594,0.0523643,0.0328095,0.0180876,0.00845499,0.00355259,0.00132887,0.000400263,8.9456e-05,1.69757e-05,2.57496e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,5.43603e-06,3.6717e-05,0.000189593,0.00072776,0.00256332,0.00618,0.0137512,0.0255517,0.0429209,0.070913,0.10141,0.131745,0.166569,0.189364,0.210913,0.231671,0.241363,0.245119,0.247041,0.248842,0.248691,0.250363,0.2496
119,0.249296,0.246446,0.242938,0.232592,0.222726,0.204286,0.172533,0.143215,0.112217,0.0738805,0.0504737,0.0320697,0.0168412,0.00802779,0.00335613,0.00112869,0.000342279,7.86793e-05,1.48775e-05,1.14443e-06,2.86107e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,7.62951e-07,5.05455e-06,3.91012e-05,0.000179103,0.000693713,0.00223564,0.00591487,0.0132345,0.0242019,0.0433295,0.0679147,0.0955878,0.130071,0.160941,0.188232,0.215236,0.227932,0.238413,0.24556,0.247938,0.249296,0.249448,0.250823,0.250363
118,0.249145,0.247638,0.241791,0.233786,0.221163,0.195231,0.169534,0.136486,0.102475,0.0725458,0.0482045,0.0294693,0.0148199,0.0070458,0.00291886,0.000975719,0.000259785,6.92378e-05,9.44152e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.0518e-06,2.88968e-05,0.000145819,0.000629816,0.00206493,0.00517538,0.0122099,0.0235575,0.0403223,0.0657876,0.0926892,0.12756,0.1579,0.190243,0.214897,0.229336,0.238136,0.245266,0.247788,0.248993,0.248993,0.250823,0.250363
117,0.248993,0.246743,0.243227,0.231409,0.215803,0.200095,0.163641,0.133723,0.103826,0.0685857,0.0463079,0.0276155,0.0146829,0.0064253,0.00268463,0.000850881,0.000239376,5.60769e-05,6.48508e-06,8.5832e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-06,2.60357e-05,0.000133898,0.000583276,0.0018699,0.00482805,0.0110501,0.0223993,0.0396471,0.0628693,0.0917138,0.121325,0.152435,0.185757,0.211458,0.22617,0.237859,0.244388,0.248691,0.248993,0.249448,0.249905,0.250977
116,0.247638,0.245119,0.241648,0.230497,0.218567,0.190067,0.158757,0.126731,0.0926892,0.0637996,0.0438631,0.0251965,0.012565,0.00559539,0.00229381,0.00069934,0.000191787,4.39651e-05,6.19898e-06,4.76844e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,2.7657e-06,2.05997e-05,0.000106146,0.000469883,0.00162709,0.00419804,0.010043,0.0201008,0.0373376,0.0591044,0.0866865,0.118826,0.155917,0.17941,0.209511,0.221044,0.237033,0.243951,0.247788,0.248389,0.249905,0.250057,0.250516
115,0.247938,0.244972,0.241221,0.229079,0.215917,0.189101,0.153578,0.127958,0.0913864,0.0615653,0.0400777,0.0232367,0.0113051,0.00515116,0.00200961,0.000658331,0.000167659,3.32837e-05,5.05455e-06,6.67582e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.09812e-06,1.62127e-05,9.32708e-05,0.000404936,0.00147269,0.0040281,0.00963478,0.019674,0.0345066,0.0566598,0.0821323,0.12054,0.147442,0.179962,0.204695,0.217753,0.236077,0.244242,0.248088,0.248842,0.249905,0.250977,0.251285
114,0.248088,0.245855,0.238274,0.226922,0.206137,0.185002,0.153291,0.119068,0.0868888,0.0590278,0.0364051,0.02116,0.0104016,0.00440537,0.00170605,0.000518139,0.000130846,2.37469e-05,2.67033e-06,3.81476e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.62127e-06,1.38285e-05,7.7821e-05,0.000363546,0.00116674,0.00350214,0.00845028,0.0182163,0.0337587,0.0540504,0.0821323,0.110403,0.147708,0.174221,0.20029,0.223699,0.234455,0.242507,0.247041,0.248088,0.2496,0.2496,0.252213
113,0.247638,0.243371,0.238136,0.224312,0.199316,0.181961,0.150199,0.113054,0.0830145,0.0587652,0.0359703,0.0201601,0.00964,0.00432059,0.00143416,0.000442321,0.00010853,1.85969e-05,2.95644e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.71664e-06,1.1635e-05,7.18128e-05,0.000313764,0.00115206,0.00325761,0.00827596,0.0169289,0.0314951,0.0526605,0.0804545,0.108963,0.140416,0.173043,0.199413,0.223334,0.234321,0.242363,0.246892,0.248691,0.25021,0.249448,0.251903
