SW Version,2017.2
GT Type,UltraScale GTH
Date and Time Started,2018-Jan-25 15:10:48
Date and Time Ended,2018-Jan-25 15:11:18
Scan Name,TRP_FPGA-TX5-06--RX14-06-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,9474
Horizontal Opening,45
Horizontal Percentage,69.23
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0xC002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.250977,0.250516,0.247788,0.242866,0.231802,0.20818,0.180876,0.143516,0.0976037,0.0570028,0.0286109,0.0121006,0.00422522,0.00100633,0.000204662,2.84199e-05,3.81476e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,2.47959e-06,1.56405e-05,6.21805e-05,0.000276761,0.00100137,0.00317445,0.00746719,0.0169516,0.0363647,0.064019,0.100329,0.139507,0.174741,0.202519,0.225423,0.238691,0.247788
126,0.251748,0.250057,0.248389,0.242291,0.228759,0.206189,0.175603,0.139531,0.0945616,0.0554855,0.0272219,0.0110494,0.00367685,0.000941291,0.000178149,2.6894e-05,2.09812e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.43053e-06,1.27794e-05,6.10361e-05,0.000260548,0.000941863,0.00277733,0.00684539,0.0159505,0.0344413,0.0603098,0.095845,0.136486,0.170664,0.200781,0.225547,0.238552,0.246892
125,0.252213,0.249676,0.247563,0.24265,0.228759,0.207968,0.174853,0.137725,0.0954653,0.0556211,0.0280986,0.0110376,0.00368334,0.000963798,0.000168421,2.15534e-05,2.57496e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,8.39246e-06,5.39788e-05,0.000241093,0.000890364,0.00281224,0.00696307,0.0154139,0.0333017,0.060199,0.0984956,0.136645,0.176207,0.205207,0.224496,0.23897,0.245781
124,0.254012,0.249752,0.247489,0.241577,0.226232,0.207547,0.172533,0.1366,0.0917857,0.0535557,0.0261897,0.0104641,0.00342756,0.000862707,0.000152972,2.30793e-05,1.81201e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.14443e-06,6.29435e-06,3.96735e-05,0.000202564,0.000737201,0.00239548,0.00599088,0.0144478,0.0315886,0.056523,0.0941811,0.136123,0.1688,0.19768,0.224251,0.236623,0.246669
123,0.252446,0.248389,0.247563,0.242148,0.228951,0.205723,0.172026,0.134051,0.0911626,0.0522008,0.0266984,0.0101171,0.00325265,0.000841154,0.00014992,1.65942e-05,2.7657e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.33516e-06,9.34615e-06,4.48234e-05,0.000192454,0.000768292,0.00234436,0.00605764,0.0146508,0.0317158,0.0568683,0.0942678,0.133505,0.17199,0.198159,0.223699,0.239319,0.246372
122,0.251362,0.249676,0.246595,0.241934,0.226671,0.200437,0.173153,0.131154,0.0895385,0.0513726,0.0250103,0.00942264,0.00299115,0.000702296,0.000132372,2.15534e-05,1.04906e-06,1.90738e-07,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.86107e-07,8.5832e-07,4.57771e-06,3.45235e-05,0.000153162,0.000653086,0.00208591,0.00565194,0.0135325,0.029905,0.0547842,0.0898232,0.132834,0.169534,0.20088,0.222303,0.237928,0.24652
121,0.252524,0.249069,0.247414,0.241862,0.228186,0.201969,0.165459,0.129885,0.0890615,0.0506986,0.0244819,0.00953841,0.00295224,0.00070573,0.0001318,1.86923e-05,1.33516e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-07,6.00824e-06,3.5668e-05,0.000161364,0.000649844,0.0021603,0.00557813,0.0132782,0.0287596,0.054489,0.0889358,0.129373,0.167489,0.198832,0.224435,0.237514,0.24615
120,0.253854,0.24922,0.247265,0.241934,0.227173,0.204337,0.17038,0.12846,0.0859047,0.0477911,0.0232268,0.00864996,0.00267319,0.0007084,0.000115015,1.6022e-05,1.5259e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,5.72213e-07,5.34066e-06,3.07088e-05,0.000142863,0.000597772,0.00188697,0.00508011,0.0124275,0.0280813,0.0511225,0.0875762,0.125067,0.162634,0.195138,0.220567,0.237239,0.246224
119,0.25307,0.249981,0.247863,0.239879,0.224435,0.20192,0.168418,0.12677,0.0848899,0.0472236,0.0229374,0.00831922,0.00267147,0.000596628,0.000108911,1.27794e-05,1.2398e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,4.48234e-06,2.4033e-05,0.000115206,0.00053521,0.0017525,0.00476482,0.0115219,0.0270484,0.0498684,0.084374,0.125258,0.162376,0.193296,0.220449,0.235602,0.24652
118,0.255278,0.250286,0.247265,0.239739,0.223334,0.196119,0.167798,0.123446,0.0819351,0.0456575,0.0216259,0.00801232,0.00240673,0.000542649,8.85023e-05,1.67849e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.76844e-07,2.47959e-06,2.04089e-05,0.000120165,0.000470741,0.00151007,0.00430743,0.0107788,0.0260481,0.0477104,0.0844262,0.124308,0.165192,0.196307,0.217869,0.237446,0.24468
