SW Version,2017.2
GT Type,UltraScale GTY
Date and Time Started,2018-Jan-24 21:33:50
Date and Time Ended,2018-Jan-24 21:34:23
Scan Name,MSP_A_FPGA-TX2-05--RX10-05-MSP_C_FPGA
Link Settings,
Reset RX After Applying Settings,true
Open Area,8051
Horizontal Opening,38
Horizontal Percentage,58.46
Vertical Opening,255
Vertical Percentage,100.00
Dwell,BER
Dwell BER,1e-7
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,1
Vertical Range,100%
Misc Info,ELF Version: 0x4002 SVN: 0
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,0.246743,0.242363,0.233786,0.22033,0.209083,0.195045,0.181316,0.16325,0.140996,0.12086,0.0940082,0.0691297,0.0537384,0.0388204,0.0239767,0.0124459,0.00560187,0.00219978,0.000551232,0.000110628,1.64988e-05,1.81201e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,4.76844e-07,3.52865e-06,2.80385e-05,0.000216392,0.00109751,0.00414082,0.012407,0.0313193,0.0628693,0.102629,0.144938,0.1831,0.208763,0.227679,0.240937,0.246298,0.248691,0.2496,0.252992
126,0.245707,0.241363,0.232724,0.216602,0.205723,0.192027,0.178472,0.161194,0.139412,0.115606,0.0892945,0.0675897,0.0519723,0.0355119,0.0223773,0.011167,0.00512083,0.00166485,0.000411612,8.80255e-05,1.43053e-05,9.53689e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,4.19623e-06,3.13764e-05,0.000197509,0.000924315,0.00382105,0.0129536,0.0304395,0.059786,0.101611,0.13927,0.180358,0.206033,0.225671,0.239529,0.245266,0.248993,0.2496,0.254248
125,0.244826,0.24009,0.231409,0.219621,0.207389,0.193478,0.177621,0.159251,0.135807,0.112187,0.0883126,0.0670805,0.0500298,0.0348501,0.0212192,0.0111828,0.00450647,0.00155518,0.000411231,8.02052e-05,1.11582e-05,1.14443e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.24254e-06,2.38422e-05,0.00019379,0.000842489,0.00373007,0.0119659,0.0289875,0.0598384,0.102501,0.147868,0.180996,0.206553,0.228059,0.240937,0.246446,0.248691,0.250669,0.252524
124,0.245707,0.239389,0.228951,0.218101,0.20177,0.187715,0.17504,0.157536,0.131914,0.106057,0.0851015,0.0647068,0.0467093,0.0341101,0.0202769,0.00980007,0.00397354,0.00124886,0.000363355,6.65675e-05,8.01099e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.62127e-06,2.63218e-05,0.000154879,0.000833524,0.00379225,0.0110848,0.029446,0.0557802,0.0969453,0.138143,0.180041,0.207916,0.227932,0.238274,0.244972,0.249752,0.250057,0.253618
123,0.24468,0.237998,0.228951,0.216144,0.20297,0.188927,0.174221,0.152549,0.132555,0.103931,0.0811559,0.0628983,0.0474506,0.0315121,0.0192714,0.0100741,0.0039456,0.00116388,0.000292401,5.39788e-05,8.10636e-06,5.72213e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,3.81476e-07,3.43328e-06,2.13626e-05,0.000148203,0.00083257,0.00356203,0.0118015,0.0260904,0.0587147,0.0954097,0.142023,0.18261,0.205929,0.228823,0.238691,0.24556,0.249448,0.250977,0.25409
122,0.245855,0.23635,0.2273,0.214111,0.204184,0.186518,0.173557,0.153983,0.129414,0.105348,0.0790722,0.0594476,0.0453793,0.0309805,0.0179954,0.00861106,0.00347553,0.00101482,0.000240902,4.8352e-05,5.24529e-06,4.76844e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,2.00275e-06,2.18395e-05,0.000151255,0.000804627,0.00335794,0.0112076,0.0246535,0.0566598,0.0935359,0.136304,0.17102,0.203879,0.223577,0.239529,0.244388,0.248842,0.251903,0.25504
121,0.244534,0.23567,0.226796,0.21501,0.199997,0.18542,0.170949,0.147283,0.124007,0.0999497,0.0778992,0.0583301,0.0439007,0.0295971,0.016297,0.00823105,0.00316358,0.000991073,0.000223831,4.4728e-05,5.24529e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,1.65942e-05,0.000115015,0.000706874,0.003089,0.0104222,0.0274269,0.0584466,0.0944853,0.134912,0.16828,0.203981,0.222484,0.235399,0.24615,0.248842,0.251593,0.255358
120,0.243227,0.235805,0.223944,0.210913,0.198639,0.184336,0.169745,0.144989,0.126106,0.0981298,0.074269,0.0585636,0.0424537,0.0277352,0.0156101,0.00715735,0.00269522,0.000858511,0.000182059,3.40467e-05,2.28885e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,2.19348e-06,1.7834e-05,0.000124075,0.000666533,0.00312428,0.00985358,0.0261638,0.0537313,0.0894309,0.133505,0.174518,0.197967,0.225175,0.238413,0.24468,0.247489,0.252213,0.255199
119,0.243661,0.236623,0.225671,0.209297,0.198447,0.1831,0.165693,0.147177,0.122743,0.0968307,0.07539,0.0568091,0.0399136,0.027165,0.0152271,0.00688393,0.00238279,0.000746834,0.000172904,2.67033e-05,2.19348e-06,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.90738e-07,1.43053e-06,1.76432e-05,0.000117876,0.000643168,0.00277762,0.00983536,0.0249084,0.0558562,0.0879145,0.131745,0.169464,0.201374,0.220449,0.238274,0.246595,0.249145,0.251903,0.255836
118,0.243227,0.233121,0.222243,0.210156,0.19626,0.182366,0.16325,0.143215,0.115704,0.0950775,0.07142,0.0544021,0.0378482,0.0245648,0.0137466,0.00614805,0.00220016,0.000652991,0.00014353,2.12673e-05,1.90738e-06,1.90738e-07,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,9.53689e-08,1.5259e-06,1.32563e-05,0.000108053,0.000671015,0.00262427,0.00902527,0.0233987,0.0530906,0.0913049,0.133854,0.169184,0.195138,0.224312,0.238413,0.244534,0.248993,0.25268,0.257121
